"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","26346","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","72201","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","123748","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","133536","0.0-3.0","1920x1080","9:37 16/5/2022","","","","","",""
"","","","","","survey-html-form","4","145959","0.0-4.0","1920x1080","","12422.300000011921","{""age"":""19"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","188407","0.0-5.0","1920x1080","","42447","","<div class=""intro"">You are going to see a series of animations.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Complex<br></div><div class=""intro"">1 = Most Complex<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""intro"">The study will take approximately 1 hour to complete.<br><br></div>","0","",""
"","","","","","call-function","6","188408","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","214183","0.0-7.0","1920x1080","","25773.600000023842","26.19","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","8","219559","0.0-8.0","1920x1080","","5375.099999964237","69.44","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","235127","0.0-9.0","1920x1080","","15566.699999988079","14.29","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","247902","0.0-10.0","1920x1080","","12775.199999988079","54.50","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","255166","0.0-11.0","1920x1080","","7263.100000023842","45.11","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","12","307187","0.0-12.0","1920x1080","","52031","42.06","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","13","311267","0.0-13.0","1920x1080","","4079.300000011921","10.45","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","318371","0.0-14.0","1920x1080","","7103.300000011921","50.79","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","15","322595","0.0-15.0","1920x1080","","4223.400000035763","20.50","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","16","354875","0.0-16.0","1920x1080","","32279.400000035763","41.67","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","17","362142","0.0-17.0","1920x1080","","7327.199999988079","62","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","375510","0.0-18.0","1920x1080","","13367.599999964237","3.17","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","392366","0.0-19.0","1920x1080","","16855.5","71.83","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","396342","0.0-20.0","1920x1080","","3974.800000011921","99","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","401175","0.0-21.0","1920x1080","","4832.300000011921","12.04","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","22","420546","0.0-22.0","1920x1080","","19430.5","94","img/117/2.5/0.66667/bw/001.png","","","complex"
