"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","3811","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","7605","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","11135","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","38751","0.0-3.0","1920x1080","10:48 16/5/2022","","","","","",""
"","","","","","survey-html-form","4","46922","0.0-4.0","1920x1080","","8167","{""age"":""20"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","92458","0.0-5.0","1920x1080","","45535.09999996424","","<div class=""intro"">You are going to see a series of animations.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Complex<br></div><div class=""intro"">1 = Most Complex<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""intro"">The study will take approximately 1 hour to complete.<br><br></div>","0","",""
"","","","","","call-function","6","92459","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","102506","0.0-7.0","1920x1080","","10044.400000035763","58.60","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","110546","0.0-8.0","1920x1080","","8038.200000047684","79.89","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","9","117202","0.0-9.0","1920x1080","","6655.100000023842","40.08","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","124386","0.0-10.0","1920x1080","","7182.799999952316","93.25","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","11","131458","0.0-11.0","1920x1080","","7071.400000035763","69.18","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","139346","0.0-12.0","1920x1080","","7887","16.53","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","146130","0.0-13.0","1920x1080","","6783","28.97","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","14","153915","0.0-14.0","1920x1080","","7783.899999976158","8","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","15","160169","0.0-15.0","1920x1080","","6254.099999964237","25.93","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","165465","0.0-16.0","1920x1080","","5294.799999952316","41.01","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","170073","0.0-17.0","1920x1080","","4607.300000011921","83.86","img/238/3.5/1.5/bw/001.png","","","complex"
