"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","42284","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","79187","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","119421","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","131886","0.0-3.0","1920x1080","15:30 16/5/2022","","","","","",""
"","","","","","survey-html-form","4","140533","0.0-4.0","1920x1080","","8643.5","{""age"":""20"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","179357","0.0-5.0","1920x1080","","38822.90000000002","","<div class=""intro"">You are going to see a series of animations.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Complex<br></div><div class=""intro"">1 = Most Complex<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""intro"">The study will take approximately 1 hour to complete.<br><br></div>","0","",""
"","","","","","call-function","6","179357","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","195196","0.0-7.0","1920x1080","","15836.200000000012","23.02","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","8","206604","0.0-8.0","1920x1080","","11407.200000000012","19","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","9","214252","0.0-9.0","1920x1080","","7646.599999999977","27.38","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","10","221236","0.0-10.0","1920x1080","","6982.799999999988","74.21","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","11","227396","0.0-11.0","1920x1080","","6158.900000000023","35.45","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","12","230308","0.0-12.0","1920x1080","","2911.1999999999534","23.41","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","235820","0.0-13.0","1920x1080","","5511.400000000023","84.26","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","243836","0.0-14.0","1920x1080","","8015","35.45","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","15","247044","0.0-15.0","1920x1080","","3207.100000000035","25.79","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","16","251780","0.0-16.0","1920x1080","","4734.700000000012","16.93","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","17","259692","0.0-17.0","1920x1080","","7911.299999999988","91.14","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","263316","0.0-18.0","1920x1080","","3622.899999999965","28.44","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","267092","0.0-19.0","1920x1080","","3775.2999999999884","85.71","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","20","272284","0.0-20.0","1920x1080","","5191.200000000012","19.05","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","21","282484","0.0-21.0","1920x1080","","10199.200000000012","91","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","22","289163","0.0-22.0","1920x1080","","6678.900000000023","34","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","295115","0.0-23.0","1920x1080","","5951.200000000012","12.96","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","24","299693","0.0-24.0","1920x1080","","4576.599999999977","0.40","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","302452","0.0-25.0","1920x1080","","2757.7000000000116","28.04","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","26","308484","0.0-26.0","1920x1080","","6031.300000000047","30.29","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","27","311180","0.0-27.0","1920x1080","","2695","35.05","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","28","315684","0.0-28.0","1920x1080","","4503.5","37.43","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","29","319477","0.0-29.0","1920x1080","","3792.5","2.51","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","30","323893","0.0-30.0","1920x1080","","4415.399999999965","98","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","31","327564","0.0-31.0","1920x1080","","3669.7000000000116","98","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","32","333172","0.0-32.0","1920x1080","","5607.5","6.61","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","336860","0.0-33.0","1920x1080","","3687.7999999999884","14.42","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","34","344956","0.0-34.0","1920x1080","","8095.199999999953","18.39","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","347252","0.0-35.0","1920x1080","","2295","27.91","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","36","354077","0.0-36.0","1920x1080","","6823.899999999965","12.57","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","37","371466","0.0-37.0","1920x1080","","17486.100000000035","40","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","38","374618","0.0-38.0","1920x1080","","3151.0999999999767","57.94","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","39","378002","0.0-39.0","1920x1080","","3383","87.04","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","40","381098","0.0-40.0","1920x1080","","3094.9000000000233","31.22","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","41","393363","0.0-41.0","1920x1080","","12264.5","47.88","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","42","396434","0.0-42.0","1920x1080","","3070.2000000000116","43.65","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","43","399034","0.0-43.0","1920x1080","","2599.100000000035","62.04","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","401306","0.0-44.0","1920x1080","","2271.4000000000233","44.31","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","45","403907","0.0-45.0","1920x1080","","2599.1999999999534","16.80","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","46","408827","0.0-46.0","1920x1080","","4919.299999999988","31.75","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","47","415850","0.0-47.0","1920x1080","","7022.900000000023","33.47","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","48","419273","0.0-48.0","1920x1080","","3528.100000000035","26.32","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","49","422273","0.0-49.0","1920x1080","","2999.2999999999884","8.99","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","50","426257","0.0-50.0","1920x1080","","3982.8000000000466","18.92","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","51","429336","0.0-51.0","1920x1080","","3078.2000000000116","12.04","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","52","432520","0.0-52.0","1920x1080","","3183.399999999965","3.17","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","53","439952","0.0-53.0","1920x1080","","7430.900000000023","43","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","54","443391","0.0-54.0","1920x1080","","3438.7000000000116","3.44","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","55","447784","0.0-55.0","1920x1080","","4391.299999999988","97","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","56","450800","0.0-56.0","1920x1080","","3015","49.21","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","57","454873","0.0-57.0","1920x1080","","4072.5999999999767","3.84","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","58","457591","0.0-58.0","1920x1080","","2717.399999999965","90.21","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","59","459664","0.0-59.0","1920x1080","","2071.3000000000466","54.76","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","60","466616","0.0-60.0","1920x1080","","6951.200000000012","11","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","61","472184","0.0-61.0","1920x1080","","5567","11.38","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","62","474359","0.0-62.0","1920x1080","","2174.5999999999767","29.63","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","63","478677","0.0-63.0","1920x1080","","4423.399999999965","92.20","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","64","483533","0.0-64.0","1920x1080","","4854.900000000023","2","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","65","487037","0.0-65.0","1920x1080","","3503.2000000000116","99","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","66","491606","0.0-66.0","1920x1080","","4566.900000000023","0","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","67","498373","0.0-67.0","1920x1080","","6766.79999999993","24","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","68","503751","0.0-68.0","1920x1080","","5376.599999999977","54.23","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","69","506869","0.0-69.0","1920x1080","","3117.5999999999767","16.80","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","70","508830","0.0-70.0","1920x1080","","1959.5","30.56","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","71","512417","0.0-71.0","1920x1080","","3586.5","56.22","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","72","515062","0.0-72.0","1920x1080","","2643.70000000007","65.61","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","73","517350","0.0-73.0","1920x1080","","2287.899999999907","78.70","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","74","519230","0.0-74.0","1920x1080","","1878.5","88.10","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","75","522919","0.0-75.0","1920x1080","","3687.999999999942","5.42","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","76","529405","0.0-76.0","1920x1080","","6485.600000000093","42.86","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","77","533053","0.0-77.0","1920x1080","","3646.79999999993","84.39","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","78","535948","0.0-78.0","1920x1080","","2998.9000000000233","95","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","79","538678","0.0-79.0","1920x1080","","2730","11.77","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","80","543278","0.0-80.0","1920x1080","","4598.699999999953","5.42","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","81","546932","0.0-81.0","1920x1080","","3651.8000000000466","97","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","html-button-response","82","565757","0.0-82.0","1920x1080","","18823.599999999977","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">RELAXING</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Relaxing<br></div><div class=""intro"">1 = Most Relaxing<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","565757","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","573661","0.0-84.0","1920x1080","","7903.100000000093","57.28","img/314/4/0.66667/bw/001.png","","","relaxing"
