"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","14117","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","29680","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","46245","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","427023","0.0-3.0","1920x1080","12:55 19/5/2022","","","","","",""
"","","","","","survey-html-form","4","440468","0.0-4.0","1920x1080","","13441.40000000596","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","476036","0.0-5.0","1920x1080","","35567.09999999404","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","476036","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","491876","0.0-7.0","1920x1080","","15852.699999988079","35.98","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","8","499771","0.0-8.0","1920x1080","","7894.200000017881","14.29","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","9","504884","0.0-9.0","1920x1080","","5111.200000017881","59.92","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","10","515684","0.0-10.0","1920x1080","","10799","43.39","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","11","525659","0.0-11.0","1920x1080","","9975","69.58","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","531316","0.0-12.0","1920x1080","","5655.300000011921","60.05","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","552485","0.0-13.0","1920x1080","","21183.59999999404","39.81","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","558924","0.0-14.0","1920x1080","","6437.800000011921","78.31","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","565988","0.0-15.0","1920x1080","","7062.799999982119","69.31","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","572412","0.0-16.0","1920x1080","","6423.299999982119","75.00","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","17","578333","0.0-17.0","1920x1080","","5919.5","71.56","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","587156","0.0-18.0","1920x1080","","8822.59999999404","54.89","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","19","594604","0.0-19.0","1920x1080","","7447.100000023842","57.94","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","20","601068","0.0-20.0","1920x1080","","6463.299999982119","11.77","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","21","611264","0.0-21.0","1920x1080","","10207.199999988079","33.60","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","22","631207","0.0-22.0","1920x1080","","19942.29999998212","24.07","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","23","639272","0.0-23.0","1920x1080","","8064.300000011921","10","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","644032","0.0-24.0","1920x1080","","4758.4000000059605","10.58","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","650232","0.0-25.0","1920x1080","","6199.200000017881","20.37","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","657360","0.0-26.0","1920x1080","","7126.4000000059605","58.60","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","661648","0.0-27.0","1920x1080","","4286.799999982119","63","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","28","668064","0.0-28.0","1920x1080","","6414.9000000059605","25.66","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","29","673416","0.0-29.0","1920x1080","","5351.300000011921","63.89","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","683048","0.0-30.0","1920x1080","","9631.09999999404","80","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","31","686336","0.0-31.0","1920x1080","","3287.5","83.20","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","32","696080","0.0-32.0","1920x1080","","9742.700000017881","80.29","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","33","706344","0.0-33.0","1920x1080","","10263.40000000596","82.80","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","34","713600","0.0-34.0","1920x1080","","7254.800000011921","76.32","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","35","718832","0.0-35.0","1920x1080","","5231.300000011921","96","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","36","724336","0.0-36.0","1920x1080","","5503.199999988079","86","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","37","728279","0.0-37.0","1920x1080","","3942.9000000059605","91.67","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","735800","0.0-38.0","1920x1080","","7519.5","50.13","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","39","740560","0.0-39.0","1920x1080","","4759","57.67","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","40","748984","0.0-40.0","1920x1080","","8423.40000000596","94.97","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","41","755512","0.0-41.0","1920x1080","","6526.700000017881","8.33","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","42","764384","0.0-42.0","1920x1080","","8871.299999982119","45.77","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","43","768032","0.0-43.0","1920x1080","","3646.4000000059605","97","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","44","788168","0.0-44.0","1920x1080","","20135.5","79.50","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","45","793984","0.0-45.0","1920x1080","","5815","87.30","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","46","799800","0.0-46.0","1920x1080","","5815.199999988079","7.28","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","47","809088","0.0-47.0","1920x1080","","9287.59999999404","74.60","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","48","815584","0.0-48.0","1920x1080","","6494.799999982119","65.34","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","49","822775","0.0-49.0","1920x1080","","7190.699999988079","64.68","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","50","826800","0.0-50.0","1920x1080","","4023.4000000059605","90.87","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","51","839600","0.0-51.0","1920x1080","","12798.799999982119","56.08","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","52","844367","0.0-52.0","1920x1080","","4766.5999999940395","3.04","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","53","849122","0.0-53.0","1920x1080","","4754","73.41","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","54","855343","0.0-54.0","1920x1080","","6220.5","32.41","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","55","858951","0.0-55.0","1920x1080","","3607.0999999940395","97","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","56","864505","0.0-56.0","1920x1080","","5552.5","22.75","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","57","871663","0.0-57.0","1920x1080","","7158","26.46","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","58","878522","0.0-58.0","1920x1080","","6857.200000017881","73.02","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","59","885063","0.0-59.0","1920x1080","","6540.799999982119","71.43","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","60","891263","0.0-60.0","1920x1080","","6198.9000000059605","64.95","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","61","897143","0.0-61.0","1920x1080","","5878.899999976158","82.80","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","62","901215","0.0-62.0","1920x1080","","4071.5","97","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","63","906302","0.0-63.0","1920x1080","","5085.199999988079","31.88","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","64","912784","0.0-64.0","1920x1080","","6478.4000000059605","81.35","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","65","919639","0.0-65.0","1920x1080","","6854.800000011921","43.52","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","66","928288","0.0-66.0","1920x1080","","8647.199999988079","82.14","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","67","935289","0.0-67.0","1920x1080","","7000.0999999940395","98","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","68","941352","0.0-68.0","1920x1080","","6061.9000000059605","80.82","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","69","945800","0.0-69.0","1920x1080","","4446.9000000059605","32.14","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","70","954144","0.0-70.0","1920x1080","","8343","65.48","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","71","958759","0.0-71.0","1920x1080","","4614.699999988079","40.87","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","72","963112","0.0-72.0","1920x1080","","4351.699999988079","95","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","73","972615","0.0-73.0","1920x1080","","9502.59999999404","50.00","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","74","979439","0.0-74.0","1920x1080","","6822.899999976158","55.69","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","75","982955","0.0-75.0","1920x1080","","3515","94.18","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","76","996863","0.0-76.0","1920x1080","","13907.5","63.10","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","77","1002607","0.0-77.0","1920x1080","","5742.5999999940395","22.35","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","78","1011122","0.0-78.0","1920x1080","","8513.699999988079","75.93","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","79","1024039","0.0-79.0","1920x1080","","12915.5","80.82","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","80","1028191","0.0-80.0","1920x1080","","4151.299999982119","95","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","81","1032905","0.0-81.0","1920x1080","","4712.800000011921","88.89","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","html-button-response","82","1052648","0.0-82.0","1920x1080","","19741.69999998808","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">RELAXING</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Relaxing<br></div><div class=""intro"">1 = Most Relaxing<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","1052649","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","1060954","0.0-84.0","1920x1080","","8305","44.71","img/238/4.5/1/bw/001.png","","","relaxing"
"","","","","","animation","85","1064255","0.0-85.0","1920x1080","","3299.699999988079","1.19","img/117/2.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","86","1068599","0.0-86.0","1920x1080","","4343.4000000059605","20.24","img/314/3.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","87","1076559","0.0-87.0","1920x1080","","7959.0999999940395","79.23","img/314/4.5/2/bw/001.png","","","relaxing"
"","","","","","animation","88","1080399","0.0-88.0","1920x1080","","3839","97","img/117/5.5/1/bw/001.png","","","relaxing"
"","","","","","animation","89","1084631","0.0-89.0","1920x1080","","4231","96","img/314/5.5/1/bw/001.png","","","relaxing"
"","","","","","animation","90","1091183","0.0-90.0","1920x1080","","6550.800000011921","60","img/314/5.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","91","1095399","0.0-91.0","1920x1080","","4214.9000000059605","85.32","img/314/4/2/bw/001.png","","","relaxing"
"","","","","","animation","92","1101521","0.0-92.0","1920x1080","","6120.800000011921","46","img/238/5.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","93","1105006","0.0-93.0","1920x1080","","3484.7999999821186","4.10","img/314/2.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","94","1109095","0.0-94.0","1920x1080","","4087.199999988079","78.97","img/314/4.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","95","1120054","0.0-95.0","1920x1080","","10958.59999999404","2.38","img/238/2.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","96","1128727","0.0-96.0","1920x1080","","8671.300000011921","90.61","img/117/5.5/2/bw/001.png","","","relaxing"
"","","","","","animation","97","1134454","0.0-97.0","1920x1080","","5726.4000000059605","18.92","img/238/3.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","98","1137879","0.0-98.0","1920x1080","","3423.5","2.38","img/314/2.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","99","1144479","0.0-99.0","1920x1080","","6598.5","34","img/117/4/1.5/bw/001.png","","","relaxing"
"","","","","","animation","100","1148045","0.0-100.0","1920x1080","","3567","3.70","img/117/2.5/2/bw/001.png","","","relaxing"
