"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","39811","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","74783","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","112258","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","115978","0.0-3.0","1920x1080","14:19 19/5/2022","","","","","",""
"","","","","","survey-html-form","4","126074","0.0-4.0","1920x1080","","10094.200000017881","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","136634","0.0-5.0","1920x1080","","10558.699999988079","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","136635","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","149994","0.0-7.0","1920x1080","","13357.300000011921","100","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","158202","0.0-8.0","1920x1080","","8206.90000000596","100","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","9","164154","0.0-9.0","1920x1080","","5950.800000011921","71","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","10","170066","0.0-10.0","1920x1080","","5910.5","82.94","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","11","174010","0.0-11.0","1920x1080","","3942.5999999940395","86.90","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","12","179290","0.0-12.0","1920x1080","","5278.800000011921","85.45","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","13","182265","0.0-13.0","1920x1080","","2974.7999999821186","99","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","14","185979","0.0-14.0","1920x1080","","3712.4000000059605","93.39","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","15","189938","0.0-15.0","1920x1080","","3957.899999976158","68","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","16","213697","0.0-16.0","1920x1080","","23758.90000000596","93","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","217010","0.0-17.0","1920x1080","","3311.5","91","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","220681","0.0-18.0","1920x1080","","3670.5999999940395","51","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","19","223234","0.0-19.0","1920x1080","","2551.399999976158","100","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","227690","0.0-20.0","1920x1080","","4455.4000000059605","20","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","21","230874","0.0-21.0","1920x1080","","3183.4000000059605","99","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","235867","0.0-22.0","1920x1080","","4990.699999988079","9","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","240843","0.0-23.0","1920x1080","","4975.0999999940395","8.33","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","245091","0.0-24.0","1920x1080","","4247.5","18","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","247507","0.0-25.0","1920x1080","","2415.199999988079","22.35","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","251364","0.0-26.0","1920x1080","","3855.800000011921","14.81","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","262267","0.0-27.0","1920x1080","","10902.399999976158","58","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","28","264635","0.0-28.0","1920x1080","","2367.0999999940395","55.16","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","29","272955","0.0-29.0","1920x1080","","8319.5","54.10","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","30","275907","0.0-30.0","1920x1080","","2950.9000000059605","26.59","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","31","279603","0.0-31.0","1920x1080","","3695.100000023842","3.70","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","32","282997","0.0-32.0","1920x1080","","3392.4000000059605","17.86","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","33","285939","0.0-33.0","1920x1080","","2942.2000000178814","37.04","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","34","293956","0.0-34.0","1920x1080","","8015.300000011921","55.16","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","35","295652","0.0-35.0","1920x1080","","1694.7999999821186","46.03","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","36","299804","0.0-36.0","1920x1080","","4151.5999999940395","17.20","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","303188","0.0-37.0","1920x1080","","3382.5999999940395","90","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","306188","0.0-38.0","1920x1080","","2999.5","90.08","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","39","311547","0.0-39.0","1920x1080","","5358.5999999940395","11.64","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","40","338964","0.0-40.0","1920x1080","","27416","89.15","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","41","340924","0.0-41.0","1920x1080","","1959.300000011921","73.68","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","42","343916","0.0-42.0","1920x1080","","2990.9000000059605","64.68","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","43","348949","0.0-43.0","1920x1080","","5032.100000023842","66","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","44","351436","0.0-44.0","1920x1080","","2486","98","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","45","361999","0.0-45.0","1920x1080","","10561.300000011921","85.85","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","46","364629","0.0-46.0","1920x1080","","2629","5.95","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","47","367717","0.0-47.0","1920x1080","","3087.199999988079","71.56","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","48","371805","0.0-48.0","1920x1080","","4087.399999976158","93.39","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","49","380821","0.0-49.0","1920x1080","","9015.40000000596","84.79","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","50","383334","0.0-50.0","1920x1080","","2511.4000000059605","53.17","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","51","387816","0.0-51.0","1920x1080","","4481.4000000059605","23","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","52","391605","0.0-52.0","1920x1080","","3788.4000000059605","46.30","img/117/3.5/2/bw/001.png","","","complex"
