"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","21284","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","41037","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","61673","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","209996","0.0-3.0","1920x1080","10:1 20/5/2022","","","","","",""
"","","","","","survey-html-form","4","217000","0.0-4.0","1920x1080","","7001.800000011921","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","254753","0.0-5.0","1920x1080","","37752","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","254754","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","272537","0.0-7.0","1920x1080","","17780.5","67.59","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","8","285368","0.0-8.0","1920x1080","","12830","99","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","9","293432","0.0-9.0","1920x1080","","8062.699999988079","37.43","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","10","300224","0.0-10.0","1920x1080","","6791.299999982119","100","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","307417","0.0-11.0","1920x1080","","7191.799999982119","2.78","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","313689","0.0-12.0","1920x1080","","6271.100000023842","15.74","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","318496","0.0-13.0","1920x1080","","4806.5999999940395","1.19","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","14","322392","0.0-14.0","1920x1080","","3895.0999999940395","100","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","328808","0.0-15.0","1920x1080","","6415.399999976158","46.83","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","332272","0.0-16.0","1920x1080","","3462.699999988079","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","337776","0.0-17.0","1920x1080","","5503.299999982119","75.26","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","18","342696","0.0-18.0","1920x1080","","4919.899999976158","0.79","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","347312","0.0-19.0","1920x1080","","4614.699999988079","38.89","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","351552","0.0-20.0","1920x1080","","4239.0999999940395","82.80","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","357496","0.0-21.0","1920x1080","","5943.699999988079","58.99","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","363440","0.0-22.0","1920x1080","","5943.200000017881","2","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","23","369384","0.0-23.0","1920x1080","","5942.799999982119","27","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","374768","0.0-24.0","1920x1080","","5383.799999982119","0.93","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","379736","0.0-25.0","1920x1080","","4967.600000023842","56.88","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","26","392232","0.0-26.0","1920x1080","","12495","67.20","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","405232","0.0-27.0","1920x1080","","12998.90000000596","26.72","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","28","408848","0.0-28.0","1920x1080","","3615","0.40","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","29","414376","0.0-29.0","1920x1080","","5527.5","99","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","30","424584","0.0-30.0","1920x1080","","10207.09999999404","57.80","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","31","434760","0.0-31.0","1920x1080","","10174.59999999404","44.71","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","32","444321","0.0-32.0","1920x1080","","9560.90000000596","47.88","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","33","449800","0.0-33.0","1920x1080","","5477.5","49.60","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","34","456744","0.0-34.0","1920x1080","","6943.100000023842","11.38","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","35","463791","0.0-35.0","1920x1080","","7047","29.63","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","36","469944","0.0-36.0","1920x1080","","6151.199999988079","16.93","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","37","475983","0.0-37.0","1920x1080","","6038.799999982119","53.57","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","38","479567","0.0-38.0","1920x1080","","3583.2999999821186","77.25","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","39","484360","0.0-39.0","1920x1080","","4791.799999982119","1.32","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","40","488504","0.0-40.0","1920x1080","","4143","100","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","41","495175","0.0-41.0","1920x1080","","6670.399999976158","5.16","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","42","508016","0.0-42.0","1920x1080","","12839.299999982119","46.03","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","515896","0.0-43.0","1920x1080","","7879.699999988079","89.55","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","44","524368","0.0-44.0","1920x1080","","8470.90000000596","90","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","45","534089","0.0-45.0","1920x1080","","9719.699999988079","104.50","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","46","545960","0.0-46.0","1920x1080","","11870.200000017881","48","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","47","551128","0.0-47.0","1920x1080","","5167.100000023842","41.14","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","48","554928","0.0-48.0","1920x1080","","3799.2000000178814","54.50","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","49","559801","0.0-49.0","1920x1080","","4871.5","98","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","50","563992","0.0-50.0","1920x1080","","4190.5999999940395","88.36","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","51","568280","0.0-51.0","1920x1080","","4287.5","0.40","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","52","575056","0.0-52.0","1920x1080","","6774.5999999940395","6","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","53","585096","0.0-53.0","1920x1080","","10039.200000017881","49.21","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","54","595984","0.0-54.0","1920x1080","","10887.299999982119","74","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","55","605754","0.0-55.0","1920x1080","","9768.800000011921","2","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","56","612512","0.0-56.0","1920x1080","","6757.299999982119","64.02","img/238/3.5/0.66667/bw/001.png","","","complex"
