"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","3875","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","7708","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","31530","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","143993333","0.0-3.0","1920x1080","18:31 18/5/2022","","","","","",""
"","","","","","survey-html-form","4","144154955","0.0-4.0","1920x1080","","161620.89999997616","{""age"":""25"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","144210203","0.0-5.0","1920x1080","","55246.90000003576","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","144210204","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","144220683","0.0-7.0","1920x1080","","10475.700000047684","83.99","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","144226122","0.0-8.0","1920x1080","","5438.699999988079","57.80","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","144233218","0.0-9.0","1920x1080","","7095","81.35","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","144239107","0.0-10.0","1920x1080","","5887.199999988079","38.36","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","11","144244834","0.0-11.0","1920x1080","","5726.399999976158","35.58","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","12","144250202","0.0-12.0","1920x1080","","5367.099999964237","62.17","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","144254818","0.0-13.0","1920x1080","","4615.400000035763","79.89","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","14","144263802","0.0-14.0","1920x1080","","8983.100000023842","47","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","15","144268418","0.0-15.0","1920x1080","","4614.399999976158","76.85","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","16","144291170","0.0-16.0","1920x1080","","22751.19999998808","53.70","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","17","144297530","0.0-17.0","1920x1080","","6359.300000011921","60.98","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","144304106","0.0-18.0","1920x1080","","6575.799999952316","91","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","144308562","0.0-19.0","1920x1080","","4454.899999976158","87.57","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","144311354","0.0-20.0","1920x1080","","2791.399999976158","72.22","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","144316650","0.0-21.0","1920x1080","","5295.100000023842","41","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","22","144319714","0.0-22.0","1920x1080","","3063.399999976158","59.92","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","23","144324938","0.0-23.0","1920x1080","","5224","36.38","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","144328338","0.0-24.0","1920x1080","","3398.899999976158","66.40","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","25","144331801","0.0-25.0","1920x1080","","3423","36.51","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","144335633","0.0-26.0","1920x1080","","3831.100000023842","65.08","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","144340273","0.0-27.0","1920x1080","","4639.300000011921","64.55","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","28","145145814","0.0-28.0","1920x1080","","805375.1999999881","56.48","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","29","145147998","0.0-29.0","1920x1080","","2183","51.06","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","30","145151151","0.0-30.0","1920x1080","","3151.800000011921","28.57","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","31","145153423","0.0-31.0","1920x1080","","2271","73","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","32","145155392","0.0-32.0","1920x1080","","1968.5","32","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","33","145157222","0.0-33.0","1920x1080","","1829.300000011921","56.08","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","34","145159630","0.0-34.0","1920x1080","","2407.400000035763","37.70","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","35","145162103","0.0-35.0","1920x1080","","2471.399999976158","92.33","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","36","145164127","0.0-36.0","1920x1080","","2023.5999999642372","41.67","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","37","145166183","0.0-37.0","1920x1080","","2055","51.98","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","38","145167823","0.0-38.0","1920x1080","","1638.6000000238419","72.62","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","39","145170375","0.0-39.0","1920x1080","","2551.2999999523163","91.67","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","40","145172038","0.0-40.0","1920x1080","","1663","59.79","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","41","145173614","0.0-41.0","1920x1080","","1574.5999999642372","76.32","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","42","145175470","0.0-42.0","1920x1080","","1855.3999999761581","56.08","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","43","145178038","0.0-43.0","1920x1080","","2567.300000011921","81.75","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","145179870","0.0-44.0","1920x1080","","1831.1000000238419","60.05","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","45","145182182","0.0-45.0","1920x1080","","2310.699999988079","72.22","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","46","145184110","0.0-46.0","1920x1080","","1927.0999999642372","52.78","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","47","145188209","0.0-47.0","1920x1080","","4097.899999976158","55.16","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","48","145190238","0.0-48.0","1920x1080","","2028.9000000357628","58.73","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","49","145191966","0.0-49.0","1920x1080","","1726.699999988079","70.63","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","50","145194086","0.0-50.0","1920x1080","","2119.7000000476837","45.37","img/238/5.5/2/bw/001.png","","","complex"
