"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","3811","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","7608","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","11173","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","33032","0.0-3.0","1920x1080","11:37 20/5/2022","","","","","",""
"","","","","","survey-html-form","4","178986","0.0-4.0","1920x1080","","145950.40000000596","{""age"":""20"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","221218","0.0-5.0","1920x1080","","42230.80000001192","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","221219","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","237506","0.0-7.0","1920x1080","","16283.699999988079","52","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","8","245290","0.0-8.0","1920x1080","","7782.5","69.84","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","252410","0.0-9.0","1920x1080","","7119.199999988079","38.62","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","10","258978","0.0-10.0","1920x1080","","6567.0999999940395","54.63","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","11","269706","0.0-11.0","1920x1080","","10727.09999999404","58.47","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","280202","0.0-12.0","1920x1080","","10494.5","10.19","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","13","283794","0.0-13.0","1920x1080","","3590.7999999821186","70.24","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","293289","0.0-14.0","1920x1080","","9495.09999999404","16.27","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","297986","0.0-15.0","1920x1080","","4695.5999999940395","13.49","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","16","301666","0.0-16.0","1920x1080","","3679.300000011921","41.14","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","17","308498","0.0-17.0","1920x1080","","6830.799999982119","29.76","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","18","311794","0.0-18.0","1920x1080","","3295.5","35.58","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","318113","0.0-19.0","1920x1080","","6318.100000023842","27.25","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","322873","0.0-20.0","1920x1080","","4759.300000011921","75.53","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","328666","0.0-21.0","1920x1080","","5791.300000011921","81.22","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","22","332578","0.0-22.0","1920x1080","","3911.199999988079","36.64","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","339266","0.0-23.0","1920x1080","","6687.5","83.86","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","342362","0.0-24.0","1920x1080","","3094.7000000178814","41.67","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","25","344698","0.0-25.0","1920x1080","","2335.5999999940395","55.16","img/238/4/0.5/bw/001.png","","","complex"
