"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","21903","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","42396","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","63790","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","68522","0.0-3.0","1920x1080","13:0 20/5/2022","","","","","",""
"","","","","","survey-html-form","4","77465","0.0-4.0","1920x1080","","8939.5","{""age"":""20"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","87440","0.0-5.0","1920x1080","","9974.799999999988","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","87441","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","104904","0.0-7.0","1920x1080","","17461.70000000001","23.28","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","108784","0.0-8.0","1920x1080","","3878.5","7.01","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","9","113248","0.0-9.0","1920x1080","","4462.900000000023","44.97","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","10","116633","0.0-10.0","1920x1080","","3423.2000000000116","73","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","122321","0.0-11.0","1920x1080","","5687.100000000035","50.40","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","125497","0.0-12.0","1920x1080","","3175.2000000000116","9.52","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","130257","0.0-13.0","1920x1080","","4758.899999999965","62.57","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","14","133745","0.0-14.0","1920x1080","","3487","92.59","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","15","136473","0.0-15.0","1920x1080","","2727.4000000000233","15","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","139041","0.0-16.0","1920x1080","","2567.4000000000233","1.98","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","17","143377","0.0-17.0","1920x1080","","4335","24.34","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","18","147145","0.0-18.0","1920x1080","","3767.1999999999534","96","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","19","152009","0.0-19.0","1920x1080","","4863.200000000012","15","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","154849","0.0-20.0","1920x1080","","2839.2999999999884","32.80","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","21","158177","0.0-21.0","1920x1080","","3327.2999999999884","65.61","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","22","168785","0.0-22.0","1920x1080","","10607.299999999988","80.29","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","170769","0.0-23.0","1920x1080","","1983","23.28","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","173121","0.0-24.0","1920x1080","","2351.0999999999767","82","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","175745","0.0-25.0","1920x1080","","2623.1999999999534","6.35","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","26","177946","0.0-26.0","1920x1080","","2319.5999999999767","0.79","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","27","180098","0.0-27.0","1920x1080","","2151.100000000035","5.29","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","28","183019","0.0-28.0","1920x1080","","2919.7000000000116","28.97","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","186203","0.0-29.0","1920x1080","","3183.3000000000466","54.89","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","188946","0.0-30.0","1920x1080","","2742.2999999999884","73.41","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","31","192058","0.0-31.0","1920x1080","","3111.0999999999767","60.45","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","32","195922","0.0-32.0","1920x1080","","3863","35.32","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","33","198970","0.0-33.0","1920x1080","","3047.0999999999767","36.77","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","34","203098","0.0-34.0","1920x1080","","4127.600000000035","57.14","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","35","206962","0.0-35.0","1920x1080","","3863","23.68","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","36","209074","0.0-36.0","1920x1080","","2110.7000000000116","10.98","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","37","213746","0.0-37.0","1920x1080","","4671","25.40","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","38","216226","0.0-38.0","1920x1080","","2479","19.44","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","39","218722","0.0-39.0","1920x1080","","2495.0999999999767","84.79","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","40","222090","0.0-40.0","1920x1080","","3367.0999999999767","5","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","41","224419","0.0-41.0","1920x1080","","2328.7999999999884","2.91","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","42","229194","0.0-42.0","1920x1080","","4774","41","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","231706","0.0-43.0","1920x1080","","2510.7999999999884","87.17","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","44","233858","0.0-44.0","1920x1080","","2151.1999999999534","86.77","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","45","236322","0.0-45.0","1920x1080","","2463","26.98","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","46","239011","0.0-46.0","1920x1080","","2807.7000000000116","81.75","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","47","242884","0.0-47.0","1920x1080","","3871.9000000000233","20.24","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","48","245659","0.0-48.0","1920x1080","","2774.100000000035","4.10","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","49","249418","0.0-49.0","1920x1080","","3758.5999999999767","85.85","img/314/3.5/2/bw/001.png","","","complex"
