"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","33921","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","79024","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","116145","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","119959","0.0-3.0","1920x1080","13:26 20/5/2022","","","","","",""
"","","","","","survey-html-form","4","128840","0.0-4.0","1920x1080","","8878","{""age"":""19"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","138792","0.0-5.0","1920x1080","","9950.600000000093","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","138792","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","163880","0.0-7.0","1920x1080","","25085.699999999953","37","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","8","170279","0.0-8.0","1920x1080","","6398.399999999907","50.53","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","9","177214","0.0-9.0","1920x1080","","6934.40000000014","62.17","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","185863","0.0-10.0","1920x1080","","8647.100000000093","58.20","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","11","194046","0.0-11.0","1920x1080","","8182.800000000047","17.59","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","12","209798","0.0-12.0","1920x1080","","15750.699999999953","62","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","13","217719","0.0-13.0","1920x1080","","7919.300000000047","22.62","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","14","220327","0.0-14.0","1920x1080","","2607","8.20","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","229502","0.0-15.0","1920x1080","","9174.90000000014","64","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","238623","0.0-16.0","1920x1080","","9119.59999999986","61","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","17","244855","0.0-17.0","1920x1080","","6230.800000000047","33.86","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","18","248598","0.0-18.0","1920x1080","","3742.600000000093","36.38","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","260063","0.0-19.0","1920x1080","","11463.90000000014","27.25","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","20","272382","0.0-20.0","1920x1080","","12318.699999999953","71.03","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","276134","0.0-21.0","1920x1080","","3751.0999999998603","70.24","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","279862","0.0-22.0","1920x1080","","3726.899999999907","43.39","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","286271","0.0-23.0","1920x1080","","6408.100000000093","40.34","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","24","289879","0.0-24.0","1920x1080","","3606.6999999999534","38.49","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","294887","0.0-25.0","1920x1080","","5006.90000000014","2.91","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","26","298430","0.0-26.0","1920x1080","","3542.5","25.00","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","27","300855","0.0-27.0","1920x1080","","2424","33.73","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","302990","0.0-28.0","1920x1080","","2135.0999999998603","42.20","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","305927","0.0-29.0","1920x1080","","2935.5","34.39","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","309159","0.0-30.0","1920x1080","","3230.899999999907","2.38","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","31","312398","0.0-31.0","1920x1080","","3238.8000000000466","7.54","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","32","316886","0.0-32.0","1920x1080","","4487.300000000047","49.21","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","33","319814","0.0-33.0","1920x1080","","2926.899999999907","2.51","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","34","326382","0.0-34.0","1920x1080","","6567.40000000014","79.76","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","35","331312","0.0-35.0","1920x1080","","4929","63","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","36","336734","0.0-36.0","1920x1080","","5420.899999999907","3.31","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","339086","0.0-37.0","1920x1080","","2351.100000000093","31.08","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","38","343470","0.0-38.0","1920x1080","","4383.40000000014","83.20","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","39","346175","0.0-39.0","1920x1080","","2702.9000000001397","39.02","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","40","349190","0.0-40.0","1920x1080","","3015.100000000093","17.06","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","41","354183","0.0-41.0","1920x1080","","4990.90000000014","90","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","42","356967","0.0-42.0","1920x1080","","2783","0","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","43","360071","0.0-43.0","1920x1080","","3103.5","29.89","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","44","363399","0.0-44.0","1920x1080","","3326.6999999999534","1.98","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","45","367175","0.0-45.0","1920x1080","","3775.6999999999534","86","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","46","370031","0.0-46.0","1920x1080","","2854.6999999999534","0","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","47","372191","0.0-47.0","1920x1080","","2159.5","1.98","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","48","374871","0.0-48.0","1920x1080","","2679.100000000093","86.90","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","49","377775","0.0-49.0","1920x1080","","2903.5","34.39","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","50","382503","0.0-50.0","1920x1080","","4726.800000000047","10","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","51","386639","0.0-51.0","1920x1080","","4135.399999999907","61.38","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","52","390615","0.0-52.0","1920x1080","","3974.8000000000466","91.01","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","53","393535","0.0-53.0","1920x1080","","2919.4000000001397","13.10","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","54","396999","0.0-54.0","1920x1080","","3462.8000000000466","1.32","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","55","402735","0.0-55.0","1920x1080","","5735.100000000093","90.34","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","56","405681","0.0-56.0","1920x1080","","2945.2999999998137","29.89","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","57","407567","0.0-57.0","1920x1080","","1884.9000000001397","33.86","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","58","410407","0.0-58.0","1920x1080","","2839.5999999998603","0","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","59","415039","0.0-59.0","1920x1080","","4631.09999999986","17","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","60","416951","0.0-60.0","1920x1080","","1911","33.20","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","61","422751","0.0-61.0","1920x1080","","5798.899999999907","38.23","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","62","485335","0.0-62.0","1920x1080","","62583.10000000009","22.88","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","63","487447","0.0-63.0","1920x1080","","2111.8000000000466","87.04","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","64","489119","0.0-64.0","1920x1080","","1670.6999999999534","42.86","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","65","491582","0.0-65.0","1920x1080","","2463","25.13","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","66","493399","0.0-66.0","1920x1080","","1815.3999999999069","9.92","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","67","496214","0.0-67.0","1920x1080","","2815.100000000093","4.23","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","68","498750","0.0-68.0","1920x1080","","2535","2.12","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","69","501238","0.0-69.0","1920x1080","","2487.1999999999534","0.40","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","70","503182","0.0-70.0","1920x1080","","1942.8999999999069","32.41","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","71","507951","0.0-71.0","1920x1080","","4767.5","16","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","72","510647","0.0-72.0","1920x1080","","2695.8000000000466","17.72","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","73","513639","0.0-73.0","1920x1080","","2990.5999999998603","2.91","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","74","515982","0.0-74.0","1920x1080","","2342.6999999999534","38.36","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","75","518281","0.0-75.0","1920x1080","","2297.5999999998603","43.78","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","76","520671","0.0-76.0","1920x1080","","2388.600000000093","44.44","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","77","522718","0.0-77.0","1920x1080","","2046.7999999998137","33.20","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","78","526166","0.0-78.0","1920x1080","","3447","85.32","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","79","530015","0.0-79.0","1920x1080","","3847.600000000093","89.68","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","80","531896","0.0-80.0","1920x1080","","1879.5","41.40","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","81","537263","0.0-81.0","1920x1080","","5366.300000000047","3","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","html-button-response","82","556665","0.0-82.0","1920x1080","","19400.300000000047","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">APPEALING</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Appealing<br></div><div class=""intro"">1 = Most Appealing<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","556666","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","561706","0.0-84.0","1920x1080","","5040.100000000093","0.00","img/117/2.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","85","566799","0.0-85.0","1920x1080","","5089.899999999907","100","img/117/5.5/1/bw/001.png","","","appealing"
"","","","","","animation","86","575730","0.0-86.0","1920x1080","","8929.800000000047","32","img/314/4.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","87","581081","0.0-87.0","1920x1080","","5350.4000000003725","42.99","img/238/4.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","88","585551","0.0-88.0","1920x1080","","4469.100000000093","92.59","img/314/5.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","89","588559","0.0-89.0","1920x1080","","3007.2999999998137","8.73","img/314/3.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","90","591207","0.0-90.0","1920x1080","","2647.100000000093","0","img/238/3.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","91","594816","0.0-91.0","1920x1080","","3606.600000000093","98","img/117/5.5/2/bw/001.png","","","appealing"
"","","","","","animation","92","597408","0.0-92.0","1920x1080","","2591.7000000001863","0.53","img/117/2.5/2/bw/001.png","","","appealing"
"","","","","","animation","93","599792","0.0-93.0","1920x1080","","2382.9000000003725","0.93","img/238/2.5/2/bw/001.png","","","appealing"
"","","","","","animation","94","602176","0.0-94.0","1920x1080","","2383.1999999997206","2.25","img/314/3.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","95","608914","0.0-95.0","1920x1080","","6736.700000000186","78.04","img/238/5.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","96","611904","0.0-96.0","1920x1080","","2989.2999999998137","23.94","img/117/4/0.66667/bw/001.png","","","appealing"
"","","","","","animation","97","614760","0.0-97.0","1920x1080","","2855.100000000093","14.68","img/238/4/2/bw/001.png","","","appealing"
"","","","","","animation","98","617504","0.0-98.0","1920x1080","","2743.100000000093","0.13","img/117/2.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","99","624208","0.0-99.0","1920x1080","","6703.200000000186","100","img/238/5.5/2/bw/001.png","","","appealing"
"","","","","","animation","100","626450","0.0-100.0","1920x1080","","2238","15.61","img/238/3.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","101","629532","0.0-101.0","1920x1080","","3081","1.32","img/238/3.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","102","633856","0.0-102.0","1920x1080","","4323.799999999814","86","img/314/5.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","103","637856","0.0-103.0","1920x1080","","3999.2000000001863","33.73","img/314/4/1/bw/001.png","","","appealing"
"","","","","","animation","104","640148","0.0-104.0","1920x1080","","2290.2999999998137","14.68","img/314/4.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","105","642592","0.0-105.0","1920x1080","","2443.5999999996275","5.16","img/117/3.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","106","645216","0.0-106.0","1920x1080","","2622.6999999997206","0.00","img/314/2.5/2/bw/001.png","","","appealing"
"","","","","","animation","107","648208","0.0-107.0","1920x1080","","2991.2000000001863","100","img/238/5.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","108","651456","0.0-108.0","1920x1080","","3247.100000000093","34.39","img/117/4/1/bw/001.png","","","appealing"
"","","","","","animation","109","654333","0.0-109.0","1920x1080","","2873.899999999907","17","img/117/4/0.5/bw/001.png","","","appealing"
"","","","","","animation","110","658666","0.0-110.0","1920x1080","","4332.5","100","img/314/5.5/1/bw/001.png","","","appealing"
"","","","","","animation","111","662250","0.0-111.0","1920x1080","","3582.2000000001863","20.50","img/238/4.5/2/bw/001.png","","","appealing"
"","","","","","animation","112","665242","0.0-112.0","1920x1080","","2991.2999999998137","22.75","img/117/4.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","113","668306","0.0-113.0","1920x1080","","3063","14.29","img/238/4/1.5/bw/001.png","","","appealing"
"","","","","","animation","114","672402","0.0-114.0","1920x1080","","4094.7000000001863","17.46","img/314/4/0.5/bw/001.png","","","appealing"
"","","","","","animation","115","727269","0.0-115.0","1920x1080","","54863.80000000028","33.20","img/238/4.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","116","729428","0.0-116.0","1920x1080","","2158.899999999907","10.58","img/238/3.5/2/bw/001.png","","","appealing"
"","","","","","animation","117","732069","0.0-117.0","1920x1080","","2639.5","6.75","img/117/3.5/2/bw/001.png","","","appealing"
"","","","","","animation","118","734153","0.0-118.0","1920x1080","","2083.7000000001863","6.61","img/117/3.5/1/bw/001.png","","","appealing"
"","","","","","animation","119","738260","0.0-119.0","1920x1080","","4106","99","img/314/5.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","120","740380","0.0-120.0","1920x1080","","2119.1999999997206","26.72","img/238/4/0.5/bw/001.png","","","appealing"
"","","","","","animation","121","743108","0.0-121.0","1920x1080","","2726.7999999998137","17.20","img/238/4/1/bw/001.png","","","appealing"
"","","","","","animation","122","745524","0.0-122.0","1920x1080","","2415.0999999996275","0.40","img/314/2.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","123","747676","0.0-123.0","1920x1080","","2151.0999999996275","0.13","img/238/2.5/1/bw/001.png","","","appealing"
"","","","","","animation","124","752676","0.0-124.0","1920x1080","","4999.0999999996275","28.84","img/314/4.5/2/bw/001.png","","","appealing"
"","","","","","animation","125","755519","0.0-125.0","1920x1080","","2842.2999999998137","5.16","img/314/2.5/1/bw/001.png","","","appealing"
"","","","","","animation","126","757686","0.0-126.0","1920x1080","","2165.5","18.78","img/238/4.5/1/bw/001.png","","","appealing"
"","","","","","animation","127","760244","0.0-127.0","1920x1080","","2557.5999999996275","2.38","img/238/2.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","128","762964","0.0-128.0","1920x1080","","2718.9000000003725","33.20","img/117/4/2/bw/001.png","","","appealing"
"","","","","","animation","129","766364","0.0-129.0","1920x1080","","3399.1999999997206","25.79","img/117/4/1.5/bw/001.png","","","appealing"
"","","","","","animation","130","769188","0.0-130.0","1920x1080","","2822.600000000093","100","img/314/5.5/2/bw/001.png","","","appealing"
"","","","","","animation","131","771820","0.0-131.0","1920x1080","","2631","100","img/238/5.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","132","774938","0.0-132.0","1920x1080","","3114.899999999907","0","img/238/2.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","133","777072","0.0-133.0","1920x1080","","2133.100000000093","14.68","img/238/3.5/1/bw/001.png","","","appealing"
"","","","","","animation","134","778799","0.0-134.0","1920x1080","","1725.7999999998137","18.78","img/314/3.5/1/bw/001.png","","","appealing"
"","","","","","animation","135","781771","0.0-135.0","1920x1080","","2971.4000000003725","0","img/238/2.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","136","783815","0.0-136.0","1920x1080","","2042.7000000001863","37.04","img/117/4.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","137","786823","0.0-137.0","1920x1080","","3006.7999999998137","0.53","img/314/2.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","138","789847","0.0-138.0","1920x1080","","3023.5","23.68","img/314/4.5/1/bw/001.png","","","appealing"
"","","","","","animation","139","791711","0.0-139.0","1920x1080","","1863","11.64","img/314/4/2/bw/001.png","","","appealing"
"","","","","","animation","140","795047","0.0-140.0","1920x1080","","3335","100","img/238/5.5/1/bw/001.png","","","appealing"
"","","","","","animation","141","797799","0.0-141.0","1920x1080","","2751","0","img/314/2.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","142","804031","0.0-142.0","1920x1080","","6230.700000000186","31.75","img/314/3.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","143","808590","0.0-143.0","1920x1080","","4558","48.54","img/117/4.5/1/bw/001.png","","","appealing"
"","","","","","animation","144","813674","0.0-144.0","1920x1080","","5082.199999999721","1.59","img/117/2.5/1/bw/001.png","","","appealing"
"","","","","","animation","145","830206","0.0-145.0","1920x1080","","16531.799999999814","64.02","img/314/4.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","146","833625","0.0-146.0","1920x1080","","3414.9000000003725","13.49","img/314/3.5/2/bw/001.png","","","appealing"
"","","","","","animation","147","837290","0.0-147.0","1920x1080","","3664.899999999907","0","img/117/2.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","148","840513","0.0-148.0","1920x1080","","3220.5","2.78","img/117/3.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","149","843224","0.0-149.0","1920x1080","","2710.600000000093","11.51","img/238/4/0.66667/bw/001.png","","","appealing"
"","","","","","animation","150","847617","0.0-150.0","1920x1080","","4391.700000000186","40.74","img/238/4.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","151","849574","0.0-151.0","1920x1080","","1955.7999999998137","21.03","img/314/4/0.66667/bw/001.png","","","appealing"
"","","","","","animation","152","852033","0.0-152.0","1920x1080","","2458.399999999907","100","img/117/5.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","153","854249","0.0-153.0","1920x1080","","2215.100000000093","24.47","img/117/4.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","154","856558","0.0-154.0","1920x1080","","2307.6999999997206","12.70","img/117/3.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","155","860161","0.0-155.0","1920x1080","","3602","99","img/117/5.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","156","862961","0.0-156.0","1920x1080","","2799","100","img/117/5.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","157","867577","0.0-157.0","1920x1080","","4614.899999999907","62.96","img/117/4.5/2/bw/001.png","","","appealing"
"","","","","","animation","158","870149","0.0-158.0","1920x1080","","2571.2999999998137","23.15","img/314/4/1.5/bw/001.png","","","appealing"
"","","","","","html-button-response","159","914893","0.0-159.0","1920x1080","","44741.39999999991","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">NATURAL</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Natural<br></div><div class=""intro"">1 = Most Natural<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","160","914897","0.0-160.0","1920x1080","","","","","","",""
"","","","","","animation","161","917325","0.0-161.0","1920x1080","","2426.899999999907","0","img/117/3.5/1/bw/001.png","","","natural"
"","","","","","animation","162","920025","0.0-162.0","1920x1080","","2699.9000000003725","22.22","img/238/4/1/bw/001.png","","","natural"
"","","","","","animation","163","921618","0.0-163.0","1920x1080","","1591.7000000001863","27.38","img/117/4/0.66667/bw/001.png","","","natural"
"","","","","","animation","164","923914","0.0-164.0","1920x1080","","2295.100000000093","0","img/238/2.5/0.5/bw/001.png","","","natural"
"","","","","","animation","165","926418","0.0-165.0","1920x1080","","2503","100","img/314/5.5/1.5/bw/001.png","","","natural"
"","","","","","animation","166","928049","0.0-166.0","1920x1080","","1630.5","84.79","img/238/5.5/1.5/bw/001.png","","","natural"
"","","","","","animation","167","930977","0.0-167.0","1920x1080","","2927.100000000093","2.38","img/314/3.5/0.5/bw/001.png","","","natural"
"","","","","","animation","168","932802","0.0-168.0","1920x1080","","1823.3999999999069","7.94","img/238/3.5/2/bw/001.png","","","natural"
"","","","","","animation","169","935258","0.0-169.0","1920x1080","","2455.5","0.13","img/238/2.5/2/bw/001.png","","","natural"
"","","","","","animation","170","938925","0.0-170.0","1920x1080","","3665.600000000093","43.25","img/117/4.5/2/bw/001.png","","","natural"
"","","","","","animation","171","941234","0.0-171.0","1920x1080","","2307.899999999907","0.13","img/314/2.5/0.66667/bw/001.png","","","natural"
"","","","","","animation","172","943742","0.0-172.0","1920x1080","","2507","0.53","img/238/3.5/1/bw/001.png","","","natural"
"","","","","","animation","173","947925","0.0-173.0","1920x1080","","4182.299999999814","26.59","img/314/4/2/bw/001.png","","","natural"
"","","","","","animation","174","951114","0.0-174.0","1920x1080","","3187.399999999907","17.46","img/238/3.5/1.5/bw/001.png","","","natural"
"","","","","","animation","175","953709","0.0-175.0","1920x1080","","2594.2999999998137","7.41","img/314/3.5/1/bw/001.png","","","natural"
"","","","","","animation","176","957930","0.0-176.0","1920x1080","","4219.700000000186","89.95","img/117/5.5/2/bw/001.png","","","natural"
"","","","","","animation","177","961650","0.0-177.0","1920x1080","","3719.100000000093","12.70","img/314/4/0.5/bw/001.png","","","natural"
"","","","","","animation","178","964561","0.0-178.0","1920x1080","","2910.899999999907","32.67","img/238/4.5/0.66667/bw/001.png","","","natural"
"","","","","","animation","179","966585","0.0-179.0","1920x1080","","2022.5","0","img/117/2.5/0.66667/bw/001.png","","","natural"
"","","","","","animation","180","968761","0.0-180.0","1920x1080","","2174.899999999907","29.63","img/314/4/0.66667/bw/001.png","","","natural"
"","","","","","animation","181","970958","0.0-181.0","1920x1080","","2196.2999999998137","1.19","img/117/2.5/2/bw/001.png","","","natural"
"","","","","","animation","182","974914","0.0-182.0","1920x1080","","3954.399999999907","62.30","img/238/4.5/1/bw/001.png","","","natural"
"","","","","","animation","183","976575","0.0-183.0","1920x1080","","1660.5","32","img/238/4/0.5/bw/001.png","","","natural"
