"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","16061","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","32545","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","49497","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","245735","0.0-3.0","1920x1080","14:3 20/5/2022","","","","","",""
"","","","","","survey-html-form","4","256201","0.0-4.0","1920x1080","","10463","{""age"":""18"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","277697","0.0-5.0","1920x1080","","21494.700000000186","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","277697","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","285057","0.0-7.0","1920x1080","","7356.5999999996275","99","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","338335","0.0-8.0","1920x1080","","53278.299999999814","84.26","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","9","343216","0.0-9.0","1920x1080","","4879.5","100","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","351591","0.0-10.0","1920x1080","","8374.899999999441","48.68","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","11","358032","0.0-11.0","1920x1080","","6439.5","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","369287","0.0-12.0","1920x1080","","11254.900000000373","66.67","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","13","372743","0.0-13.0","1920x1080","","3454.5999999996275","65.61","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","14","375935","0.0-14.0","1920x1080","","3191.2000000001863","99","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","15","379463","0.0-15.0","1920x1080","","3527.4000000003725","98","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","383191","0.0-16.0","1920x1080","","3726.9000000003725","99","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","387087","0.0-17.0","1920x1080","","3895.5","98","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","391071","0.0-18.0","1920x1080","","3983.100000000559","80.95","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","19","394640","0.0-19.0","1920x1080","","3567.5999999996275","89","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","20","398911","0.0-20.0","1920x1080","","4271.100000000559","98","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","403775","0.0-21.0","1920x1080","","4862.899999999441","100","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","22","409111","0.0-22.0","1920x1080","","5335.300000000745","52","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","23","413407","0.0-23.0","1920x1080","","4294.899999999441","100","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","24","416831","0.0-24.0","1920x1080","","3423.5","72.22","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","423647","0.0-25.0","1920x1080","","6815.200000000186","78.84","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","26","437799","0.0-26.0","1920x1080","","14151.599999999627","97","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","27","442879","0.0-27.0","1920x1080","","5078.799999999814","100","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","28","446287","0.0-28.0","1920x1080","","3407.0999999996275","72.22","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","29","470911","0.0-29.0","1920x1080","","24622.700000000186","87.57","img/314/4/1.5/bw/001.png","","","complex"
