"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","35415","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","70491","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","108392","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","136380","0.0-3.0","1920x1080","14:12 20/5/2022","","","","","",""
"","","","","","survey-html-form","4","143524","0.0-4.0","1920x1080","","7141.199999999255","{""age"":""19"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","193324","0.0-5.0","1920x1080","","49798.799999999814","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","193325","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","203740","0.0-7.0","1920x1080","","10412.5","65.08","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","207931","0.0-8.0","1920x1080","","4190.299999999814","29.89","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","218484","0.0-9.0","1920x1080","","10551.200000000186","39.55","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","225292","0.0-10.0","1920x1080","","6807.0999999996275","19.71","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","236220","0.0-11.0","1920x1080","","10927.099999999627","19.71","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","12","252836","0.0-12.0","1920x1080","","16615","19.84","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","13","261787","0.0-13.0","1920x1080","","8950.600000000559","20","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","269276","0.0-14.0","1920x1080","","7487.799999999814","59.79","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","278236","0.0-15.0","1920x1080","","8958.799999999814","10.19","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","16","286132","0.0-16.0","1920x1080","","7895.100000000559","25.40","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","17","292900","0.0-17.0","1920x1080","","6767","14.42","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","298284","0.0-18.0","1920x1080","","5383.399999999441","28.97","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","19","303980","0.0-19.0","1920x1080","","5695.700000000186","19.44","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","20","314812","0.0-20.0","1920x1080","","10831","17.59","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","21","326764","0.0-21.0","1920x1080","","11950.599999999627","50","img/314/2.5/2/bw/001.png","","","complex"
