"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","27575","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","55162","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","84064","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","89121","0.0-3.0","1920x1080","9:39 23/5/2022","","","","","",""
"","","","","","survey-html-form","4","101735","0.0-4.0","1920x1080","","12611.199999988079","{""age"":""20"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","153399","0.0-5.0","1920x1080","","51662.79999998212","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","153400","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","167663","0.0-7.0","1920x1080","","14260.59999999404","7.80","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","180815","0.0-8.0","1920x1080","","13150.90000000596","52.38","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","9","191247","0.0-9.0","1920x1080","","10430.5","87.57","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","201607","0.0-10.0","1920x1080","","10359.40000000596","71.83","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","208263","0.0-11.0","1920x1080","","6654.5999999940395","98","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","12","213087","0.0-12.0","1920x1080","","4823.199999988079","100","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","239576","0.0-13.0","1920x1080","","26487.5","100","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","14","259119","0.0-14.0","1920x1080","","19542.40000000596","83.33","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","288592","0.0-15.0","1920x1080","","29472","100","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","16","294567","0.0-16.0","1920x1080","","5973.899999976158","97","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","17","302919","0.0-17.0","1920x1080","","8351.40000000596","98","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","311551","0.0-18.0","1920x1080","","8631.59999999404","77.91","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","321487","0.0-19.0","1920x1080","","9935","59.52","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","20","337295","0.0-20.0","1920x1080","","15806.800000011921","49","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","21","349247","0.0-21.0","1920x1080","","11951.59999999404","53","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","360511","0.0-22.0","1920x1080","","11262.899999976158","97","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","366568","0.0-23.0","1920x1080","","6055.5999999940395","35.32","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","375904","0.0-24.0","1920x1080","","9335.5","86.38","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","25","383624","0.0-25.0","1920x1080","","7719.200000017881","26.32","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","26","395512","0.0-26.0","1920x1080","","11886.799999982119","67","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","27","409504","0.0-27.0","1920x1080","","13991.300000011921","90.34","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","28","419880","0.0-28.0","1920x1080","","10375","96","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","431096","0.0-29.0","1920x1080","","11215.199999988079","59.92","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","439960","0.0-30.0","1920x1080","","8863.09999999404","12.96","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","31","444376","0.0-31.0","1920x1080","","4415.300000011921","17.46","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","448432","0.0-32.0","1920x1080","","4055.7000000178814","57.01","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","33","461792","0.0-33.0","1920x1080","","13360","50.00","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","34","474409","0.0-34.0","1920x1080","","12615.5","62.43","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","35","478848","0.0-35.0","1920x1080","","4438.200000017881","68.12","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","36","494743","0.0-36.0","1920x1080","","15894.699999988079","43","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","37","499152","0.0-37.0","1920x1080","","4407.800000011921","55","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","38","503072","0.0-38.0","1920x1080","","3919.199999988079","68.92","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","39","510816","0.0-39.0","1920x1080","","7742.9000000059605","79.23","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","40","533904","0.0-40.0","1920x1080","","23086.90000000596","38","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","41","545512","0.0-41.0","1920x1080","","11607.399999976158","66.27","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","42","560088","0.0-42.0","1920x1080","","14575.5","1","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","43","570352","0.0-43.0","1920x1080","","10262.800000011921","62.70","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","44","580864","0.0-44.0","1920x1080","","10511.100000023842","1","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","45","585480","0.0-45.0","1920x1080","","4615.199999988079","23.15","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","46","599536","0.0-46.0","1920x1080","","14055.299999982119","9.26","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","47","604736","0.0-47.0","1920x1080","","5198.800000011921","38.36","img/314/4/0.66667/bw/001.png","","","complex"
