"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","25748","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","53951","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","86309","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","92755","0.0-3.0","1920x1080","9:44 23/5/2022","","","","","",""
"","","","","","survey-html-form","4","99588","0.0-4.0","1920x1080","","6831.9000000059605","{""age"":""22"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","152058","0.0-5.0","1920x1080","","52462.60000002384","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","152058","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","159674","0.0-7.0","1920x1080","","7612.5","65.61","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","8","163905","0.0-8.0","1920x1080","","4230.4000000059605","42.20","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","9","168425","0.0-9.0","1920x1080","","4518.800000011921","19.44","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","172385","0.0-10.0","1920x1080","","3959.100000023842","94","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","11","175906","0.0-11.0","1920x1080","","3519.7000000178814","72.49","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","12","182362","0.0-12.0","1920x1080","","6455","55","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","185193","0.0-13.0","1920x1080","","2830.800000011921","80.95","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","189913","0.0-14.0","1920x1080","","4719.299999982119","42.06","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","192753","0.0-15.0","1920x1080","","2838.9000000059605","24.34","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","197850","0.0-16.0","1920x1080","","5095.600000023842","14.68","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","17","201153","0.0-17.0","1920x1080","","3302.4000000059605","74.87","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","18","203985","0.0-18.0","1920x1080","","2831.300000011921","94.58","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","209449","0.0-19.0","1920x1080","","5463.299999982119","89","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","20","213025","0.0-20.0","1920x1080","","3575","81.48","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","236737","0.0-21.0","1920x1080","","23711","21.43","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","264113","0.0-22.0","1920x1080","","27375.79999998212","31","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","23","269297","0.0-23.0","1920x1080","","5183","98","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","272521","0.0-24.0","1920x1080","","3222.9000000059605","88","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","25","277257","0.0-25.0","1920x1080","","4735.4000000059605","100","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","26","281514","0.0-26.0","1920x1080","","4255.199999988079","14","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","27","284753","0.0-27.0","1920x1080","","3239","26.46","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","28","289113","0.0-28.0","1920x1080","","4359.4000000059605","35.98","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","291985","0.0-29.0","1920x1080","","2871","19.58","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","294802","0.0-30.0","1920x1080","","2816.4000000059605","15.48","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","31","301082","0.0-31.0","1920x1080","","6278.799999982119","70","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","32","304249","0.0-32.0","1920x1080","","3166.800000011921","57.80","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","317321","0.0-33.0","1920x1080","","13071.100000023842","81.08","img/314/4/0.5/bw/001.png","","","complex"
