"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","3886","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","7740","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","11307","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","22081","0.0-3.0","1920x1080","10:52 23/5/2022","","","","","",""
"","","","","","survey-html-form","4","47434","0.0-4.0","1920x1080","","25350.59999999404","{""age"":""21"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","111851","0.0-5.0","1920x1080","","64414.79999998212","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","111852","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","137506","0.0-7.0","1920x1080","","25651.19999998808","35","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","145058","0.0-8.0","1920x1080","","7551","25.00","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","9","158626","0.0-9.0","1920x1080","","13566.699999988079","95","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","10","166298","0.0-10.0","1920x1080","","7671.199999988079","74.60","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","11","175242","0.0-11.0","1920x1080","","8942.800000011921","15.34","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","195555","0.0-12.0","1920x1080","","20310.899999976158","16.93","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","203011","0.0-13.0","1920x1080","","7454.699999988079","65.34","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","208059","0.0-14.0","1920x1080","","5047.199999988079","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","219475","0.0-15.0","1920x1080","","11415","69.84","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","226074","0.0-16.0","1920x1080","","6599.0999999940395","80.16","img/117/4/0.5/bw/001.png","","","complex"
