"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","3773","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","7733","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","11321","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","797992","0.0-3.0","1920x1080","15:19 23/5/2022","","","","","",""
"","","","","","survey-html-form","4","806809","0.0-4.0","1920x1080","","8811.599999964237","{""age"":""20"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","857993","0.0-5.0","1920x1080","","51183.09999996424","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","857994","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","884552","0.0-7.0","1920x1080","","26556.099999964237","19.71","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","8","892488","0.0-8.0","1920x1080","","7935.199999988079","44.18","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","899968","0.0-9.0","1920x1080","","7478.600000023842","19.05","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","10","906632","0.0-10.0","1920x1080","","6663.200000047684","2.51","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","11","911544","0.0-11.0","1920x1080","","4911.099999964237","81.61","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","916688","0.0-12.0","1920x1080","","5142.5","51.98","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","13","921552","0.0-13.0","1920x1080","","4863","66.53","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","927048","0.0-14.0","1920x1080","","5495","13.23","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","932312","0.0-15.0","1920x1080","","5264","56.48","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","937560","0.0-16.0","1920x1080","","5246.900000035763","0.93","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","17","947088","0.0-17.0","1920x1080","","9526.800000011921","50.53","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","18","956672","0.0-18.0","1920x1080","","9582.600000023842","8.60","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","19","960864","0.0-19.0","1920x1080","","4191.399999976158","31.08","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","20","968881","0.0-20.0","1920x1080","","8015.799999952316","25.26","img/238/4.5/1.5/bw/001.png","","","complex"
