"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","33447","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","74556","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","96230","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","1646541","0.0-3.0","1920x1080","15:21 23/5/2022","","","","","",""
"","","","","","survey-html-form","4","1657255","0.0-4.0","1920x1080","","10712.300000000047","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","1722975","0.0-5.0","1920x1080","","65718.80000000005","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","1722975","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1745791","0.0-7.0","1920x1080","","22812.899999999907","6.88","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","1774423","0.0-8.0","1920x1080","","28630.40000000014","14.68","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","9","1780903","0.0-9.0","1920x1080","","6479.200000000186","45.63","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","10","1788590","0.0-10.0","1920x1080","","7687","50","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","1795606","0.0-11.0","1920x1080","","7011.699999999953","39.42","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","12","1801022","0.0-12.0","1920x1080","","5414","37","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","13","1809902","0.0-13.0","1920x1080","","8879.199999999953","4.50","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","1814718","0.0-14.0","1920x1080","","4815.09999999986","12","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","1825462","0.0-15.0","1920x1080","","10743","41.53","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","16","1830494","0.0-16.0","1920x1080","","5031.5","57.94","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","17","1838286","0.0-17.0","1920x1080","","7790.800000000047","62.04","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","1850782","0.0-18.0","1920x1080","","12495.59999999986","70.77","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","1856438","0.0-19.0","1920x1080","","5655.300000000047","84.13","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","20","1863174","0.0-20.0","1920x1080","","6735","8.60","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","21","1873806","0.0-21.0","1920x1080","","10631.300000000047","64.81","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","22","1878054","0.0-22.0","1920x1080","","4247.5","75.13","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","23","1882806","0.0-23.0","1920x1080","","4751","1.32","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","1886646","0.0-24.0","1920x1080","","3838.6999999999534","50","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","25","1889406","0.0-25.0","1920x1080","","2759.600000000093","67.59","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","26","1893878","0.0-26.0","1920x1080","","4471.5","96","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","1905287","0.0-27.0","1920x1080","","11407.09999999986","62","img/117/4.5/0.66667/bw/001.png","","","complex"
