"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","48795","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","95033","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","143929","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","1142378","0.0-3.0","1920x1080","12:44 26/5/2022","","","","","",""
"","","","","","survey-html-form","4","1151551","0.0-4.0","1920x1080","","9170.699999988079","{""age"":""24"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","1178263","0.0-5.0","1920x1080","","26710.600000023842","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","1178264","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1197063","0.0-7.0","1920x1080","","18796.600000023842","86.64","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","1201367","0.0-8.0","1920x1080","","4302.800000011921","4.89","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","1204919","0.0-9.0","1920x1080","","3551.199999988079","75.66","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","1210519","0.0-10.0","1920x1080","","5598.5","55.16","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","1215007","0.0-11.0","1920x1080","","4485.899999976158","100","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","12","1221111","0.0-12.0","1920x1080","","6103.199999988079","0.13","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","13","1225567","0.0-13.0","1920x1080","","4455.100000023842","100","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","14","1232703","0.0-14.0","1920x1080","","7135.199999988079","66.14","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","1239207","0.0-15.0","1920x1080","","6501.799999952316","62.70","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","16","1244487","0.0-16.0","1920x1080","","5279.600000023842","0","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","1252127","0.0-17.0","1920x1080","","7638.600000023842","97","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","1257727","0.0-18.0","1920x1080","","5599.100000023842","9","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","19","1262423","0.0-19.0","1920x1080","","4694.899999976158","100","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","20","1266791","0.0-20.0","1920x1080","","4367.300000011921","25.13","img/117/5.5/0.5/bw/001.png","","","complex"
