"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","17834","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","35252","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","52848","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","1436807","0.0-3.0","1920x1080","13:41 26/5/2022","","","","","",""
"","","","","","survey-html-form","4","1445582","0.0-4.0","1920x1080","","8770.899999976158","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","1471262","0.0-5.0","1920x1080","","25679","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","1471263","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1503598","0.0-7.0","1920x1080","","32332","89.68","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","1517789","0.0-8.0","1920x1080","","14190.800000011921","19.71","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","9","1530373","0.0-9.0","1920x1080","","12583","80.29","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","10","1551126","0.0-10.0","1920x1080","","20751.200000047684","26","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","11","1563798","0.0-11.0","1920x1080","","12670.300000011921","49.87","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","12","1578062","0.0-12.0","1920x1080","","14262.700000047684","66.14","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","1594302","0.0-13.0","1920x1080","","16238.799999952316","10","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","14","1614118","0.0-14.0","1920x1080","","19815.19999998808","78","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","1623006","0.0-15.0","1920x1080","","8887.100000023842","67.59","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","16","1633534","0.0-16.0","1920x1080","","10526.899999976158","13","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","1644422","0.0-17.0","1920x1080","","10887","44.71","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","1650414","0.0-18.0","1920x1080","","5990.899999976158","80.82","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","1664174","0.0-19.0","1920x1080","","13759.399999976158","13","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","20","1687126","0.0-20.0","1920x1080","","22951.200000047684","34.92","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","21","1693182","0.0-21.0","1920x1080","","6054.799999952316","44.58","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","22","1699334","0.0-22.0","1920x1080","","6151.399999976158","47.35","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","23","1709094","0.0-23.0","1920x1080","","9759.300000011921","54","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","1716278","0.0-24.0","1920x1080","","7182.799999952316","27.38","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","1724070","0.0-25.0","1920x1080","","7791.100000023842","74.87","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","1733254","0.0-26.0","1920x1080","","9183.399999976158","65.34","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","1738718","0.0-27.0","1920x1080","","5463.100000023842","8.47","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","28","1748350","0.0-28.0","1920x1080","","9631","65.34","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","1756486","0.0-29.0","1920x1080","","8134.800000011921","42.72","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","30","1766758","0.0-30.0","1920x1080","","10272","89","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","31","1771879","0.0-31.0","1920x1080","","5119.399999976158","72.35","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","1777919","0.0-32.0","1920x1080","","6038.899999976158","68.92","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","1787144","0.0-33.0","1920x1080","","9224.199999988079","38.62","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","34","1799470","0.0-34.0","1920x1080","","12325.800000011921","91.67","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","35","1804830","0.0-35.0","1920x1080","","5358.299999952316","82.54","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","36","1808262","0.0-36.0","1920x1080","","3431.099999964237","95","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","1813719","0.0-37.0","1920x1080","","5455.899999976158","31.08","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","38","1819023","0.0-38.0","1920x1080","","5303.300000011921","56.48","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","39","1823439","0.0-39.0","1920x1080","","4414.900000035763","39.95","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","40","1831150","0.0-40.0","1920x1080","","7710.699999988079","45.50","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","41","1854519","0.0-41.0","1920x1080","","23366.80000001192","32.41","img/238/4/2/bw/001.png","","","complex"
