"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","27019","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","54475","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","94946","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","102249","0.0-3.0","1920x1080","14:28 26/5/2022","","","","","",""
"","","","","","survey-html-form","4","111297","0.0-4.0","1920x1080","","9046","{""age"":""20"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","122958","0.0-5.0","1920x1080","","11662.800000011921","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","122959","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","140462","0.0-7.0","1920x1080","","17501.40000000596","35.85","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","8","143702","0.0-8.0","1920x1080","","3238.2999999821186","72.49","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","9","147814","0.0-9.0","1920x1080","","4111","56.35","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","10","153990","0.0-10.0","1920x1080","","6175","49.87","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","158974","0.0-11.0","1920x1080","","4983.200000017881","39.29","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","12","165718","0.0-12.0","1920x1080","","6743.199999988079","2","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","13","171742","0.0-13.0","1920x1080","","6023.200000017881","78.70","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","176318","0.0-14.0","1920x1080","","4575","56","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","15","186688","0.0-15.0","1920x1080","","10367.40000000596","61.64","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","189576","0.0-16.0","1920x1080","","2887.5","9.66","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","17","193576","0.0-17.0","1920x1080","","3998.699999988079","19.97","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","196584","0.0-18.0","1920x1080","","3007.4000000059605","23.68","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","201520","0.0-19.0","1920x1080","","4934.699999988079","44.97","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","20","206600","0.0-20.0","1920x1080","","5079.800000011921","59.13","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","215224","0.0-21.0","1920x1080","","8623","57.80","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","22","221240","0.0-22.0","1920x1080","","6015.0999999940395","37","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","232592","0.0-23.0","1920x1080","","11351.40000000596","81","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","234984","0.0-24.0","1920x1080","","2391.2000000178814","12.96","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","25","237144","0.0-25.0","1920x1080","","2158.9000000059605","26.32","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","26","238928","0.0-26.0","1920x1080","","1783.800000011921","12.83","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","242072","0.0-27.0","1920x1080","","3142.7000000178814","31.61","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","28","245713","0.0-28.0","1920x1080","","3639.9000000059605","40.74","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","29","247816","0.0-29.0","1920x1080","","2102.699999988079","2","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","252297","0.0-30.0","1920x1080","","4479.800000011921","14.95","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","31","254505","0.0-31.0","1920x1080","","2207.5","2.38","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","257097","0.0-32.0","1920x1080","","2590.7000000178814","1","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","33","259505","0.0-33.0","1920x1080","","2407.399999976158","7.01","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","34","261776","0.0-34.0","1920x1080","","2270.699999988079","3.97","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","264456","0.0-35.0","1920x1080","","2679.199999988079","7.41","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","36","269929","0.0-36.0","1920x1080","","5470.699999988079","78.04","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","37","273745","0.0-37.0","1920x1080","","3815","60","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","38","278377","0.0-38.0","1920x1080","","4631.199999988079","80.42","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","39","282001","0.0-39.0","1920x1080","","3623.300000011921","3.57","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","40","286865","0.0-40.0","1920x1080","","4862.800000011921","58.47","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","41","293208","0.0-41.0","1920x1080","","6342.5","80.56","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","42","295705","0.0-42.0","1920x1080","","2496","3.44","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","43","302048","0.0-43.0","1920x1080","","6342.700000017881","90.61","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","44","305553","0.0-44.0","1920x1080","","3504.4000000059605","83.73","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","45","310328","0.0-45.0","1920x1080","","4774","89.68","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","46","317928","0.0-46.0","1920x1080","","7599.5999999940395","89.15","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","47","322808","0.0-47.0","1920x1080","","4878.699999988079","35","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","48","328928","0.0-48.0","1920x1080","","6119.199999988079","84.26","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","49","332656","0.0-49.0","1920x1080","","3727.4000000059605","91.67","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","50","335328","0.0-50.0","1920x1080","","2670.899999976158","4","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","51","339096","0.0-51.0","1920x1080","","3767.5","52","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","52","344864","0.0-52.0","1920x1080","","5767.300000011921","91","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","53","347888","0.0-53.0","1920x1080","","3023","91.27","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","54","351784","0.0-54.0","1920x1080","","3895.5","83.33","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","55","354096","0.0-55.0","1920x1080","","2310.800000011921","5.16","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","56","356971","0.0-56.0","1920x1080","","2873.7999999821186","31.88","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","57","363329","0.0-57.0","1920x1080","","6356.4000000059605","0","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","58","366040","0.0-58.0","1920x1080","","2710.399999976158","5.95","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","59","372761","0.0-59.0","1920x1080","","6719.4000000059605","37.96","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","60","375545","0.0-60.0","1920x1080","","2783.199999988079","3.31","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","61","383033","0.0-61.0","1920x1080","","7487.199999988079","95","img/314/4/1/bw/001.png","","","complex"
