"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","14565","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","30961","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","46935","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","73736","0.0-3.0","1920x1080","15:30 26/5/2022","","","","","",""
"","","","","","survey-html-form","4","79836","0.0-4.0","1920x1080","","6097.5","{""age"":""19"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","108908","0.0-5.0","1920x1080","","29070.69999998808","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","108909","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","117916","0.0-7.0","1920x1080","","9005","69.84","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","122404","0.0-8.0","1920x1080","","4486.5","34.52","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","126091","0.0-9.0","1920x1080","","3686.599999964237","4","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","129612","0.0-10.0","1920x1080","","3519.399999976158","91","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","11","134396","0.0-11.0","1920x1080","","4782.900000035763","4.63","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","12","136668","0.0-12.0","1920x1080","","2271.199999988079","49.47","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","13","138620","0.0-13.0","1920x1080","","1951","27.91","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","141292","0.0-14.0","1920x1080","","2671","100","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","15","144260","0.0-15.0","1920x1080","","2967.100000023842","100","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","16","146996","0.0-16.0","1920x1080","","2735.5","100","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","17","150292","0.0-17.0","1920x1080","","3294.7999999523163","100","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","153732","0.0-18.0","1920x1080","","3439.599999964237","66","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","155876","0.0-19.0","1920x1080","","2142.7999999523163","43.52","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","20","158020","0.0-20.0","1920x1080","","2143.5","17","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","160380","0.0-21.0","1920x1080","","2358.900000035763","57.94","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","22","164196","0.0-22.0","1920x1080","","3815.5","71","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","168244","0.0-23.0","1920x1080","","4047","8.60","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","171228","0.0-24.0","1920x1080","","2983.399999976158","33.47","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","174812","0.0-25.0","1920x1080","","3583.099999964237","18.25","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","26","177244","0.0-26.0","1920x1080","","2431.100000023842","5.42","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","27","179325","0.0-27.0","1920x1080","","2080.600000023842","35.58","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","28","181996","0.0-28.0","1920x1080","","2670.300000011921","73.81","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","29","183908","0.0-29.0","1920x1080","","1911.3999999761581","57.67","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","30","186044","0.0-30.0","1920x1080","","2134.899999976158","68.78","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","31","187900","0.0-31.0","1920x1080","","1855.6000000238419","79.10","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","32","190317","0.0-32.0","1920x1080","","2415.599999964237","94.05","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","33","192973","0.0-33.0","1920x1080","","2654.800000011921","18.12","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","34","194925","0.0-34.0","1920x1080","","1951.9000000357628","34.52","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","35","197380","0.0-35.0","1920x1080","","2453.899999976158","12","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","36","199709","0.0-36.0","1920x1080","","2328.400000035763","37.70","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","37","202485","0.0-37.0","1920x1080","","2774.599999964237","24.21","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","38","206172","0.0-38.0","1920x1080","","3687","95","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","39","209196","0.0-39.0","1920x1080","","3022.899999976158","36.90","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","40","211228","0.0-40.0","1920x1080","","2031.0999999642372","17.20","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","41","212837","0.0-41.0","1920x1080","","1607.4000000357628","32.28","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","42","215359","0.0-42.0","1920x1080","","2521.399999976158","99","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","43","217036","0.0-43.0","1920x1080","","1676.800000011921","33.20","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","44","221517","0.0-44.0","1920x1080","","4479.5","25.13","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","45","223604","0.0-45.0","1920x1080","","2086.899999976158","99","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","46","225501","0.0-46.0","1920x1080","","1895.4000000357628","60.58","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","47","228004","0.0-47.0","1920x1080","","2503.300000011921","39.29","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","48","230133","0.0-48.0","1920x1080","","2127.5","70.90","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","49","233909","0.0-49.0","1920x1080","","3776.099999964237","74.74","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","50","236893","0.0-50.0","1920x1080","","2982.599999964237","100","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","51","238660","0.0-51.0","1920x1080","","1766.199999988079","63.23","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","52","240212","0.0-52.0","1920x1080","","1551.199999988079","38.36","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","53","242333","0.0-53.0","1920x1080","","2119.5","67.46","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","54","244717","0.0-54.0","1920x1080","","2383.100000023842","77.12","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","55","247310","0.0-55.0","1920x1080","","2592.400000035763","100.00","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","56","249364","0.0-56.0","1920x1080","","2053.899999976158","65.61","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","57","251343","0.0-57.0","1920x1080","","1977.699999988079","33.99","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","58","254516","0.0-58.0","1920x1080","","3173","79","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","59","256573","0.0-59.0","1920x1080","","2055.2999999523163","31.61","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","60","258926","0.0-60.0","1920x1080","","2352.300000011921","102.65","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","61","261493","0.0-61.0","1920x1080","","2566.199999988079","100","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","62","263405","0.0-62.0","1920x1080","","1910.5","25","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","63","266100","0.0-63.0","1920x1080","","2694.900000035763","15","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","64","269526","0.0-64.0","1920x1080","","3425.199999988079","93.39","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","65","272244","0.0-65.0","1920x1080","","2716.899999976158","76.72","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","66","273894","0.0-66.0","1920x1080","","1648.699999988079","100","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","67","276412","0.0-67.0","1920x1080","","2518.099999964237","0","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","68","278860","0.0-68.0","1920x1080","","2446.599999964237","63.76","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","69","280900","0.0-69.0","1920x1080","","2039.8999999761581","16.80","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","70","283412","0.0-70.0","1920x1080","","2511","59.92","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","71","285268","0.0-71.0","1920x1080","","1855.300000011921","67.72","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","72","286964","0.0-72.0","1920x1080","","1695","78.31","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","73","289693","0.0-73.0","1920x1080","","2727.599999964237","89.68","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","74","292884","0.0-74.0","1920x1080","","3190.800000011921","5.56","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","75","295796","0.0-75.0","1920x1080","","2911.199999988079","62.43","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","76","298676","0.0-76.0","1920x1080","","2879.199999988079","34.39","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","77","300317","0.0-77.0","1920x1080","","1638.3999999761581","79.76","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","78","302375","0.0-78.0","1920x1080","","2057.800000011921","6.75","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","79","305316","0.0-79.0","1920x1080","","2940.300000011921","0.79","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","80","307300","0.0-80.0","1920x1080","","1983.3999999761581","100","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","81","309084","0.0-81.0","1920x1080","","1783.0999999642372","62.43","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","html-button-response","82","327670","0.0-82.0","1920x1080","","18583.5","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">NATURAL</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Natural<br></div><div class=""intro"">1 = Most Natural<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","327670","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","335581","0.0-84.0","1920x1080","","7909.900000035763","51.98","img/238/3.5/2/bw/001.png","","","natural"
