"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","13912","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","29076","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","44224","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","87842","0.0-3.0","1920x1080","9:54 27/5/2022","","","","","",""
"","","","","","survey-html-form","4","138513","0.0-4.0","1920x1080","","50670.39999997616","{""age"":""19"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","182638","0.0-5.0","1920x1080","","44126.799999952316","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","182638","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","199853","0.0-7.0","1920x1080","","17212.700000047684","25.79","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","211600","0.0-8.0","1920x1080","","11742.699999928474","35.45","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","220008","0.0-9.0","1920x1080","","8406.5","57.54","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","228040","0.0-10.0","1920x1080","","8028.799999952316","67.99","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","11","233840","0.0-11.0","1920x1080","","5798.100000023842","75.93","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","245736","0.0-12.0","1920x1080","","11895.100000023842","60.19","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","13","255176","0.0-13.0","1920x1080","","9439.100000023842","28.57","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","14","260576","0.0-14.0","1920x1080","","5399.199999928474","72.75","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","268887","0.0-15.0","1920x1080","","8310.899999976158","52.12","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","16","275936","0.0-16.0","1920x1080","","7047.600000023842","82.41","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","283135","0.0-17.0","1920x1080","","7198.600000023842","82.14","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","291343","0.0-18.0","1920x1080","","8207","53.44","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","297455","0.0-19.0","1920x1080","","6111.5","23.02","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","306663","0.0-20.0","1920x1080","","9207.399999976158","35","img/238/4/1/bw/001.png","","","complex"
