"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","3833","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","7650","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","11189","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","25161","0.0-3.0","1920x1080","10:38 27/5/2022","","","","","",""
"","","","","","survey-html-form","4","33287","0.0-4.0","1920x1080","","8123.300000071526","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","71797","0.0-5.0","1920x1080","","38511.39999997616","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","71798","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","88109","0.0-7.0","1920x1080","","16308.399999976158","49.21","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","8","92476","0.0-8.0","1920x1080","","4365.600000023842","76.46","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","97444","0.0-9.0","1920x1080","","4967.199999928474","38.10","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","104430","0.0-10.0","1920x1080","","6983.399999976158","61.51","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","109062","0.0-11.0","1920x1080","","4631.100000023842","19.05","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","113511","0.0-12.0","1920x1080","","4448","27.78","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","13","121223","0.0-13.0","1920x1080","","7709.699999928474","53.31","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","131095","0.0-14.0","1920x1080","","9871.100000023842","40.21","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","15","134727","0.0-15.0","1920x1080","","3630.899999976158","58.20","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","16","138919","0.0-16.0","1920x1080","","4190.899999976158","11.11","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","142662","0.0-17.0","1920x1080","","3742.7000000476837","24.07","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","18","147798","0.0-18.0","1920x1080","","5135.100000023842","5.56","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","19","151286","0.0-19.0","1920x1080","","3487.3000000715256","51.06","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","156046","0.0-20.0","1920x1080","","4759.100000023842","31.88","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","159775","0.0-21.0","1920x1080","","3727","19.84","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","22","163135","0.0-22.0","1920x1080","","3358.9000000953674","73.41","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","165735","0.0-23.0","1920x1080","","2599.2000000476837","88.10","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","24","170551","0.0-24.0","1920x1080","","4815.699999928474","2.78","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","173167","0.0-25.0","1920x1080","","2615.2000000476837","83.60","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","176943","0.0-26.0","1920x1080","","3775.399999976158","9.39","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","180015","0.0-27.0","1920x1080","","3070.899999976158","20.77","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","186399","0.0-28.0","1920x1080","","6383.399999976158","4.89","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","29","190280","0.0-29.0","1920x1080","","3879.8000000715256","22","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","197479","0.0-30.0","1920x1080","","7198.399999976158","79","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","31","200215","0.0-31.0","1920x1080","","2735.2000000476837","53.04","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","32","203287","0.0-32.0","1920x1080","","3071.2000000476837","75.40","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","33","206367","0.0-33.0","1920x1080","","3079.600000023842","4.89","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","34","208991","0.0-34.0","1920x1080","","2623.2999999523163","23.15","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","211967","0.0-35.0","1920x1080","","2975.1999999284744","6.88","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","36","214239","0.0-36.0","1920x1080","","2271.399999976158","11.11","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","37","216607","0.0-37.0","1920x1080","","2367.3000000715256","28.70","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","38","218696","0.0-38.0","1920x1080","","2087.8000000715256","44.31","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","39","221135","0.0-39.0","1920x1080","","2438","30.69","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","40","223415","0.0-40.0","1920x1080","","2278.8000000715256","84.52","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","41","225855","0.0-41.0","1920x1080","","2439.7000000476837","9.79","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","42","229031","0.0-42.0","1920x1080","","3174.600000023842","31.48","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","43","232615","0.0-43.0","1920x1080","","3583.3000000715256","8.99","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","236729","0.0-44.0","1920x1080","","4113.399999976158","87.70","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","45","241239","0.0-45.0","1920x1080","","4509.200000047684","6.35","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","46","243991","0.0-46.0","1920x1080","","2751.100000023842","12.17","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","47","249463","0.0-47.0","1920x1080","","5470.5","12.30","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","48","251896","0.0-48.0","1920x1080","","2432.6999999284744","79.89","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","49","254064","0.0-49.0","1920x1080","","2167.1999999284744","59.52","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","50","256639","0.0-50.0","1920x1080","","2574.399999976158","11.38","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","51","259271","0.0-51.0","1920x1080","","2631.100000023842","22.88","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","52","265664","0.0-52.0","1920x1080","","6391.600000023842","26.72","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","53","268207","0.0-53.0","1920x1080","","2542.600000023842","46.69","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","54","270951","0.0-54.0","1920x1080","","2742.5999999046326","30.95","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","55","273129","0.0-55.0","1920x1080","","2177.2000000476837","20.77","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","56","275807","0.0-56.0","1920x1080","","2677.3000000715256","34.66","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","57","277746","0.0-57.0","1920x1080","","1938.2000000476837","36.38","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","58","282799","0.0-58.0","1920x1080","","5052","60.85","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","59","285623","0.0-59.0","1920x1080","","2823.5","11.51","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","60","292880","0.0-60.0","1920x1080","","7256.299999952316","46.43","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","61","294912","0.0-61.0","1920x1080","","2030.7999999523163","15.21","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","62","297863","0.0-62.0","1920x1080","","2950.2999999523163","89.68","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","63","301215","0.0-63.0","1920x1080","","3350.9000000953674","84.26","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","64","304079","0.0-64.0","1920x1080","","2863.2000000476837","59.79","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","65","307513","0.0-65.0","1920x1080","","3432.5","93.78","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","66","310791","0.0-66.0","1920x1080","","3277.600000023842","69.05","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","67","315775","0.0-67.0","1920x1080","","4983","36","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","68","319063","0.0-68.0","1920x1080","","3286.5","43.52","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","69","322912","0.0-69.0","1920x1080","","3848.5","62.57","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","70","326799","0.0-70.0","1920x1080","","3885.9000000953674","30.29","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","71","329831","0.0-71.0","1920x1080","","3031","87.04","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","72","333863","0.0-72.0","1920x1080","","4031.3000000715256","78.04","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","73","338095","0.0-73.0","1920x1080","","4230.600000023842","5.69","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","74","341735","0.0-74.0","1920x1080","","3639.7999999523163","83.99","img/117/2.5/1.5/bw/001.png","","","complex"
