"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","35696","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","70363","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","107091","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","111511","0.0-3.0","1920x1080","11:32 27/5/2022","","","","","",""
"","","","","","survey-html-form","4","123982","0.0-4.0","1920x1080","","12469.100000023842","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","172605","0.0-5.0","1920x1080","","48622.19999998808","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","172605","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","183438","0.0-7.0","1920x1080","","10830.600000023842","2.12","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","186942","0.0-8.0","1920x1080","","3502.100000023842","11","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","9","192749","0.0-9.0","1920x1080","","5806.399999976158","42.59","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","197461","0.0-10.0","1920x1080","","4711","8.47","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","201285","0.0-11.0","1920x1080","","3823.199999988079","2.12","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","12","204261","0.0-12.0","1920x1080","","2974.699999988079","38.76","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","207789","0.0-13.0","1920x1080","","3527.399999976158","32.41","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","211661","0.0-14.0","1920x1080","","3870.699999988079","28.57","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","15","215245","0.0-15.0","1920x1080","","3583.399999976158","2.51","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","16","217310","0.0-16.0","1920x1080","","2064.600000023842","31.22","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","221294","0.0-17.0","1920x1080","","3982.699999988079","14.42","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","225238","0.0-18.0","1920x1080","","3942.800000011921","27.65","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","227837","0.0-19.0","1920x1080","","2599","11.77","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","20","231413","0.0-20.0","1920x1080","","3574.7000000476837","67.72","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","21","235461","0.0-21.0","1920x1080","","4047.100000023842","27.91","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","238549","0.0-22.0","1920x1080","","3087.400000035763","35.05","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","23","242685","0.0-23.0","1920x1080","","4135.700000047684","11.51","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","24","247101","0.0-24.0","1920x1080","","4414.899999976158","44.58","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","253989","0.0-25.0","1920x1080","","6887.600000023842","0","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","256917","0.0-26.0","1920x1080","","2927","26.59","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","260213","0.0-27.0","1920x1080","","3295","32.14","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","28","262325","0.0-28.0","1920x1080","","2111.600000023842","52.65","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","29","265094","0.0-29.0","1920x1080","","2767.899999976158","88.76","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","30","267549","0.0-30.0","1920x1080","","2454.199999988079","94.97","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","31","270789","0.0-31.0","1920x1080","","3239.5","3.31","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","32","273197","0.0-32.0","1920x1080","","2406.600000023842","38.76","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","33","276045","0.0-33.0","1920x1080","","2847.900000035763","28.44","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","34","277997","0.0-34.0","1920x1080","","1950.8999999761581","41.93","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","280277","0.0-35.0","1920x1080","","2279.100000023842","41.27","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","36","283397","0.0-36.0","1920x1080","","3119.599999964237","92.33","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","37","285493","0.0-37.0","1920x1080","","2095.399999976158","17.20","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","38","288125","0.0-38.0","1920x1080","","2631","22.75","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","39","289845","0.0-39.0","1920x1080","","1719.5999999642372","32.54","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","40","294310","0.0-40.0","1920x1080","","4464.100000023842","34.26","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","41","298317","0.0-41.0","1920x1080","","4006.400000035763","98","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","42","300997","0.0-42.0","1920x1080","","2679.400000035763","41.80","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","43","304861","0.0-43.0","1920x1080","","3863.199999988079","96","img/238/2.5/1.5/bw/001.png","","","complex"
