"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","17434","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","34713","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","52057","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","95090","0.0-3.0","1920x1080","12:59 27/5/2022","","","","","",""
"","","","","","survey-html-form","4","106378","0.0-4.0","1920x1080","","11285.799999952316","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","139562","0.0-5.0","1920x1080","","33182.89999997616","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","139562","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","149490","0.0-7.0","1920x1080","","9924.899999976158","61.90","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","164122","0.0-8.0","1920x1080","","14631.200000047684","37.96","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","9","167410","0.0-9.0","1920x1080","","3287","18.65","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","10","173170","0.0-10.0","1920x1080","","5758.799999952316","68.92","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","180497","0.0-11.0","1920x1080","","7326.800000071526","34","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","12","186577","0.0-12.0","1920x1080","","6078.799999952316","85.05","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","193690","0.0-13.0","1920x1080","","7109.600000023842","16.80","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","202002","0.0-14.0","1920x1080","","8308.699999928474","13.89","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","15","205569","0.0-15.0","1920x1080","","3566.9000000953674","26.72","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","210794","0.0-16.0","1920x1080","","5224.100000023842","90.34","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","214873","0.0-17.0","1920x1080","","4078.899999976158","38.62","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","18","218801","0.0-18.0","1920x1080","","3926.899999976158","33.33","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","222177","0.0-19.0","1920x1080","","3375.2000000476837","30.03","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","227611","0.0-20.0","1920x1080","","5432.399999976158","95","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","21","233577","0.0-21.0","1920x1080","","5965.799999952316","83.86","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","240058","0.0-22.0","1920x1080","","6479.700000047684","41","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","242626","0.0-23.0","1920x1080","","2567.0999999046326","45.37","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","246505","0.0-24.0","1920x1080","","3878.9000000953674","64.55","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","25","252594","0.0-25.0","1920x1080","","6087.899999976158","32","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","26","256273","0.0-26.0","1920x1080","","3678.5","4","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","27","258745","0.0-27.0","1920x1080","","2470.6999999284744","92.33","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","28","262017","0.0-28.0","1920x1080","","3271.2999999523163","98","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","264369","0.0-29.0","1920x1080","","2351.4000000953674","78.70","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","30","269578","0.0-30.0","1920x1080","","5207.700000047684","57.80","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","31","271994","0.0-31.0","1920x1080","","2415.5","29.23","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","277873","0.0-32.0","1920x1080","","5878.5","99","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","280617","0.0-33.0","1920x1080","","2743.399999976158","32.28","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","34","284097","0.0-34.0","1920x1080","","3478.7999999523163","95","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","35","291953","0.0-35.0","1920x1080","","7855.699999928474","44.71","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","36","297881","0.0-36.0","1920x1080","","5926.899999976158","94.58","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","37","300681","0.0-37.0","1920x1080","","2799","71.69","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","38","305081","0.0-38.0","1920x1080","","4399.100000023842","45.50","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","39","308601","0.0-39.0","1920x1080","","3519.5","54.23","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","40","312011","0.0-40.0","1920x1080","","3408.7000000476837","62.57","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","41","318914","0.0-41.0","1920x1080","","6901.899999976158","40.87","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","42","323305","0.0-42.0","1920x1080","","4390.899999976158","30.95","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","43","328449","0.0-43.0","1920x1080","","5142.899999976158","39.55","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","44","331089","0.0-44.0","1920x1080","","2638.8000000715256","30.42","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","45","335106","0.0-45.0","1920x1080","","4015.3000000715256","61.51","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","46","342418","0.0-46.0","1920x1080","","7311.199999928474","36.11","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","47","347586","0.0-47.0","1920x1080","","5167.199999928474","97","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","48","355657","0.0-48.0","1920x1080","","8070.799999952316","34.13","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","49","364729","0.0-49.0","1920x1080","","9070.700000047684","51.32","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","50","367402","0.0-50.0","1920x1080","","2671.5","60.71","img/238/3.5/0.5/bw/001.png","","","complex"
