"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","26720","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","55215","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","76816","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","80359","0.0-3.0","1920x1080","13:43 27/5/2022","","","","","",""
"","","","","","survey-html-form","4","86661","0.0-4.0","1920x1080","","6299.599999964237","{""age"":""20"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","103565","0.0-5.0","1920x1080","","16902.69999998808","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","103565","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","118005","0.0-7.0","1920x1080","","14436.799999952316","46.83","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","128685","0.0-8.0","1920x1080","","10679.099999964237","68","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","131860","0.0-9.0","1920x1080","","3174.599999964237","17.59","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","136172","0.0-10.0","1920x1080","","4311","22","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","138229","0.0-11.0","1920x1080","","2055.300000011921","51.46","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","12","141052","0.0-12.0","1920x1080","","2822.399999976158","58.33","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","13","143020","0.0-13.0","1920x1080","","1965.8999999761581","18.78","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","14","145396","0.0-14.0","1920x1080","","2375.2999999523163","25.13","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","148276","0.0-15.0","1920x1080","","2879.199999988079","76.98","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","150788","0.0-16.0","1920x1080","","2510.900000035763","90.61","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","17","153892","0.0-17.0","1920x1080","","3103.399999976158","31.88","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","156908","0.0-18.0","1920x1080","","3015.400000035763","8.73","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","19","159396","0.0-19.0","1920x1080","","2487.199999988079","77.25","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","20","162124","0.0-20.0","1920x1080","","2727.300000011921","26.85","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","164188","0.0-21.0","1920x1080","","2063.099999964237","31.88","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","165693","0.0-22.0","1920x1080","","1503.6000000238419","30.42","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","167902","0.0-23.0","1920x1080","","2208.300000011921","50.66","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","170548","0.0-24.0","1920x1080","","2645.899999976158","70.90","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","172901","0.0-25.0","1920x1080","","2352.099999964237","38.10","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","26","174749","0.0-26.0","1920x1080","","1846.699999988079","41.14","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","27","177148","0.0-27.0","1920x1080","","2399","3.70","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","28","179420","0.0-28.0","1920x1080","","2270.800000011921","15.34","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","29","181428","0.0-29.0","1920x1080","","2007.1000000238419","25.53","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","30","183852","0.0-30.0","1920x1080","","2423.5","33.86","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","31","186052","0.0-31.0","1920x1080","","2199.399999976158","38.36","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","187636","0.0-32.0","1920x1080","","1583.5","36.90","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","33","189292","0.0-33.0","1920x1080","","1655.2000000476837","37.96","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","34","191492","0.0-34.0","1920x1080","","2199.2000000476837","79.89","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","35","193428","0.0-35.0","1920x1080","","1935.300000011921","36.77","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","36","195612","0.0-36.0","1920x1080","","2183.199999988079","29.89","img/238/4.5/0.66667/bw/001.png","","","complex"
