"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","14809","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","31183","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","47922","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","933483","0.0-3.0","1920x1080","13:43 27/5/2022","","","","","",""
"","","","","","survey-html-form","4","945542","0.0-4.0","1920x1080","","12054","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","973982","0.0-5.0","1920x1080","","28438.800000071526","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","973983","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1009935","0.0-7.0","1920x1080","","35947.700000047684","30","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","8","1017470","0.0-8.0","1920x1080","","7534.699999928474","60","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","9","1025342","0.0-9.0","1920x1080","","7871","80.16","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","10","1035774","0.0-10.0","1920x1080","","10431.200000047684","43","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","11","1049142","0.0-11.0","1920x1080","","13367.299999952316","15","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","12","1056887","0.0-12.0","1920x1080","","7743","69.58","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","1070735","0.0-13.0","1920x1080","","13846.900000095367","50.26","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","14","1082575","0.0-14.0","1920x1080","","11838.800000071526","46.03","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","1088335","0.0-15.0","1920x1080","","5758.799999952316","64.55","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","16","1099391","0.0-16.0","1920x1080","","11055.600000023842","0.00","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","1111215","0.0-17.0","1920x1080","","11822.5","-3.70","img/238/5.5/0.5/bw/001.png","","","complex"
