"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","52861","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","102131","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","153397","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","165643","0.0-3.0","1920x1080","13:39 2/6/2022","","","","","",""
"","","","","","survey-html-form","4","173737","0.0-4.0","1920x1080","","8091.299999952316","{""age"":""20"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","185743","0.0-5.0","1920x1080","","12006.799999952316","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","185743","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","201030","0.0-7.0","1920x1080","","15284.299999952316","60.32","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","8","211606","0.0-8.0","1920x1080","","10574.5","78.57","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","9","217126","0.0-9.0","1920x1080","","5516.799999952316","62.30","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","221670","0.0-10.0","1920x1080","","4541.5","78.04","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","11","241095","0.0-11.0","1920x1080","","19423.60000014305","88.36","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","12","247193","0.0-12.0","1920x1080","","6094.599999904633","93.39","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","251865","0.0-13.0","1920x1080","","4670.700000047684","82.01","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","14","265073","0.0-14.0","1920x1080","","13207.599999904633","73.68","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","15","272289","0.0-15.0","1920x1080","","7214.900000095367","25.00","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","16","283514","0.0-16.0","1920x1080","","11224.399999856949","9.66","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","290129","0.0-17.0","1920x1080","","6614.200000047684","49","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","293953","0.0-18.0","1920x1080","","3822.7000000476837","73.15","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","300753","0.0-19.0","1920x1080","","6799.200000047684","28.04","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","306625","0.0-20.0","1920x1080","","5871.600000143051","64.42","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","21","314105","0.0-21.0","1920x1080","","7478.700000047684","70.50","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","326417","0.0-22.0","1920x1080","","12311.199999809265","2.65","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","334761","0.0-23.0","1920x1080","","8343","12.70","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","24","340961","0.0-24.0","1920x1080","","6198.900000095367","25.79","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","25","350305","0.0-25.0","1920x1080","","9343.200000047684","55.42","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","26","355625","0.0-26.0","1920x1080","","5319.299999952316","71.30","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","27","372649","0.0-27.0","1920x1080","","17023.099999904633","71.16","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","28","394938","0.0-28.0","1920x1080","","22287.299999952316","58.86","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","29","400233","0.0-29.0","1920x1080","","5295.199999809265","66.53","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","417394","0.0-30.0","1920x1080","","17159.400000095367","31","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","31","421786","0.0-31.0","1920x1080","","4390.799999952316","50.93","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","436034","0.0-32.0","1920x1080","","14246.900000095367","50.79","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","33","442466","0.0-33.0","1920x1080","","6430.700000047684","65.74","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","34","449162","0.0-34.0","1920x1080","","6695.599999904633","13.10","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","35","487732","0.0-35.0","1920x1080","","38568.300000190735","60","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","36","492242","0.0-36.0","1920x1080","","4509.799999952316","74.74","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","37","498482","0.0-37.0","1920x1080","","6238.700000047684","50.40","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","38","517948","0.0-38.0","1920x1080","","19465.099999904633","56","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","39","523218","0.0-39.0","1920x1080","","5268.799999952316","64","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","40","528194","0.0-40.0","1920x1080","","4975.399999856949","73.81","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","41","544594","0.0-41.0","1920x1080","","16399","55","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","42","551250","0.0-42.0","1920x1080","","6654.900000095367","55.16","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","43","558764","0.0-43.0","1920x1080","","7513.599999904633","66","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","44","573149","0.0-44.0","1920x1080","","14383.100000143051","18","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","45","580682","0.0-45.0","1920x1080","","7532.5","56.22","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","46","602522","0.0-46.0","1920x1080","","21839.400000095367","4","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","47","610786","0.0-47.0","1920x1080","","8260.400000095367","64","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","48","613499","0.0-48.0","1920x1080","","2711.199999809265","75.40","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","49","624699","0.0-49.0","1920x1080","","11199.5","58.99","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","50","638786","0.0-50.0","1920x1080","","14086","70.50","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","51","650011","0.0-51.0","1920x1080","","11223.099999904633","59.92","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","52","654234","0.0-52.0","1920x1080","","4221.5","76.46","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","53","665475","0.0-53.0","1920x1080","","11239.399999856949","33.86","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","54","671827","0.0-54.0","1920x1080","","6351","51.06","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","55","679083","0.0-55.0","1920x1080","","7254.799999952316","59.79","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","56","686339","0.0-56.0","1920x1080","","7255","53.31","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","57","691099","0.0-57.0","1920x1080","","4758.700000047684","56.61","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","58","697349","0.0-58.0","1920x1080","","6248.799999952316","66.14","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","59","704027","0.0-59.0","1920x1080","","6677.200000047684","70.90","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","60","715771","0.0-60.0","1920x1080","","11742.600000143051","21.30","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","61","732798","0.0-61.0","1920x1080","","17026.299999952316","11.38","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","62","737300","0.0-62.0","1920x1080","","4500","51.46","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","63","741539","0.0-63.0","1920x1080","","4237.700000047684","57.28","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","64","746667","0.0-64.0","1920x1080","","5126.599999904633","75.13","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","65","757765","0.0-65.0","1920x1080","","11096.900000095367","47.35","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","66","761548","0.0-66.0","1920x1080","","3782.2000000476837","54.50","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","67","765507","0.0-67.0","1920x1080","","3958.100000143051","73","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","68","772739","0.0-68.0","1920x1080","","7230.899999856949","26.98","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","69","776843","0.0-69.0","1920x1080","","4102.700000047684","76.85","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","70","782003","0.0-70.0","1920x1080","","5158.599999904633","46.03","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","71","786451","0.0-71.0","1920x1080","","4446.700000047684","50","img/238/3.5/2/bw/001.png","","","complex"
