"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","3826","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","7745","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","35142","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","39569","0.0-3.0","1920x1080","14:5 2/6/2022","","","","","",""
"","","","","","survey-html-form","4","44796","0.0-4.0","1920x1080","","5224.799999952316","{""age"":""19"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","67772","0.0-5.0","1920x1080","","22975.300000071526","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","67773","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","81180","0.0-7.0","1920x1080","","13404.5","75.66","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","118283","0.0-8.0","1920x1080","","37102.5","79.63","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","9","157276","0.0-9.0","1920x1080","","38989.10000002384","84.92","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","10","169884","0.0-10.0","1920x1080","","12604.700000047684","50.53","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","11","179548","0.0-11.0","1920x1080","","9663.700000047684","23.94","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","12","190892","0.0-12.0","1920x1080","","11343.200000047684","51.32","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","13","199484","0.0-13.0","1920x1080","","8590.600000023842","75.00","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","210299","0.0-14.0","1920x1080","","10815.399999976158","84.79","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","15","219204","0.0-15.0","1920x1080","","8903.5","14.02","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","16","235124","0.0-16.0","1920x1080","","15919.200000047684","96","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","250611","0.0-17.0","1920x1080","","15486.5","71.43","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","259027","0.0-18.0","1920x1080","","8415.5","53.04","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","19","278324","0.0-19.0","1920x1080","","19295","58.47","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","20","295932","0.0-20.0","1920x1080","","17607.200000047684","84.13","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","312484","0.0-21.0","1920x1080","","16551.299999952316","79.23","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","22","331180","0.0-22.0","1920x1080","","18695.199999928474","17","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","337396","0.0-23.0","1920x1080","","6215.100000023842","8.47","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","413604","0.0-24.0","1920x1080","","76207.20000004768","87.70","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","451100","0.0-25.0","1920x1080","","37494.5","81","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","684132","0.0-26.0","1920x1080","","233031.5","94","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","691109","0.0-27.0","1920x1080","","6974.899999976158","48","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","28","698700","0.0-28.0","1920x1080","","7590.199999928474","55.29","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","29","707325","0.0-29.0","1920x1080","","8624.599999904633","86.90","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","30","714627","0.0-30.0","1920x1080","","7301.800000071526","59.79","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","31","721876","0.0-31.0","1920x1080","","7247.600000023842","98","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","32","728403","0.0-32.0","1920x1080","","6526.899999976158","39.15","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","33","732396","0.0-33.0","1920x1080","","3991.600000023842","24.74","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","34","898698","0.0-34.0","1920x1080","","166303.60000002384","90.08","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","35","904050","0.0-35.0","1920x1080","","5351","64.15","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","36","907842","0.0-36.0","1920x1080","","3790.5999999046326","98","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","37","912178","0.0-37.0","1920x1080","","4335.600000023842","48.94","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","38","916658","0.0-38.0","1920x1080","","4478.600000023842","18.65","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","39","919874","0.0-39.0","1920x1080","","3216.100000023842","70.24","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","40","926515","0.0-40.0","1920x1080","","6638.600000023842","4.50","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","41","932506","0.0-41.0","1920x1080","","5989.600000023842","91.27","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","42","935987","0.0-42.0","1920x1080","","3480","56","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","43","939619","0.0-43.0","1920x1080","","3631.0999999046326","71.56","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","943242","0.0-44.0","1920x1080","","3622.600000023842","41.14","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","45","945826","0.0-45.0","1920x1080","","2583.1999999284744","60.05","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","46","951027","0.0-46.0","1920x1080","","5199.200000047684","61","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","47","954435","0.0-47.0","1920x1080","","3407.4000000953674","73.54","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","48","962363","0.0-48.0","1920x1080","","7927.200000047684","75.40","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","49","967347","0.0-49.0","1920x1080","","4983.400000095367","32.14","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","50","979387","0.0-50.0","1920x1080","","12039.199999928474","61.90","img/238/4.5/0.5/bw/001.png","","","complex"
