"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","21603","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","42561","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","63456","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","75877","0.0-3.0","1920x1080","14:36 2/6/2022","","","","","",""
"","","","","","survey-html-form","4","87638","0.0-4.0","1920x1080","","11758.600000143051","{""age"":""19"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","112238","0.0-5.0","1920x1080","","24598.700000047684","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","112238","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","124686","0.0-7.0","1920x1080","","12445.100000143051","59.66","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","136957","0.0-8.0","1920x1080","","12269.899999856949","67.72","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","141246","0.0-9.0","1920x1080","","4287.199999809265","67.72","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","149294","0.0-10.0","1920x1080","","8047","34.66","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","161302","0.0-11.0","1920x1080","","12007.100000143051","68.25","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","12","168262","0.0-12.0","1920x1080","","6958.900000095367","39.95","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","13","177166","0.0-13.0","1920x1080","","8903.200000047684","69.71","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","14","192966","0.0-14.0","1920x1080","","15798.799999952316","22.22","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","15","199830","0.0-15.0","1920x1080","","6863.400000095367","29.50","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","209526","0.0-16.0","1920x1080","","9694.899999856949","70.24","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","213854","0.0-17.0","1920x1080","","4327.400000095367","33.33","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","226686","0.0-18.0","1920x1080","","12830.799999952316","54.23","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","236374","0.0-19.0","1920x1080","","9686.799999952316","27.51","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","242446","0.0-20.0","1920x1080","","6071.299999952316","28.44","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","248630","0.0-21.0","1920x1080","","6183.099999904633","70.90","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","275374","0.0-22.0","1920x1080","","26743","50.13","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","288118","0.0-23.0","1920x1080","","12743.900000095367","53","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","293894","0.0-24.0","1920x1080","","5774.599999904633","29.63","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","302830","0.0-25.0","1920x1080","","8935.5","49.74","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","306798","0.0-26.0","1920x1080","","3967.4000000953674","69.05","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","309646","0.0-27.0","1920x1080","","2847.2000000476837","74.47","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","317326","0.0-28.0","1920x1080","","7679.199999809265","52","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","324542","0.0-29.0","1920x1080","","7215.299999952316","70.50","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","30","333640","0.0-30.0","1920x1080","","9096.800000190735","49.87","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","31","339126","0.0-31.0","1920x1080","","5485.099999904633","81.75","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","32","350623","0.0-32.0","1920x1080","","11495.899999856949","45.63","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","33","357151","0.0-33.0","1920x1080","","6527.099999904633","65.87","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","34","361856","0.0-34.0","1920x1080","","4704.099999904633","72.75","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","370240","0.0-35.0","1920x1080","","8383.600000143051","51.98","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","36","372974","0.0-36.0","1920x1080","","2733.699999809265","78.17","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","37","380119","0.0-37.0","1920x1080","","7143.799999952316","76.85","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","38","390351","0.0-38.0","1920x1080","","10231.399999856949","39.68","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","39","395526","0.0-39.0","1920x1080","","5174.700000047684","58.99","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","40","400814","0.0-40.0","1920x1080","","5287.300000190735","27","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","41","406310","0.0-41.0","1920x1080","","5492.5","52.38","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","42","409023","0.0-42.0","1920x1080","","2712","53.17","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","43","412167","0.0-43.0","1920x1080","","3142.5","63.76","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","415566","0.0-44.0","1920x1080","","3399.0999999046326","53.57","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","45","420382","0.0-45.0","1920x1080","","4815.099999904633","56.48","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","46","423273","0.0-46.0","1920x1080","","2889.899999856949","75","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","47","425742","0.0-47.0","1920x1080","","2468.2999999523163","54.10","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","48","428656","0.0-48.0","1920x1080","","2913","38.76","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","49","432758","0.0-49.0","1920x1080","","4101.5","27","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","50","436678","0.0-50.0","1920x1080","","3919.2999999523163","53.17","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","51","441255","0.0-51.0","1920x1080","","4576","48","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","52","444718","0.0-52.0","1920x1080","","3462.7000000476837","26.46","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","53","452208","0.0-53.0","1920x1080","","7488.200000047684","27.12","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","54","459846","0.0-54.0","1920x1080","","7637.900000095367","32.94","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","55","464456","0.0-55.0","1920x1080","","4608.599999904633","74.47","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","56","468056","0.0-56.0","1920x1080","","3598.899999856949","62.70","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","57","472262","0.0-57.0","1920x1080","","4205","74.21","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","58","474591","0.0-58.0","1920x1080","","2326.7999999523163","35.45","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","59","480583","0.0-59.0","1920x1080","","5991.699999809265","62.04","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","60","482895","0.0-60.0","1920x1080","","2310.800000190735","43.25","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","61","485343","0.0-61.0","1920x1080","","2447.0999999046326","51.46","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","62","487415","0.0-62.0","1920x1080","","2071.2999999523163","55.82","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","63","490073","0.0-63.0","1920x1080","","2657.0999999046326","74.34","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","64","493215","0.0-64.0","1920x1080","","3141.100000143051","76.19","img/117/2.5/1.5/bw/001.png","","","complex"
