"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6971","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","14037","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","21035","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","127653","0.0-3.0","1920x1080","10:4 3/6/2022","","","","","",""
"","","","","","survey-html-form","4","139552","0.0-4.0","1920x1080","","11895.599999904633","{""age"":""20"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","189063","0.0-5.0","1920x1080","","49510.90000009537","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","189064","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","208055","0.0-7.0","1920x1080","","18988.299999952316","64","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","214175","0.0-8.0","1920x1080","","6117.900000095367","30","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","9","218734","0.0-9.0","1920x1080","","4556.700000047684","11.51","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","10","225735","0.0-10.0","1920x1080","","6998.300000190735","39.29","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","11","231438","0.0-11.0","1920x1080","","5702.699999809265","92.06","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","12","239967","0.0-12.0","1920x1080","","8527.5","27.25","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","246399","0.0-13.0","1920x1080","","6431.400000095367","70","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","253719","0.0-14.0","1920x1080","","7319","0","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","15","258895","0.0-15.0","1920x1080","","5175","58.86","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","269479","0.0-16.0","1920x1080","","10583.399999856949","1","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","275735","0.0-17.0","1920x1080","","6255.299999952316","0","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","18","284287","0.0-18.0","1920x1080","","8551.099999904633","10","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","288159","0.0-19.0","1920x1080","","3870.9000000953674","89","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","295119","0.0-20.0","1920x1080","","6958.100000143051","37","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","21","306311","0.0-21.0","1920x1080","","11191","1","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","22","316575","0.0-22.0","1920x1080","","10263.100000143051","7","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","325143","0.0-23.0","1920x1080","","8567.099999904633","25","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","334343","0.0-24.0","1920x1080","","9199.399999856949","45","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","25","351311","0.0-25.0","1920x1080","","16966.89999985695","30","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","26","361632","0.0-26.0","1920x1080","","10319.299999952316","48","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","27","369224","0.0-27.0","1920x1080","","7592.400000095367","43","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","378559","0.0-28.0","1920x1080","","9333.799999952316","13.62","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","386841","0.0-29.0","1920x1080","","8280.599999904633","52.78","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","30","395655","0.0-30.0","1920x1080","","8813","75.93","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","31","403241","0.0-31.0","1920x1080","","7584.200000047684","49","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","32","408047","0.0-32.0","1920x1080","","4805.600000143051","42","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","420031","0.0-33.0","1920x1080","","11982.899999856949","34.92","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","34","427057","0.0-34.0","1920x1080","","7024.700000047684","43.25","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","35","434600","0.0-35.0","1920x1080","","7541.900000095367","15.61","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","36","439241","0.0-36.0","1920x1080","","4640.799999952316","54","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","37","445968","0.0-37.0","1920x1080","","6725.5","68","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","38","454336","0.0-38.0","1920x1080","","8367.599999904633","23.94","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","39","458592","0.0-39.0","1920x1080","","4254.799999952316","70.63","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","40","465800","0.0-40.0","1920x1080","","7206.200000047684","52","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","41","469112","0.0-41.0","1920x1080","","3311.0999999046326","11","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","42","476128","0.0-42.0","1920x1080","","7015.099999904633","22.75","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","43","480144","0.0-43.0","1920x1080","","4014.2999999523163","57.41","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","44","486392","0.0-44.0","1920x1080","","6247","86.11","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","45","490199","0.0-45.0","1920x1080","","3805.7999999523163","96","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","46","500319","0.0-46.0","1920x1080","","10119.200000047684","16","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","47","507687","0.0-47.0","1920x1080","","7367","37","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","48","515336","0.0-48.0","1920x1080","","7647.100000143051","42.20","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","49","525457","0.0-49.0","1920x1080","","10120.599999904633","52.65","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","50","531000","0.0-50.0","1920x1080","","5541.700000047684","31.22","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","51","535792","0.0-51.0","1920x1080","","4791.300000190735","20.24","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","52","551675","0.0-52.0","1920x1080","","15881","25","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","53","559368","0.0-53.0","1920x1080","","7692.299999952316","46.43","img/117/4/0.66667/bw/001.png","","","complex"
