"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6973","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","14122","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","21150","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","27259","0.0-3.0","1920x1080","11:13 3/6/2022","","","","","",""
"","","","","","survey-html-form","4","124912","0.0-4.0","1920x1080","","97648.59999990463","{""age"":""19"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","165552","0.0-5.0","1920x1080","","40639.300000190735","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","165553","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","183432","0.0-7.0","1920x1080","","17876.700000047684","70.90","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","8","187961","0.0-8.0","1920x1080","","4527.399999856949","89.15","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","9","190384","0.0-9.0","1920x1080","","2421.899999856949","29.76","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","10","193232","0.0-10.0","1920x1080","","2845.9000000953674","63.89","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","197504","0.0-11.0","1920x1080","","4269.399999856949","38.36","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","12","200808","0.0-12.0","1920x1080","","3303.2000000476837","21.69","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","13","207768","0.0-13.0","1920x1080","","6959.099999904633","67.72","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","14","212161","0.0-14.0","1920x1080","","4391.900000095367","95","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","15","215600","0.0-15.0","1920x1080","","3438","9.92","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","16","218840","0.0-16.0","1920x1080","","3239.5","50.40","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","17","223752","0.0-17.0","1920x1080","","4910.900000095367","80.29","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","18","228400","0.0-18.0","1920x1080","","4646.899999856949","60.32","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","19","232488","0.0-19.0","1920x1080","","4087.300000190735","98","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","20","235961","0.0-20.0","1920x1080","","3472.5999999046326","99","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","242111","0.0-21.0","1920x1080","","6149.5","66.67","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","22","245096","0.0-22.0","1920x1080","","2983.5999999046326","83.60","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","265961","0.0-23.0","1920x1080","","20864.400000095367","30.03","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","24","272271","0.0-24.0","1920x1080","","6309.200000047684","27","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","276208","0.0-25.0","1920x1080","","3935.399999856949","75.53","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","26","279079","0.0-26.0","1920x1080","","2870.7999999523163","64.81","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","285592","0.0-27.0","1920x1080","","6511.599999904633","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","290961","0.0-28.0","1920x1080","","5368.400000095367","89.95","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","29","295177","0.0-29.0","1920x1080","","4215.5","37.70","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","303504","0.0-30.0","1920x1080","","8325.5","57.80","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","31","307144","0.0-31.0","1920x1080","","3639.800000190735","13.23","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","32","312247","0.0-32.0","1920x1080","","5102","82.94","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","33","317168","0.0-33.0","1920x1080","","4919.299999952316","66.67","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","34","322408","0.0-34.0","1920x1080","","5239.099999904633","74.34","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","35","328304","0.0-35.0","1920x1080","","5894.900000095367","103.31","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","36","334679","0.0-36.0","1920x1080","","6374.899999856949","122.22","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","37","351231","0.0-37.0","1920x1080","","16550.200000047684","67.20","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","38","356913","0.0-38.0","1920x1080","","5679.400000095367","89.15","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","39","361416","0.0-39.0","1920x1080","","4503","96","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","40","366601","0.0-40.0","1920x1080","","5183.299999952316","1","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","41","371113","0.0-41.0","1920x1080","","4511","73.28","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","42","376362","0.0-42.0","1920x1080","","5248.399999856949","76.06","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","43","379537","0.0-43.0","1920x1080","","3173.9000000953674","82.01","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","382648","0.0-44.0","1920x1080","","3111","101.46","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","45","386633","0.0-45.0","1920x1080","","3983.5999999046326","20.50","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","46","391409","0.0-46.0","1920x1080","","4775.5","20.11","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","47","395632","0.0-47.0","1920x1080","","4222.5","75.40","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","48","398712","0.0-48.0","1920x1080","","3079.100000143051","81.48","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","49","402233","0.0-49.0","1920x1080","","3519","102.12","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","50","411179","0.0-50.0","1920x1080","","8945.299999952316","58.73","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","51","415416","0.0-51.0","1920x1080","","4236.700000047684","86.77","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","52","418856","0.0-52.0","1920x1080","","3439.199999809265","98","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","53","441696","0.0-53.0","1920x1080","","22839.099999904633","50.93","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","54","445272","0.0-54.0","1920x1080","","3575.399999856949","43.78","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","55","448824","0.0-55.0","1920x1080","","3550.9000000953674","65.74","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","56","454145","0.0-56.0","1920x1080","","5320.200000047684","11.24","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","57","464795","0.0-57.0","1920x1080","","10648.599999904633","48.94","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","58","468224","0.0-58.0","1920x1080","","3428.4000000953674","63.89","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","59","472344","0.0-59.0","1920x1080","","4119.099999904633","51.72","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","60","476760","0.0-60.0","1920x1080","","4415.5","81.88","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","61","491880","0.0-61.0","1920x1080","","15118.400000095367","19.97","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","62","497088","0.0-62.0","1920x1080","","5207.400000095367","65.48","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","63","500080","0.0-63.0","1920x1080","","2990.7000000476837","70.77","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","64","503395","0.0-64.0","1920x1080","","3314.100000143051","84.92","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","65","508962","0.0-65.0","1920x1080","","5566.099999904633","76.85","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","66","514032","0.0-66.0","1920x1080","","5069.200000047684","35.85","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","67","518864","0.0-67.0","1920x1080","","4831.299999952316","51.32","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","68","523112","0.0-68.0","1920x1080","","4246.900000095367","19.71","img/117/5.5/0.5/bw/001.png","","","complex"
