"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","20128","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","40083","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","59935","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","70571","0.0-3.0","1920x1080","12:56 3/6/2022","","","","","",""
"","","","","","survey-html-form","4","79625","0.0-4.0","1920x1080","","9051.600000143051","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","105281","0.0-5.0","1920x1080","","25654.700000047684","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","105282","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","113441","0.0-7.0","1920x1080","","8156.599999904633","7","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","134096","0.0-8.0","1920x1080","","20653.900000095367","4","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","9","141416","0.0-9.0","1920x1080","","7317.299999952316","5","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","10","146576","0.0-10.0","1920x1080","","5157","6","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","11","156472","0.0-11.0","1920x1080","","9895.5","12.96","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","12","165448","0.0-12.0","1920x1080","","8974.900000095367","8.47","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","169400","0.0-13.0","1920x1080","","3951.4000000953674","16.01","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","14","179400","0.0-14.0","1920x1080","","9999","10.32","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","183041","0.0-15.0","1920x1080","","3640.300000190735","14.02","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","187664","0.0-16.0","1920x1080","","4622.299999952316","14.68","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","191592","0.0-17.0","1920x1080","","3926.7999999523163","14.42","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","197744","0.0-18.0","1920x1080","","6151","10.85","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","19","200192","0.0-19.0","1920x1080","","2447.4000000953674","10.32","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","203800","0.0-20.0","1920x1080","","3607.2999999523163","12","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","210960","0.0-21.0","1920x1080","","7159","14.55","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","227208","0.0-22.0","1920x1080","","16247.400000095367","16.14","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","23","233424","0.0-23.0","1920x1080","","6215.5","22.75","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","248576","0.0-24.0","1920x1080","","15151","27.51","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","255944","0.0-25.0","1920x1080","","7367","15","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","271560","0.0-26.0","1920x1080","","15615.400000095367","16.14","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","283257","0.0-27.0","1920x1080","","11696.100000143051","14.68","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","28","296392","0.0-28.0","1920x1080","","13134.399999856949","14.95","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","29","309688","0.0-29.0","1920x1080","","13295.900000095367","20.63","img/238/2.5/0.5/bw/001.png","","","complex"
