"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","28001","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","57880","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","80212","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","4062314","0.0-3.0","1920x1080","12:58 3/6/2022","","","","","",""
"","","","","","survey-html-form","4","4071414","0.0-4.0","1920x1080","","9096.900000095367","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","4097285","0.0-5.0","1920x1080","","25870.5","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","4097286","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","4105677","0.0-7.0","1920x1080","","8388.700000047684","66.01","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","8","4128069","0.0-8.0","1920x1080","","22390.100000023842","29.63","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","9","4155101","0.0-9.0","1920x1080","","27031.200000047684","24.74","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","4162677","0.0-10.0","1920x1080","","7575.5","18.78","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","4168325","0.0-11.0","1920x1080","","5646.700000047684","11.90","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","12","4175053","0.0-12.0","1920x1080","","6726.600000023842","35.05","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","4178877","0.0-13.0","1920x1080","","3823.2999999523163","16.14","img/314/3.5/2/bw/001.png","","","complex"
