"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5847","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","11846","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17659","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","264837","0.0-3.0","1920x1080","9:57 5/10/2022","","","","","",""
"","","","","","survey-html-form","4","276749","0.0-4.0","1920x1080","","11908.59999999404","{""age"":""21"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","332181","0.0-5.0","1920x1080","","55430.79999999702","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","332181","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","359989","0.0-7.0","1920x1080","","27806.29999999702","27.51","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","8","366556","0.0-8.0","1920x1080","","6566.9000000059605","31.48","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","370916","0.0-9.0","1920x1080","","4359.300000011921","60.71","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","377141","0.0-10.0","1920x1080","","6223.4000000059605","23.94","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","11","383700","0.0-11.0","1920x1080","","6557.300000011921","20.63","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","12","387948","0.0-12.0","1920x1080","","4247.300000011921","85.32","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","13","391509","0.0-13.0","1920x1080","","3559.9000000059605","97","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","399316","0.0-14.0","1920x1080","","7806.5","33.33","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","15","406140","0.0-15.0","1920x1080","","6823.4000000059605","96","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","409724","0.0-16.0","1920x1080","","3583.3999999910593","71.69","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","415684","0.0-17.0","1920x1080","","5958.5999999940395","60.32","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","418709","0.0-18.0","1920x1080","","3024.7000000029802","88.89","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","422412","0.0-19.0","1920x1080","","3702.1000000089407","57","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","425388","0.0-20.0","1920x1080","","2975.5999999940395","41.93","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","21","435852","0.0-21.0","1920x1080","","10462.59999999404","23","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","22","438852","0.0-22.0","1920x1080","","2999.699999988079","2.25","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","442052","0.0-23.0","1920x1080","","3199.199999988079","71.30","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","24","448668","0.0-24.0","1920x1080","","6614.899999991059","63.36","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","25","457084","0.0-25.0","1920x1080","","8415.5","44","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","461148","0.0-26.0","1920x1080","","4062.9000000059605","19","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","464196","0.0-27.0","1920x1080","","3047.2999999970198","97","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","467012","0.0-28.0","1920x1080","","2815.0999999940395","86.51","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","470444","0.0-29.0","1920x1080","","3431.6000000089407","98","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","30","475356","0.0-30.0","1920x1080","","4911.20000000298","2","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","31","478812","0.0-31.0","1920x1080","","3455.0999999940395","13.76","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","32","482180","0.0-32.0","1920x1080","","3367.2000000029802","66.67","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","33","494028","0.0-33.0","1920x1080","","11847","51.85","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","34","498052","0.0-34.0","1920x1080","","4023.5","33","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","35","500716","0.0-35.0","1920x1080","","2663.1000000089407","32.28","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","36","503764","0.0-36.0","1920x1080","","3047.5","56.08","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","37","505796","0.0-37.0","1920x1080","","2031","63.49","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","38","511017","0.0-38.0","1920x1080","","5223.79999999702","42","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","39","513624","0.0-39.0","1920x1080","","2606.7999999970198","11.24","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","40","517417","0.0-40.0","1920x1080","","3791.7999999970198","54.89","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","41","521592","0.0-41.0","1920x1080","","4172","82.54","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","42","528409","0.0-42.0","1920x1080","","6815.79999999702","26.59","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","532056","0.0-43.0","1920x1080","","3646.2999999970198","8.99","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","44","556456","0.0-44.0","1920x1080","","24399.29999999702","57.41","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","45","588532","0.0-45.0","1920x1080","","32071.5","82.67","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","46","593556","0.0-46.0","1920x1080","","5023.5999999940395","48.54","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","47","596628","0.0-47.0","1920x1080","","3070.6000000089407","42.20","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","48","601268","0.0-48.0","1920x1080","","4639.300000011921","31","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","49","603796","0.0-49.0","1920x1080","","2525.1000000089407","48.81","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","50","606660","0.0-50.0","1920x1080","","2862.9000000059605","84.79","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","51","610212","0.0-51.0","1920x1080","","3551.5","51.72","img/117/3.5/1.5/bw/001.png","","","complex"
