"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5815","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","11841","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17636","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","8011449","0.0-3.0","1920x1080","10:45 5/10/2022","","","","","",""
"","","","","","survey-html-form","4","8019122","0.0-4.0","1920x1080","","7671.800000011921","{""age"":""18"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","8073371","0.0-5.0","1920x1080","","54247.20000000298","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","8073371","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","8105803","0.0-7.0","1920x1080","","32430.29999999702","30.16","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","8","8136323","0.0-8.0","1920x1080","","30518.5","40.21","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","9","8165467","0.0-9.0","1920x1080","","29143.30000001192","45.11","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","10","8221715","0.0-10.0","1920x1080","","56247.10000000894","35.05","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","11","8242571","0.0-11.0","1920x1080","","20855.20000000298","40.34","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","8291439","0.0-12.0","1920x1080","","48871.09999999404","60.05","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","8326532","0.0-13.0","1920x1080","","35087.5","49.87","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","8338116","0.0-14.0","1920x1080","","11583.300000011921","70.37","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","15","8366844","0.0-15.0","1920x1080","","28727.09999999404","75.13","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","16","8387450","0.0-16.0","1920x1080","","20607.90000000596","69.58","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","8410793","0.0-17.0","1920x1080","","23342.70000000298","77.91","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","18","8438745","0.0-18.0","1920x1080","","27958.79999999702","50.26","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","19","8455697","0.0-19.0","1920x1080","","16951.09999999404","75.00","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","8475409","0.0-20.0","1920x1080","","19711.20000000298","80.42","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","21","8493183","0.0-21.0","1920x1080","","17775.20000000298","90","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","22","8513047","0.0-22.0","1920x1080","","19862.59999999404","40","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","8524288","0.0-23.0","1920x1080","","11239.90000000596","90.74","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","24","8538832","0.0-24.0","1920x1080","","14543.20000000298","80.29","img/238/4/1/bw/001.png","","","complex"
