"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5795","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","11830","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17726","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","78046167","0.0-3.0","1920x1080","14:54 5/10/2022","","","","","",""
"","","","","","survey-html-form","4","78054801","0.0-4.0","1920x1080","","8629.40000000596","{""age"":""20"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","78102737","0.0-5.0","1920x1080","","47935","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","78102737","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","78112080","0.0-7.0","1920x1080","","9341.5","24.07","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","8","78127872","0.0-8.0","1920x1080","","15790.59999999404","62.30","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","78137104","0.0-9.0","1920x1080","","9231.800000011921","26.85","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","10","78154160","0.0-10.0","1920x1080","","17055","6","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","11","78159504","0.0-11.0","1920x1080","","5342.899999976158","78.31","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","78168713","0.0-12.0","1920x1080","","9207.5","10.98","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","78179033","0.0-13.0","1920x1080","","10319.300000011921","37.04","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","78189097","0.0-14.0","1920x1080","","10063.300000011921","73.81","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","15","78202721","0.0-15.0","1920x1080","","13623.199999988079","100","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","78214609","0.0-16.0","1920x1080","","11886.299999982119","5.29","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","17","78223882","0.0-17.0","1920x1080","","9278.699999988079","66","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","18","78233674","0.0-18.0","1920x1080","","9791.90000000596","70","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","78245370","0.0-19.0","1920x1080","","11695.300000011921","100","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","78254250","0.0-20.0","1920x1080","","8878.59999999404","76.85","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","21","78263826","0.0-21.0","1920x1080","","9575.300000011921","35.58","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","22","78275218","0.0-22.0","1920x1080","","11391","85","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","23","78286321","0.0-23.0","1920x1080","","11095.5","19.97","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","24","78294104","0.0-24.0","1920x1080","","7782.699999988079","4.63","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","78301497","0.0-25.0","1920x1080","","7388.4000000059605","17","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","78308809","0.0-26.0","1920x1080","","7310.800000011921","38","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","27","78316370","0.0-27.0","1920x1080","","7560.9000000059605","11.38","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","78327121","0.0-28.0","1920x1080","","10749.59999999404","22.22","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","78335297","0.0-29.0","1920x1080","","8174.800000011921","72","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","30","78348486","0.0-30.0","1920x1080","","13191.100000023842","32","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","31","78358654","0.0-31.0","1920x1080","","10166.799999982119","96","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","32","78367646","0.0-32.0","1920x1080","","8991.199999988079","33.86","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","33","78373454","0.0-33.0","1920x1080","","5806.5999999940395","73.02","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","34","78378006","0.0-34.0","1920x1080","","4550.5","80","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","35","78388022","0.0-35.0","1920x1080","","10015","42.46","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","36","78397254","0.0-36.0","1920x1080","","9230.899999976158","45","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","37","78402038","0.0-37.0","1920x1080","","4782.799999982119","65.08","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","38","78408645","0.0-38.0","1920x1080","","6607.5","95","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","39","78418558","0.0-39.0","1920x1080","","9911.40000000596","16.93","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","40","78423446","0.0-40.0","1920x1080","","4886.5","100","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","41","78427534","0.0-41.0","1920x1080","","4087.5999999940395","78.84","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","42","78431629","0.0-42.0","1920x1080","","4094.4000000059605","89","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","78435342","0.0-43.0","1920x1080","","3711.5","90.48","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","44","78447069","0.0-44.0","1920x1080","","11726.800000011921","77.91","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","45","78462885","0.0-45.0","1920x1080","","15814.199999988079","12","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","46","78469921","0.0-46.0","1920x1080","","7029.5999999940395","6.35","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","47","78474065","0.0-47.0","1920x1080","","4143.4000000059605","94.97","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","48","78484273","0.0-48.0","1920x1080","","10207","14","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","49","78490473","0.0-49.0","1920x1080","","6198.9000000059605","26.98","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","50","78494641","0.0-50.0","1920x1080","","4167.4000000059605","64.95","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","51","78508993","0.0-51.0","1920x1080","","14351.100000023842","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","52","78517890","0.0-52.0","1920x1080","","8896.09999999404","70","img/314/4.5/0.5/bw/001.png","","","complex"
