"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5813","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","11822","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17703","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","997027","0.0-3.0","1920x1080","13:19 6/10/2022","","","","","",""
"","","","","","survey-html-form","4","1006349","0.0-4.0","1920x1080","","9318.5","{""age"":""20"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","1089366","0.0-5.0","1920x1080","","83015.19999998808","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","1089366","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1103069","0.0-7.0","1920x1080","","13701.799999982119","22.09","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","8","1113773","0.0-8.0","1920x1080","","10703","32.14","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","9","1119509","0.0-9.0","1920x1080","","5735.0999999940395","3.84","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","1126749","0.0-10.0","1920x1080","","7239.5","43.65","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","1134269","0.0-11.0","1920x1080","","7518.699999988079","61.77","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","12","1142109","0.0-12.0","1920x1080","","7839.5999999940395","3.97","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","1154605","0.0-13.0","1920x1080","","12494.699999988079","75.93","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","14","1168453","0.0-14.0","1920x1080","","13847","81","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","15","1176661","0.0-15.0","1920x1080","","8207.59999999404","90.48","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","16","1182909","0.0-16.0","1920x1080","","6247.199999988079","0.13","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","1188862","0.0-17.0","1920x1080","","5951.0999999940395","100","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","1193541","0.0-18.0","1920x1080","","4678.899999976158","100","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","1197909","0.0-19.0","1920x1080","","4367.5999999940395","51.72","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","20","1204884","0.0-20.0","1920x1080","","6974.699999988079","91.93","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","1208565","0.0-21.0","1920x1080","","3679.899999976158","20.90","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","1219172","0.0-22.0","1920x1080","","10606.799999982119","31.35","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","23","1223989","0.0-23.0","1920x1080","","4815.5","58.99","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","1228733","0.0-24.0","1920x1080","","4743.0999999940395","10.19","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","25","1237284","0.0-25.0","1920x1080","","8550.399999976158","90.34","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","26","1240573","0.0-26.0","1920x1080","","3287.5","97","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","27","1248300","0.0-27.0","1920x1080","","7727","41.93","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","1251598","0.0-28.0","1920x1080","","3296.5999999940395","58.33","img/238/3.5/0.66667/bw/001.png","","","complex"
