"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5860","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","11938","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18029","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","129494","0.0-3.0","1920x1080","9:59 7/10/2022","","","","","",""
"","","","","","survey-html-form","4","136540","0.0-4.0","1920x1080","","7042.4000000059605","{""age"":""20"",""gender"":""woman""}","","","",""
"","","","","","html-button-response","5","183645","0.0-5.0","1920x1080","","47104.40000000596","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","183646","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","221829","0.0-7.0","1920x1080","","38181.90000000596","21","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","8","236741","0.0-8.0","1920x1080","","14910.40000000596","44.58","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","9","250668","0.0-9.0","1920x1080","","13926.90000000596","53.97","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","260844","0.0-10.0","1920x1080","","10175.40000000596","39.02","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","11","277444","0.0-11.0","1920x1080","","16598.59999999404","21.83","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","289084","0.0-12.0","1920x1080","","11639.200000017881","26.98","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","297284","0.0-13.0","1920x1080","","8199.40000000596","17.46","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","307471","0.0-14.0","1920x1080","","10175.5","62.70","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","15","327016","0.0-15.0","1920x1080","","19543.59999999404","44.84","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","16","333224","0.0-16.0","1920x1080","","6207.5999999940395","16.93","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","348368","0.0-17.0","1920x1080","","15143.40000000596","50.00","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","18","372987","0.0-18.0","1920x1080","","24591","49.74","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","19","386315","0.0-19.0","1920x1080","","13327.59999999404","37.70","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","20","398955","0.0-20.0","1920x1080","","12638.899999976158","53.57","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","21","411219","0.0-21.0","1920x1080","","12263.299999982119","69.31","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","426155","0.0-22.0","1920x1080","","14935.399999976158","49.74","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","440846","0.0-23.0","1920x1080","","14671.40000000596","85.45","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","24","457142","0.0-24.0","1920x1080","","16295.200000017881","23.15","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","464622","0.0-25.0","1920x1080","","7479.300000011921","37","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","26","490992","0.0-26.0","1920x1080","","26335.5","49.47","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","500370","0.0-27.0","1920x1080","","9376.59999999404","19.84","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","28","515296","0.0-28.0","1920x1080","","14925.59999999404","10.85","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","29","525600","0.0-29.0","1920x1080","","10303.5","40.74","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","30","539648","0.0-30.0","1920x1080","","14046.800000011921","46.43","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","31","553617","0.0-31.0","1920x1080","","13943.100000023842","84","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","560473","0.0-32.0","1920x1080","","6855.199999988079","47.22","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","584153","0.0-33.0","1920x1080","","23678.90000000596","68.12","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","34","587769","0.0-34.0","1920x1080","","3615.5","11.38","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","35","595641","0.0-35.0","1920x1080","","7871.0999999940395","62.70","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","36","599297","0.0-36.0","1920x1080","","3655","5.69","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","37","613434","0.0-37.0","1920x1080","","14127.700000017881","93","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","622145","0.0-38.0","1920x1080","","8710.699999988079","59.26","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","39","640545","0.0-39.0","1920x1080","","18398.59999999404","53.57","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","40","643657","0.0-40.0","1920x1080","","3111.100000023842","5.42","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","41","655457","0.0-41.0","1920x1080","","11799","90","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","42","666650","0.0-42.0","1920x1080","","11191.59999999404","96","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","43","672842","0.0-43.0","1920x1080","","6185","62.17","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","44","680080","0.0-44.0","1920x1080","","7236.5","57.28","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","45","696936","0.0-45.0","1920x1080","","16855.09999999404","82.80","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","46","707544","0.0-46.0","1920x1080","","10607.700000017881","57.67","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","47","723944","0.0-47.0","1920x1080","","16398.5","51.46","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","48","748101","0.0-48.0","1920x1080","","24159.69999998808","96","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","49","754748","0.0-49.0","1920x1080","","6646.5999999940395","20.90","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","50","759669","0.0-50.0","1920x1080","","4919.5","1.59","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","51","773454","0.0-51.0","1920x1080","","13783.200000017881","87.83","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","52","780948","0.0-52.0","1920x1080","","7493.0999999940395","41.14","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","53","788207","0.0-53.0","1920x1080","","7256.5","48.02","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","54","794262","0.0-54.0","1920x1080","","6053.9000000059605","27.65","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","55","804478","0.0-55.0","1920x1080","","10215","88.89","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","56","829535","0.0-56.0","1920x1080","","25055.29999998212","35.05","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","57","833262","0.0-57.0","1920x1080","","3726.4000000059605","23.94","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","58","836406","0.0-58.0","1920x1080","","3143.2000000178814","1.32","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","59","855236","0.0-59.0","1920x1080","","18833","32","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","60","859882","0.0-60.0","1920x1080","","4645.5999999940395","2.91","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","61","868187","0.0-61.0","1920x1080","","8303.09999999404","50.13","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","62","887069","0.0-62.0","1920x1080","","18881.5","98","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","63","898842","0.0-63.0","1920x1080","","11771.90000000596","4","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","64","910505","0.0-64.0","1920x1080","","11663.100000023842","50.13","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","65","922457","0.0-65.0","1920x1080","","11951","59.92","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","66","941105","0.0-66.0","1920x1080","","18647","97","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","67","956361","0.0-67.0","1920x1080","","15255.09999999404","48.02","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","68","962834","0.0-68.0","1920x1080","","6472.0999999940395","48.81","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","69","965817","0.0-69.0","1920x1080","","2982.199999988079","4.10","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","70","972862","0.0-70.0","1920x1080","","7039.100000023842","5.42","img/314/2.5/1/bw/001.png","","","complex"
