"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","36336","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","81091","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","125163","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","670155","0.0-3.0","1920x1080","10:53 7/10/2022","","","","","",""
"","","","","","survey-html-form","4","678674","0.0-4.0","1920x1080","","8515.89999999851","{""age"":""20"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","722642","0.0-5.0","1920x1080","","43967.10000000149","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","722643","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","734112","0.0-7.0","1920x1080","","11452.5","75.00","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","8","747688","0.0-8.0","1920x1080","","13574.60000000149","33","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","9","757280","0.0-9.0","1920x1080","","9590.89999999851","84.26","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","763432","0.0-10.0","1920x1080","","6150.89999999851","45.37","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","11","776408","0.0-11.0","1920x1080","","12975","58.33","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","12","783744","0.0-12.0","1920x1080","","7335","97","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","13","787592","0.0-13.0","1920x1080","","3847.10000000149","24.60","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","794144","0.0-14.0","1920x1080","","6551.10000000149","35.19","img/238/5.5/1.5/bw/001.png","","","complex"
