"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5797","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","11848","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17621","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","2746122","0.0-3.0","1920x1080","11:11 7/10/2022","","","","","",""
"","","","","","survey-html-form","4","2760045","0.0-4.0","1920x1080","","13917.800000011921","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","2809525","0.0-5.0","1920x1080","","49478.90000000596","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","2809525","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","2815884","0.0-7.0","1920x1080","","6357.9000000059605","87.43","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","2823116","0.0-8.0","1920x1080","","7230.800000011921","62","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","9","2828396","0.0-9.0","1920x1080","","5279","62.96","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","10","2832828","0.0-10.0","1920x1080","","4431.0999999940395","65.61","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","11","2837932","0.0-11.0","1920x1080","","5103.199999988079","100","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","2840884","0.0-12.0","1920x1080","","2951","78","img/314/3.5/2/bw/001.png","","","complex"
