"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5931","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12071","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17954","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","181346","0.0-3.0","1920x1080","11:55 7/10/2022","","","","","",""
"","","","","","survey-html-form","4","193506","0.0-4.0","1920x1080","","12157.89999999851","{""age"":""18"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","491714","0.0-5.0","1920x1080","","298206.3999999985","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","491715","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","520354","0.0-7.0","1920x1080","","28637.89999999851","76","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","525050","0.0-8.0","1920x1080","","4695.69999999553","49.34","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","529250","0.0-9.0","1920x1080","","4199","56.88","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","532018","0.0-10.0","1920x1080","","2767.2999999970198","59.52","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","534906","0.0-11.0","1920x1080","","2885.10000000149","67.99","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","539594","0.0-12.0","1920x1080","","4687.19999999553","47.09","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","13","543450","0.0-13.0","1920x1080","","3855.60000000149","80.16","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","14","551410","0.0-14.0","1920x1080","","7959.30000000447","95","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","557082","0.0-15.0","1920x1080","","5671","90","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","560418","0.0-16.0","1920x1080","","3335.39999999851","44.71","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","563578","0.0-17.0","1920x1080","","3159.39999999851","47.09","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","18","567434","0.0-18.0","1920x1080","","3855.5","29.63","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","569346","0.0-19.0","1920x1080","","1911.3000000044703","23.15","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","20","571786","0.0-20.0","1920x1080","","2438.9000000059605","47.75","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","574810","0.0-21.0","1920x1080","","3023.39999999851","51.72","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","22","578106","0.0-22.0","1920x1080","","3295","27.91","img/117/2.5/1.5/bw/001.png","","","complex"
