"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5945","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12133","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17933","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","23143","0.0-3.0","1920x1080","12:57 7/10/2022","","","","","",""
"","","","","","survey-html-form","4","34521","0.0-4.0","1920x1080","","11374.70000000298","{""age"":""20"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","69233","0.0-5.0","1920x1080","","34710.70000000298","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","69233","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","143585","0.0-7.0","1920x1080","","74349.39999999851","80","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","8","154826","0.0-8.0","1920x1080","","11239.10000000149","10.32","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","174674","0.0-9.0","1920x1080","","19846.70000000298","64.81","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","10","181234","0.0-10.0","1920x1080","","6559","100","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","192338","0.0-11.0","1920x1080","","11103.30000000447","69.71","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","201386","0.0-12.0","1920x1080","","9047.20000000298","85.05","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","13","207897","0.0-13.0","1920x1080","","6511.10000000149","100","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","218811","0.0-14.0","1920x1080","","10911.90000000596","89.55","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","15","230675","0.0-15.0","1920x1080","","11862.89999999851","90","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","16","242530","0.0-16.0","1920x1080","","11855","94.58","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","17","256059","0.0-17.0","1920x1080","","13527.60000000149","5.16","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","18","260867","0.0-18.0","1920x1080","","4806.60000000149","19.84","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","269947","0.0-19.0","1920x1080","","9078.89999999851","79.50","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","288644","0.0-20.0","1920x1080","","18695.79999999702","14.95","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","298299","0.0-21.0","1920x1080","","9654.79999999702","30","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","303099","0.0-22.0","1920x1080","","4799.19999999553","100","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","309060","0.0-23.0","1920x1080","","5959.60000000149","100","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","24","317204","0.0-24.0","1920x1080","","8143","95","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","25","329924","0.0-25.0","1920x1080","","12718.60000000149","79.50","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","26","334460","0.0-26.0","1920x1080","","4535.10000000149","74.74","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","27","347499","0.0-27.0","1920x1080","","13039","60","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","353820","0.0-28.0","1920x1080","","6319.80000000447","69.71","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","29","359013","0.0-29.0","1920x1080","","5192.10000000149","100","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","30","366563","0.0-30.0","1920x1080","","7549.60000000149","70.11","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","31","377956","0.0-31.0","1920x1080","","11391.79999999702","39.95","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","32","384644","0.0-32.0","1920x1080","","6686.70000000298","15.21","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","411412","0.0-33.0","1920x1080","","26767.5","55.03","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","34","417435","0.0-34.0","1920x1080","","6022.5","65","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","35","424147","0.0-35.0","1920x1080","","6711","55.03","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","36","430955","0.0-36.0","1920x1080","","6807.5","69.58","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","37","438124","0.0-37.0","1920x1080","","7167.39999999851","80.03","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","38","446204","0.0-38.0","1920x1080","","8079.19999999553","5.29","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","39","453133","0.0-39.0","1920x1080","","6926.89999999851","54.50","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","40","463868","0.0-40.0","1920x1080","","10734.89999999851","30.16","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","41","481085","0.0-41.0","1920x1080","","17215.69999999553","10.19","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","42","488725","0.0-42.0","1920x1080","","7639.29999999702","69.97","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","43","491557","0.0-43.0","1920x1080","","2831","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","44","501941","0.0-44.0","1920x1080","","10383.29999999702","40","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","45","512357","0.0-45.0","1920x1080","","10415.29999999702","30","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","46","518853","0.0-46.0","1920x1080","","6494.89999999851","65","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","47","523805","0.0-47.0","1920x1080","","4950.9000000059605","60.05","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","48","540149","0.0-48.0","1920x1080","","16343.20000000298","60.45","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","49","548015","0.0-49.0","1920x1080","","7865","100","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","50","553237","0.0-50.0","1920x1080","","5221.19999999553","100","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","51","563005","0.0-51.0","1920x1080","","9767.19999999553","84.66","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","52","571965","0.0-52.0","1920x1080","","8958.5","65.21","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","53","583453","0.0-53.0","1920x1080","","11487.69999999553","25.00","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","54","588373","0.0-54.0","1920x1080","","4919.0999999940395","100","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","55","594261","0.0-55.0","1920x1080","","5886.70000000298","100","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","56","604382","0.0-56.0","1920x1080","","10119.5","90","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","57","613015","0.0-57.0","1920x1080","","8631.89999999851","84.92","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","58","618117","0.0-58.0","1920x1080","","5101.0999999940395","85.05","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","59","623973","0.0-59.0","1920x1080","","5855.39999999851","34.52","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","60","634661","0.0-60.0","1920x1080","","10687.19999999553","55","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","61","637268","0.0-61.0","1920x1080","","2606.39999999851","100","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","62","641325","0.0-62.0","1920x1080","","4055.7999999970198","100","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","63","657615","0.0-63.0","1920x1080","","16288.39999999851","85.19","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","64","674557","0.0-64.0","1920x1080","","16941.30000000447","15.48","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","65","683709","0.0-65.0","1920x1080","","9151.20000000298","20.24","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","66","689573","0.0-66.0","1920x1080","","5862.89999999851","100","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","67","695181","0.0-67.0","1920x1080","","5606.60000000149","84.92","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","68","720447","0.0-68.0","1920x1080","","25265.70000000298","79.63","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","69","727831","0.0-69.0","1920x1080","","7383.30000000447","29.89","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","70","731031","0.0-70.0","1920x1080","","3199.10000000149","100","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","71","736789","0.0-71.0","1920x1080","","5757.20000000298","85.05","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","72","758216","0.0-72.0","1920x1080","","21424.60000000149","74.87","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","73","762822","0.0-73.0","1920x1080","","4605.5","100","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","74","780110","0.0-74.0","1920x1080","","17287.10000000149","84.92","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","75","795249","0.0-75.0","1920x1080","","15137.70000000298","74.87","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","76","799886","0.0-76.0","1920x1080","","4636.10000000149","100","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","77","804190","0.0-77.0","1920x1080","","4303.29999999702","100","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","78","812200","0.0-78.0","1920x1080","","8008.4000000059605","80.16","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","79","821775","0.0-79.0","1920x1080","","9573.80000000447","70.37","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","80","826158","0.0-80.0","1920x1080","","4383","90.08","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","81","838215","0.0-81.0","1920x1080","","12055.40000000596","80.03","img/314/4/1/bw/001.png","","","complex"
"","","","","","html-button-response","82","856711","0.0-82.0","1920x1080","","18494.5","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">APPEALING</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Appealing<br></div><div class=""intro"">1 = Most Appealing<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","856713","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","871758","0.0-84.0","1920x1080","","15045","85.45","img/238/5.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","85","876350","0.0-85.0","1920x1080","","4590.5","34.66","img/238/4.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","86","881566","0.0-86.0","1920x1080","","5214.79999999702","10.32","img/238/4/1/bw/001.png","","","appealing"
"","","","","","animation","87","889582","0.0-87.0","1920x1080","","8015.30000000447","69.58","img/117/5.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","88","893294","0.0-88.0","1920x1080","","3711.10000000149","0.40","img/117/3.5/2/bw/001.png","","","appealing"
"","","","","","animation","89","896199","0.0-89.0","1920x1080","","2903.2000000029802","0","img/238/2.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","90","899382","0.0-90.0","1920x1080","","3182.7000000029802","0.40","img/117/2.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","91","903150","0.0-91.0","1920x1080","","3766.10000000149","0.13","img/117/3.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","92","908654","0.0-92.0","1920x1080","","5503.20000000298","4.63","img/117/4.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","93","912574","0.0-93.0","1920x1080","","3919.2999999970198","5.16","img/238/4.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","94","918102","0.0-94.0","1920x1080","","5526.70000000298","0","img/117/3.5/1/bw/001.png","","","appealing"
"","","","","","animation","95","922710","0.0-95.0","1920x1080","","4607.5","0","img/314/3.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","96","926886","0.0-96.0","1920x1080","","4175.0999999940395","4.76","img/238/4/0.66667/bw/001.png","","","appealing"
"","","","","","animation","97","932959","0.0-97.0","1920x1080","","6071.20000000298","79.50","img/238/5.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","98","938159","0.0-98.0","1920x1080","","5198.5999999940395","10.19","img/314/4/1/bw/001.png","","","appealing"
"","","","","","animation","99","942407","0.0-99.0","1920x1080","","4247.0999999940395","0","img/117/2.5/1/bw/001.png","","","appealing"
"","","","","","animation","100","944959","0.0-100.0","1920x1080","","2551.1999999955297","0.13","img/314/2.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","101","949743","0.0-101.0","1920x1080","","4783.10000000149","0.00","img/238/4/0.5/bw/001.png","","","appealing"
"","","","","","animation","102","952135","0.0-102.0","1920x1080","","2390.5","0.00","img/238/2.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","103","962567","0.0-103.0","1920x1080","","10431.10000000149","90.21","img/117/5.5/2/bw/001.png","","","appealing"
"","","","","","animation","104","969250","0.0-104.0","1920x1080","","6681.30000000447","19.84","img/314/4/1.5/bw/001.png","","","appealing"
"","","","","","animation","105","980175","0.0-105.0","1920x1080","","10924.09999999404","70.11","img/117/5.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","106","984655","0.0-106.0","1920x1080","","4479","0","img/238/2.5/1/bw/001.png","","","appealing"
"","","","","","animation","107","989311","0.0-107.0","1920x1080","","4655","0.00","img/314/4.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","108","998582","0.0-108.0","1920x1080","","9270.29999999702","19.97","img/117/4.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","109","1011791","0.0-109.0","1920x1080","","13207.39999999851","100","img/238/5.5/2/bw/001.png","","","appealing"
"","","","","","animation","110","1013911","0.0-110.0","1920x1080","","2118.9000000059605","0","img/314/2.5/2/bw/001.png","","","appealing"
"","","","","","animation","111","1021086","0.0-111.0","1920x1080","","7174.69999999553","10.32","img/314/4/2/bw/001.png","","","appealing"
"","","","","","animation","112","1024790","0.0-112.0","1920x1080","","3702.8000000044703","0.00","img/238/2.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","113","1028959","0.0-113.0","1920x1080","","4167.10000000149","9.92","img/117/4.5/1/bw/001.png","","","appealing"
"","","","","","animation","114","1033590","0.0-114.0","1920x1080","","4630.89999999851","4.89","img/238/3.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","115","1041382","0.0-115.0","1920x1080","","7790.60000000149","59.66","img/117/5.5/1/bw/001.png","","","appealing"
"","","","","","animation","116","1052471","0.0-116.0","1920x1080","","11087.30000000447","30","img/314/4.5/1/bw/001.png","","","appealing"
"","","","","","animation","117","1071023","0.0-117.0","1920x1080","","18550.89999999851","70","img/117/4.5/2/bw/001.png","","","appealing"
"","","","","","animation","118","1077471","0.0-118.0","1920x1080","","6447.10000000149","5","img/314/3.5/1/bw/001.png","","","appealing"
"","","","","","animation","119","1091743","0.0-119.0","1920x1080","","14270.70000000298","10.32","img/117/4/0.66667/bw/001.png","","","appealing"
"","","","","","animation","120","1098335","0.0-120.0","1920x1080","","6588.29999999702","15.21","img/314/4.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","121","1101935","0.0-121.0","1920x1080","","3598.9000000059605","0.13","img/314/2.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","122","1104655","0.0-122.0","1920x1080","","2719.0999999940395","0.40","img/238/3.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","123","1112866","0.0-123.0","1920x1080","","8210.20000000298","25.13","img/314/5.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","124","1117983","0.0-124.0","1920x1080","","5115.10000000149","0.13","img/314/3.5/2/bw/001.png","","","appealing"
"","","","","","animation","125","1121687","0.0-125.0","1920x1080","","3703.5","0.40","img/314/4/0.5/bw/001.png","","","appealing"
"","","","","","animation","126","1124503","0.0-126.0","1920x1080","","2814.60000000149","0.00","img/314/3.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","127","1132865","0.0-127.0","1920x1080","","8361.69999999553","5","img/238/4/1.5/bw/001.png","","","appealing"
"","","","","","animation","128","1135666","0.0-128.0","1920x1080","","2799.60000000149","0.13","img/314/2.5/1/bw/001.png","","","appealing"
"","","","","","animation","129","1147199","0.0-129.0","1920x1080","","11532","10","img/117/4/2/bw/001.png","","","appealing"
"","","","","","animation","130","1149911","0.0-130.0","1920x1080","","2711.3000000044703","0","img/117/2.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","131","1159439","0.0-131.0","1920x1080","","9526.70000000298","30.03","img/238/4.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","132","1163699","0.0-132.0","1920x1080","","4258.79999999702","0.13","img/238/3.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","133","1174866","0.0-133.0","1920x1080","","11166.19999999553","79.89","img/238/5.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","134","1181999","0.0-134.0","1920x1080","","7132.20000000298","96","img/314/5.5/2/bw/001.png","","","appealing"
"","","","","","animation","135","1185583","0.0-135.0","1920x1080","","3581.10000000149","0","img/314/2.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","136","1189049","0.0-136.0","1920x1080","","3465.2999999970198","0","img/314/3.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","137","1193207","0.0-137.0","1920x1080","","4157.10000000149","0.40","img/117/4/1/bw/001.png","","","appealing"
"","","","","","animation","138","1197607","0.0-138.0","1920x1080","","4398.5","4.50","img/314/4.5/2/bw/001.png","","","appealing"
"","","","","","animation","139","1205423","0.0-139.0","1920x1080","","7814.89999999851","89.81","img/314/5.5/1/bw/001.png","","","appealing"
"","","","","","animation","140","1215483","0.0-140.0","1920x1080","","10058.89999999851","5","img/117/4/1.5/bw/001.png","","","appealing"
"","","","","","animation","141","1223727","0.0-141.0","1920x1080","","8242.89999999851","0.13","img/117/3.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","142","1227034","0.0-142.0","1920x1080","","3304.6999999955297","0.13","img/117/4/0.5/bw/001.png","","","appealing"
"","","","","","animation","143","1234751","0.0-143.0","1920x1080","","7715.79999999702","84.92","img/314/5.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","144","1238668","0.0-144.0","1920x1080","","3916.10000000149","0.40","img/117/3.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","145","1242433","0.0-145.0","1920x1080","","3763.2000000029802","0","img/238/3.5/1/bw/001.png","","","appealing"
"","","","","","animation","146","1246716","0.0-146.0","1920x1080","","4282","69.84","img/117/5.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","147","1249367","0.0-147.0","1920x1080","","2649.89999999851","0","img/117/2.5/2/bw/001.png","","","appealing"
"","","","","","animation","148","1252367","0.0-148.0","1920x1080","","2998.89999999851","5.16","img/117/4.5/0.66667/bw/001.png","","","appealing"
"","","","","","animation","149","1257319","0.0-149.0","1920x1080","","4951.10000000149","0.13","img/238/3.5/2/bw/001.png","","","appealing"
"","","","","","animation","150","1263760","0.0-150.0","1920x1080","","6439.10000000149","65.08","img/314/5.5/0.5/bw/001.png","","","appealing"
"","","","","","animation","151","1266792","0.0-151.0","1920x1080","","3030.6999999955297","0","img/117/2.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","152","1278176","0.0-152.0","1920x1080","","11382.89999999851","4.50","img/238/4.5/1/bw/001.png","","","appealing"
"","","","","","animation","153","1286616","0.0-153.0","1920x1080","","8439.60000000149","9.92","img/238/4/2/bw/001.png","","","appealing"
"","","","","","animation","154","1303500","0.0-154.0","1920x1080","","16882.89999999851","25.13","img/314/4.5/1.5/bw/001.png","","","appealing"
"","","","","","animation","155","1319434","0.0-155.0","1920x1080","","15932.20000000298","39.68","img/238/4.5/2/bw/001.png","","","appealing"
"","","","","","animation","156","1322903","0.0-156.0","1920x1080","","3468.10000000149","0.00","img/238/2.5/2/bw/001.png","","","appealing"
"","","","","","animation","157","1330959","0.0-157.0","1920x1080","","8055.0999999940395","100","img/238/5.5/1/bw/001.png","","","appealing"
"","","","","","animation","158","1334027","0.0-158.0","1920x1080","","3065.4000000059605","4.89","img/314/4/0.66667/bw/001.png","","","appealing"
"","","","","","html-button-response","159","1352808","0.0-159.0","1920x1080","","18778.60000000149","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">NATURAL</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Natural<br></div><div class=""intro"">1 = Most Natural<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","160","1352808","0.0-160.0","1920x1080","","","","","","",""
"","","","","","animation","161","1375055","0.0-161.0","1920x1080","","22246.60000000149","74.74","img/117/3.5/0.5/bw/001.png","","","natural"
"","","","","","animation","162","1386282","0.0-162.0","1920x1080","","11224","25.13","img/117/5.5/0.5/bw/001.png","","","natural"
"","","","","","animation","163","1392887","0.0-163.0","1920x1080","","6602.70000000298","80.42","img/314/3.5/2/bw/001.png","","","natural"
"","","","","","animation","164","1404159","0.0-164.0","1920x1080","","11271","70.24","img/117/3.5/1.5/bw/001.png","","","natural"
"","","","","","animation","165","1409943","0.0-165.0","1920x1080","","5782.89999999851","5.16","img/117/2.5/1/bw/001.png","","","natural"
"","","","","","animation","166","1415919","0.0-166.0","1920x1080","","5974.20000000298","79.89","img/238/4.5/0.5/bw/001.png","","","natural"
"","","","","","animation","167","1423087","0.0-167.0","1920x1080","","7167.30000000447","84.52","img/117/3.5/1/bw/001.png","","","natural"
"","","","","","animation","168","1429887","0.0-168.0","1920x1080","","6798.89999999851","14.95","img/314/2.5/0.5/bw/001.png","","","natural"
"","","","","","animation","169","1438543","0.0-169.0","1920x1080","","8654.69999999553","74.74","img/314/4.5/1.5/bw/001.png","","","natural"
"","","","","","animation","170","1445143","0.0-170.0","1920x1080","","6598.5999999940395","10","img/314/5.5/0.5/bw/001.png","","","natural"
"","","","","","animation","171","1452832","0.0-171.0","1920x1080","","7688.39999999851","84.92","img/117/5.5/1.5/bw/001.png","","","natural"
"","","","","","animation","172","1459482","0.0-172.0","1920x1080","","6648.69999999553","10","img/238/3.5/1/bw/001.png","","","natural"
"","","","","","animation","173","1464882","0.0-173.0","1920x1080","","5399","0","img/238/3.5/0.66667/bw/001.png","","","natural"
"","","","","","animation","174","1471732","0.0-174.0","1920x1080","","6848.9000000059605","89.81","img/117/2.5/2/bw/001.png","","","natural"
"","","","","","animation","175","1476150","0.0-175.0","1920x1080","","4417.30000000447","0.40","img/314/2.5/0.66667/bw/001.png","","","natural"
"","","","","","animation","176","1481086","0.0-176.0","1920x1080","","4935.0999999940395","84.66","img/117/2.5/1.5/bw/001.png","","","natural"
"","","","","","animation","177","1493632","0.0-177.0","1920x1080","","12544.30000000447","74.74","img/117/3.5/0.66667/bw/001.png","","","natural"
"","","","","","animation","178","1502071","0.0-178.0","1920x1080","","8436.60000000149","75.00","img/314/2.5/1.5/bw/001.png","","","natural"
"","","","","","animation","179","1505599","0.0-179.0","1920x1080","","3526.60000000149","0","img/117/2.5/0.5/bw/001.png","","","natural"
"","","","","","animation","180","1516615","0.0-180.0","1920x1080","","11015.5","9.92","img/314/5.5/1.5/bw/001.png","","","natural"
"","","","","","animation","181","1542599","0.0-181.0","1920x1080","","25981.79999999702","19.84","img/314/4/1.5/bw/001.png","","","natural"
"","","","","","animation","182","1551151","0.0-182.0","1920x1080","","8551.09999999404","30.03","img/238/5.5/0.66667/bw/001.png","","","natural"
"","","","","","animation","183","1556855","0.0-183.0","1920x1080","","5701.79999999702","69.84","img/238/4.5/0.66667/bw/001.png","","","natural"
"","","","","","animation","184","1560799","0.0-184.0","1920x1080","","3942.5999999940395","74.87","img/314/3.5/1/bw/001.png","","","natural"
"","","","","","animation","185","1572222","0.0-185.0","1920x1080","","11423","79.89","img/238/4/1/bw/001.png","","","natural"
"","","","","","animation","186","1605682","0.0-186.0","1920x1080","","33457.89999999851","35.19","img/314/4/2/bw/001.png","","","natural"
"","","","","","animation","187","1624215","0.0-187.0","1920x1080","","18532.40000000596","75","img/314/4/1/bw/001.png","","","natural"
"","","","","","animation","188","1632865","0.0-188.0","1920x1080","","8648.5","84.79","img/314/2.5/2/bw/001.png","","","natural"
"","","","","","animation","189","1637023","0.0-189.0","1920x1080","","4156.5","5.29","img/238/3.5/0.5/bw/001.png","","","natural"
"","","","","","animation","190","1640871","0.0-190.0","1920x1080","","3847","25.26","img/238/3.5/1.5/bw/001.png","","","natural"
"","","","","","animation","191","1644138","0.0-191.0","1920x1080","","3266.10000000149","64.81","img/117/4/0.66667/bw/001.png","","","natural"
"","","","","","animation","192","1647582","0.0-192.0","1920x1080","","3442.7000000029802","74.87","img/314/3.5/1.5/bw/001.png","","","natural"
"","","","","","animation","193","1656207","0.0-193.0","1920x1080","","8623.39999999851","85.32","img/238/2.5/1.5/bw/001.png","","","natural"
