"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5777","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","11760","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17656","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","241473086","0.0-3.0","1920x1080","13:59 7/10/2022","","","","","",""
"","","","","","survey-html-form","4","241657084","0.0-4.0","1920x1080","","183993.80000001192","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","241716732","0.0-5.0","1920x1080","","59535.90000003576","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","241716732","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","241725771","0.0-7.0","1920x1080","","9037.899999976158","111.90","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","241732051","0.0-8.0","1920x1080","","6278.799999952316","0","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","241737932","0.0-9.0","1920x1080","","5879.300000011921","50","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","10","241746564","0.0-10.0","1920x1080","","8631.199999988079","51","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","11","241754292","0.0-11.0","1920x1080","","7727.100000023842","104.76","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","241759412","0.0-12.0","1920x1080","","5119.300000011921","0","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","241769900","0.0-13.0","1920x1080","","10487.899999976158","100","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","14","241776593","0.0-14.0","1920x1080","","6590.599999964237","130.03","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","15","241783009","0.0-15.0","1920x1080","","6412.699999988079","123.15","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","16","241789818","0.0-16.0","1920x1080","","6808.100000023842","0.40","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","17","241800129","0.0-17.0","1920x1080","","10310.600000023842","50","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","241809929","0.0-18.0","1920x1080","","9799.5","-5.95","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","19","241814721","0.0-19.0","1920x1080","","4790.800000011921","-11.51","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","241821218","0.0-20.0","1920x1080","","6496.399999976158","0.79","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","241829905","0.0-21.0","1920x1080","","8686","22","img/314/4.5/0.66667/bw/001.png","","","complex"
