"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5788","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","11834","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17620","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","209493","0.0-3.0","1920x1080","9:53 10/10/2022","","","","","",""
"","","","","","survey-html-form","4","226508","0.0-4.0","1920x1080","","17011.899999976158","{""age"":""18"",""gender"":""Woman""}","","","",""
"","","","","","html-button-response","5","299204","0.0-5.0","1920x1080","","72694.89999997616","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","299205","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","306924","0.0-7.0","1920x1080","","7717.900000035763","25.13","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","8","315964","0.0-8.0","1920x1080","","9039.399999976158","24.87","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","9","328523","0.0-9.0","1920x1080","","12558.599999964237","10","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","10","339051","0.0-10.0","1920x1080","","10526.800000011921","30.29","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","11","343723","0.0-11.0","1920x1080","","4671","25.26","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","12","348971","0.0-12.0","1920x1080","","5247.600000023842","22","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","13","356540","0.0-13.0","1920x1080","","7567.299999952316","33.07","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","364956","0.0-14.0","1920x1080","","8415.199999988079","9.26","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","15","372476","0.0-15.0","1920x1080","","7519.099999964237","11.24","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","376420","0.0-16.0","1920x1080","","3943.599999964237","25.40","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","17","382980","0.0-17.0","1920x1080","","6559.5","22.88","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","18","389460","0.0-18.0","1920x1080","","6478.899999976158","19.71","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","19","393500","0.0-19.0","1920x1080","","4039.199999988079","33.07","img/117/3.5/0.5/bw/001.png","","","complex"
