"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","41965","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","79704","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","119859","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","1122673","0.0-3.0","1920x1080","11:40 10/10/2022","","","","","",""
"","","","","","survey-html-form","4","1137279","0.0-4.0","1920x1080","","14602.600000023842","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","1193107","0.0-5.0","1920x1080","","55814.69999998808","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","1193108","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1206859","0.0-7.0","1920x1080","","13748.400000035763","55.42","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","8","1242371","0.0-8.0","1920x1080","","35510.40000003576","29.10","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","9","1245929","0.0-9.0","1920x1080","","3557.7999999523163","99","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","10","1248761","0.0-10.0","1920x1080","","2831.2999999523163","28.04","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","11","1253401","0.0-11.0","1920x1080","","4639.099999964237","94","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","1257962","0.0-12.0","1920x1080","","4559","2.78","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","13","1262457","0.0-13.0","1920x1080","","4494.5","25.93","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","14","1266129","0.0-14.0","1920x1080","","3671.5","35.19","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","1269873","0.0-15.0","1920x1080","","3742.699999988079","23.41","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","16","1274169","0.0-16.0","1920x1080","","4295.199999988079","17.46","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","17","1278617","0.0-17.0","1920x1080","","4447.299999952316","80.29","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","1284313","0.0-18.0","1920x1080","","5695","4.50","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","19","1288473","0.0-19.0","1920x1080","","4158.599999964237","15.21","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","1297225","0.0-20.0","1920x1080","","8751.5","-0.13","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","1304177","0.0-21.0","1920x1080","","6951.599999964237","0.00","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","1308350","0.0-22.0","1920x1080","","4175.199999988079","2.25","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","1312534","0.0-23.0","1920x1080","","4182.800000011921","7.94","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","24","1316599","0.0-24.0","1920x1080","","4064.199999988079","11.64","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","1320270","0.0-25.0","1920x1080","","3670.2000000476837","3.97","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","26","1323286","0.0-26.0","1920x1080","","3015.100000023842","0.13","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","27","1326654","0.0-27.0","1920x1080","","3367.300000011921","0.53","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","28","1330614","0.0-28.0","1920x1080","","3959.5","0.13","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","29","1334830","0.0-29.0","1920x1080","","4215.100000023842","1.72","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","30","1339222","0.0-30.0","1920x1080","","4390.700000047684","3.57","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","31","1343286","0.0-31.0","1920x1080","","4063.100000023842","2","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","32","1346974","0.0-32.0","1920x1080","","3687.599999964237","3.57","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","1351654","0.0-33.0","1920x1080","","4679","14.68","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","34","1356830","0.0-34.0","1920x1080","","5175.299999952316","39.15","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","35","1360216","0.0-35.0","1920x1080","","3384.899999976158","4.76","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","36","1363126","0.0-36.0","1920x1080","","2909.2000000476837","35.19","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","37","1367735","0.0-37.0","1920x1080","","4615.299999952316","76.72","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","1375192","0.0-38.0","1920x1080","","7455.800000011921","88.62","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","39","1378640","0.0-39.0","1920x1080","","3446.699999988079","73.15","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","40","1381967","0.0-40.0","1920x1080","","3327","19.58","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","41","1386872","0.0-41.0","1920x1080","","4902.699999988079","83.07","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","42","1389799","0.0-42.0","1920x1080","","2926.699999988079","84.92","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","1392544","0.0-43.0","1920x1080","","2741.699999988079","85.19","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","44","1395072","0.0-44.0","1920x1080","","2526.899999976158","5.16","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","45","1401440","0.0-45.0","1920x1080","","6367.199999988079","62","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","46","1409287","0.0-46.0","1920x1080","","7846.800000011921","21","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","47","1411704","0.0-47.0","1920x1080","","2415.300000011921","43.52","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","48","1419023","0.0-48.0","1920x1080","","7318.899999976158","56","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","49","1422176","0.0-49.0","1920x1080","","3152.199999988079","26.98","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","50","1426788","0.0-50.0","1920x1080","","4605.100000023842","47.35","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","51","1434356","0.0-51.0","1920x1080","","7567","33","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","52","1438965","0.0-52.0","1920x1080","","4608.399999976158","53.70","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","53","1442380","0.0-53.0","1920x1080","","3413.5","39.68","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","54","1445414","0.0-54.0","1920x1080","","3032.399999976158","23.15","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","55","1448220","0.0-55.0","1920x1080","","2805.300000011921","14.55","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","56","1452957","0.0-56.0","1920x1080","","4735.600000023842","68.25","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","57","1464092","0.0-57.0","1920x1080","","11135","52","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","58","1468876","0.0-58.0","1920x1080","","4783","39.81","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","59","1474582","0.0-59.0","1920x1080","","5704.199999988079","87.57","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","60","1482045","0.0-60.0","1920x1080","","7462.099999964237","27.38","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","61","1486882","0.0-61.0","1920x1080","","4838.5","39.55","img/117/5.5/1.5/bw/001.png","","","complex"
