"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","16011","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","34368","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","52807","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","71122","0.0-3.0","1920x1080","12:51 10/10/2022","","","","","",""
"","","","","","survey-html-form","4","83994","0.0-4.0","1920x1080","","12868.899999976158","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","123122","0.0-5.0","1920x1080","","39126.90000003576","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","123122","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","158122","0.0-7.0","1920x1080","","34996.90000003576","64.95","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","163201","0.0-8.0","1920x1080","","5078.399999976158","67.86","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","172185","0.0-9.0","1920x1080","","8983.199999988079","82.28","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","181433","0.0-10.0","1920x1080","","9246.699999988079","25","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","189561","0.0-11.0","1920x1080","","8127.100000023842","29.63","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","12","192297","0.0-12.0","1920x1080","","2735","43.25","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","197353","0.0-13.0","1920x1080","","5055.199999988079","12.57","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","14","208874","0.0-14.0","1920x1080","","11519.600000023842","75","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","215274","0.0-15.0","1920x1080","","6399","14","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","218674","0.0-16.0","1920x1080","","3399.399999976158","32","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","17","222538","0.0-17.0","1920x1080","","3862.800000011921","50.26","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","227353","0.0-18.0","1920x1080","","4815.200000047684","53.04","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","19","236258","0.0-19.0","1920x1080","","8903.399999976158","42.72","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","20","240233","0.0-20.0","1920x1080","","3975.099999964237","98","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","246657","0.0-21.0","1920x1080","","6423.5","82","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","251657","0.0-22.0","1920x1080","","4999.100000023842","3.97","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","23","256578","0.0-23.0","1920x1080","","4919.300000011921","38.36","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","24","259457","0.0-24.0","1920x1080","","2878.800000011921","45.37","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","25","262697","0.0-25.0","1920x1080","","3238.400000035763","55.42","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","26","266345","0.0-26.0","1920x1080","","3647.399999976158","42.20","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","272762","0.0-27.0","1920x1080","","6415.800000011921","28.84","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","28","279321","0.0-28.0","1920x1080","","6558.600000023842","12.96","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","29","285185","0.0-29.0","1920x1080","","5863.199999988079","44.58","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","30","292594","0.0-30.0","1920x1080","","7408.5","44.18","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","31","298594","0.0-31.0","1920x1080","","5998.5","76.19","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","32","305089","0.0-32.0","1920x1080","","6493.899999976158","54.89","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","33","309843","0.0-33.0","1920x1080","","4758.900000035763","72.49","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","34","313605","0.0-34.0","1920x1080","","3760.899999976158","60.58","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","35","317411","0.0-35.0","1920x1080","","3805.5","3.17","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","36","321572","0.0-36.0","1920x1080","","4159.700000047684","55.29","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","37","325205","0.0-37.0","1920x1080","","3632.399999976158","98","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","38","327523","0.0-38.0","1920x1080","","2317.2999999523163","100","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","39","329932","0.0-39.0","1920x1080","","2407.5","66.80","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","40","333964","0.0-40.0","1920x1080","","4031.199999988079","95","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","41","337691","0.0-41.0","1920x1080","","3726.699999988079","68.12","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","42","341611","0.0-42.0","1920x1080","","3919.100000023842","78.44","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","343940","0.0-43.0","1920x1080","","2327","72.09","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","44","346611","0.0-44.0","1920x1080","","2670.599999964237","23.15","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","45","349540","0.0-45.0","1920x1080","","2927.300000011921","47.49","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","46","352268","0.0-46.0","1920x1080","","2727.2999999523163","99","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","47","361532","0.0-47.0","1920x1080","","9263.099999964237","7","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","48","364276","0.0-48.0","1920x1080","","2742.399999976158","84.13","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","49","368802","0.0-49.0","1920x1080","","4529","33.60","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","50","371128","0.0-50.0","1920x1080","","2324.800000011921","57.80","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","51","379986","0.0-51.0","1920x1080","","8857.199999988079","26.85","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","52","385192","0.0-52.0","1920x1080","","5204","74.74","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","53","389802","0.0-53.0","1920x1080","","4609.599999964237","65.74","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","54","394624","0.0-54.0","1920x1080","","4820.899999976158","69.05","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","55","397976","0.0-55.0","1920x1080","","3351.199999988079","26.06","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","56","402104","0.0-56.0","1920x1080","","4127.100000023842","54.10","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","57","405120","0.0-57.0","1920x1080","","3015.100000023842","67","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","58","414192","0.0-58.0","1920x1080","","9071.199999988079","46.03","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","59","421419","0.0-59.0","1920x1080","","7225.899999976158","57.80","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","60","424040","0.0-60.0","1920x1080","","2620.199999988079","44.84","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","61","430169","0.0-61.0","1920x1080","","6119.400000035763","30.16","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","62","436313","0.0-62.0","1920x1080","","6142.599999964237","89.81","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","63","445921","0.0-63.0","1920x1080","","9607","28","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","64","452945","0.0-64.0","1920x1080","","7023.199999988079","67","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","65","458778","0.0-65.0","1920x1080","","5832.400000035763","75.66","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","66","463844","0.0-66.0","1920x1080","","5064.400000035763","80.95","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","67","468969","0.0-67.0","1920x1080","","5123.600000023842","16.14","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","68","473378","0.0-68.0","1920x1080","","4407.700000047684","7.28","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","69","477673","0.0-69.0","1920x1080","","4294","50","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","70","483244","0.0-70.0","1920x1080","","5570.199999988079","5.16","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","71","485473","0.0-71.0","1920x1080","","2227.600000023842","61.64","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","72","488928","0.0-72.0","1920x1080","","3454.400000035763","85.45","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","73","491832","0.0-73.0","1920x1080","","2902.5","59.26","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","74","496768","0.0-74.0","1920x1080","","4935.300000011921","9.92","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","75","500344","0.0-75.0","1920x1080","","3574.099999964237","75","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","76","502888","0.0-76.0","1920x1080","","2543.599999964237","60","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","77","512648","0.0-77.0","1920x1080","","9758.700000047684","45","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","78","518016","0.0-78.0","1920x1080","","5367","67","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","79","525609","0.0-79.0","1920x1080","","7592","44","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","80","530743","0.0-80.0","1920x1080","","5134","94","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","81","537128","0.0-81.0","1920x1080","","6383.399999976158","39","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","html-button-response","82","562572","0.0-82.0","1920x1080","","25439.69999998808","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">RELAXING</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Relaxing<br></div><div class=""intro"">1 = Most Relaxing<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","562575","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","568980","0.0-84.0","1920x1080","","6405","41.01","img/117/4.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","85","571763","0.0-85.0","1920x1080","","2781.5","27.78","img/314/4/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","86","577463","0.0-86.0","1920x1080","","5698.199999988079","3","img/117/2.5/1/bw/001.png","","","relaxing"
"","","","","","animation","87","587251","0.0-87.0","1920x1080","","9787.800000011921","3","img/117/2.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","88","595036","0.0-88.0","1920x1080","","7783.099999964237","0","img/117/3.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","89","598263","0.0-89.0","1920x1080","","3226.599999964237","75.79","img/238/4.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","90","602892","0.0-90.0","1920x1080","","4627.5","40.21","img/314/4/1.5/bw/001.png","","","relaxing"
"","","","","","animation","91","605540","0.0-91.0","1920x1080","","2646.900000035763","32.28","img/117/3.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","92","610444","0.0-92.0","1920x1080","","4922.100000023842","55.95","img/314/4/2/bw/001.png","","","relaxing"
"","","","","","animation","93","613312","0.0-93.0","1920x1080","","2866.7999999523163","43.52","img/238/4/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","94","617264","0.0-94.0","1920x1080","","3950.899999976158","32.54","img/238/3.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","95","622553","0.0-95.0","1920x1080","","5287.300000011921","71","img/117/4.5/2/bw/001.png","","","relaxing"
"","","","","","animation","96","628912","0.0-96.0","1920x1080","","6358.699999988079","41","img/238/3.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","97","635112","0.0-97.0","1920x1080","","6199.199999988079","92","img/117/5.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","98","637569","0.0-98.0","1920x1080","","2455.199999988079","83.99","img/314/5.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","99","639889","0.0-99.0","1920x1080","","2319.2999999523163","29.76","img/314/3.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","100","645337","0.0-100.0","1920x1080","","5446.899999976158","59.66","img/314/4.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","101","648369","0.0-101.0","1920x1080","","3030.699999988079","-4.89","img/314/2.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","102","654153","0.0-102.0","1920x1080","","5783.199999988079","95","img/117/5.5/1/bw/001.png","","","relaxing"
"","","","","","animation","103","657048","0.0-103.0","1920x1080","","2894.399999976158","2.12","img/117/2.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","104","660644","0.0-104.0","1920x1080","","3594.600000023842","84.26","img/117/5.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","105","665753","0.0-105.0","1920x1080","","5107.399999976158","46","img/314/4.5/2/bw/001.png","","","relaxing"
"","","","","","animation","106","668559","0.0-106.0","1920x1080","","2830.900000035763","58.86","img/238/4.5/2/bw/001.png","","","relaxing"
"","","","","","animation","107","671703","0.0-107.0","1920x1080","","3142.600000023842","2.25","img/314/2.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","108","679143","0.0-108.0","1920x1080","","7439.600000023842","99","img/238/5.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","109","683071","0.0-109.0","1920x1080","","3926.699999988079","29.37","img/117/3.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","110","690759","0.0-110.0","1920x1080","","7686.900000035763","93","img/238/5.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","111","693112","0.0-111.0","1920x1080","","2350.399999976158","0.13","img/314/2.5/1/bw/001.png","","","relaxing"
"","","","","","animation","112","699495","0.0-112.0","1920x1080","","6382.600000023842","49","img/314/4.5/1/bw/001.png","","","relaxing"
"","","","","","animation","113","703159","0.0-113.0","1920x1080","","3663.199999988079","38.49","img/117/4/1/bw/001.png","","","relaxing"
"","","","","","animation","114","705696","0.0-114.0","1920x1080","","2535.199999988079","45.24","img/117/4.5/1/bw/001.png","","","relaxing"
"","","","","","animation","115","709527","0.0-115.0","1920x1080","","3830.300000011921","71.03","img/238/5.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","116","712584","0.0-116.0","1920x1080","","3055.600000023842","20.90","img/238/3.5/1/bw/001.png","","","relaxing"
"","","","","","animation","117","715407","0.0-117.0","1920x1080","","2822.399999976158","32.80","img/314/3.5/2/bw/001.png","","","relaxing"
"","","","","","animation","118","721095","0.0-118.0","1920x1080","","5687.100000023842","58","img/238/4.5/1/bw/001.png","","","relaxing"
"","","","","","animation","119","726493","0.0-119.0","1920x1080","","5422.799999952316","39.15","img/314/4.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","120","730381","0.0-120.0","1920x1080","","3887.199999988079","60.45","img/117/4/2/bw/001.png","","","relaxing"
"","","","","","animation","121","733245","0.0-121.0","1920x1080","","2862.5","57.01","img/238/4/2/bw/001.png","","","relaxing"
"","","","","","animation","122","738493","0.0-122.0","1920x1080","","5247.199999988079","49","img/314/4.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","123","751917","0.0-123.0","1920x1080","","13423.199999988079","100","img/117/5.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","124","755009","0.0-124.0","1920x1080","","3090.2000000476837","41.67","img/238/4/1/bw/001.png","","","relaxing"
"","","","","","animation","125","758917","0.0-125.0","1920x1080","","3907.600000023842","20.77","img/238/3.5/2/bw/001.png","","","relaxing"
"","","","","","animation","126","763933","0.0-126.0","1920x1080","","5015.100000023842","19","img/117/4.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","127","767229","0.0-127.0","1920x1080","","3294.899999976158","17.86","img/238/4/0.5/bw/001.png","","","relaxing"
"","","","","","animation","128","775793","0.0-128.0","1920x1080","","8563.099999964237","98","img/314/5.5/2/bw/001.png","","","relaxing"
"","","","","","animation","129","780413","0.0-129.0","1920x1080","","4617.699999988079","43.12","img/238/4.5/0.5/bw/001.png","","","relaxing"
