"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5906","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","11951","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17839","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","84392581","0.0-3.0","1920x1080","12:33 10/10/2022","","","","","",""
"","","","","","survey-html-form","4","84403079","0.0-4.0","1920x1080","","10495.800000011921","{""age"":""21"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","84512168","0.0-5.0","1920x1080","","109086.59999996424","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","84512169","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","84520537","0.0-7.0","1920x1080","","8364.800000011921","17.20","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","84524952","0.0-8.0","1920x1080","","4413.900000035763","24.34","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","84531184","0.0-9.0","1920x1080","","6231","16.27","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","84534855","0.0-10.0","1920x1080","","3670.800000011921","25.40","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","84539864","0.0-11.0","1920x1080","","5007.599999964237","25.26","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","12","84544320","0.0-12.0","1920x1080","","4455.199999988079","23.94","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","13","84548407","0.0-13.0","1920x1080","","4086.7999999523163","24.21","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","14","84553096","0.0-14.0","1920x1080","","4687.5","29.63","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","84556527","0.0-15.0","1920x1080","","3430.699999988079","24.60","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","84560175","0.0-16.0","1920x1080","","3647.300000011921","30.69","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","84565568","0.0-17.0","1920x1080","","5391.200000047684","21.69","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","84572824","0.0-18.0","1920x1080","","7254.899999976158","24.87","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","19","84593753","0.0-19.0","1920x1080","","20927.5","23.68","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","20","84603024","0.0-20.0","1920x1080","","9269.599999964237","20.11","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","21","84646040","0.0-21.0","1920x1080","","43015.10000002384","23","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","22","84652632","0.0-22.0","1920x1080","","6591.600000023842","51.19","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","84662344","0.0-23.0","1920x1080","","9710.699999988079","52.38","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","24","84674392","0.0-24.0","1920x1080","","12046.899999976158","24.74","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","84684384","0.0-25.0","1920x1080","","9991.600000023842","28.44","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","26","84696522","0.0-26.0","1920x1080","","12135.400000035763","51.06","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","84716433","0.0-27.0","1920x1080","","19910.5","27.78","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","28","84724401","0.0-28.0","1920x1080","","7967.100000023842","17.59","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","29","84733722","0.0-29.0","1920x1080","","9319.800000011921","73.02","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","30","84748273","0.0-30.0","1920x1080","","14550.100000023842","36.51","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","31","84760114","0.0-31.0","1920x1080","","11839.199999988079","24.87","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","32","84764794","0.0-32.0","1920x1080","","4679.099999964237","24.21","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","33","84780466","0.0-33.0","1920x1080","","15671.099999964237","44.97","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","34","84794274","0.0-34.0","1920x1080","","13807.5","56.61","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","35","84800273","0.0-35.0","1920x1080","","5998.600000023842","61.11","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","36","84807089","0.0-36.0","1920x1080","","6815.400000035763","40","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","37","84813202","0.0-37.0","1920x1080","","6111.699999988079","38","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","38","84816514","0.0-38.0","1920x1080","","3310.100000023842","37.83","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","39","84819546","0.0-39.0","1920x1080","","3031.5","24.87","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","40","84826450","0.0-40.0","1920x1080","","6903.200000047684","54.10","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","41","84836202","0.0-41.0","1920x1080","","9751.199999988079","53.84","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","42","84845562","0.0-42.0","1920x1080","","9359.100000023842","61.24","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","43","84852986","0.0-43.0","1920x1080","","7423.5","42.20","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","84861866","0.0-44.0","1920x1080","","8878.600000023842","16.40","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","45","84870810","0.0-45.0","1920x1080","","8943.300000011921","61.38","img/238/4/1/bw/001.png","","","complex"
