"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","17710","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","36222","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","54749","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","651450","0.0-3.0","1920x1080","11:53 11/10/2022","","","","","",""
"","","","","","survey-html-form","4","660141","0.0-4.0","1920x1080","","8688","{""age"":""20"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","799534","0.0-5.0","1920x1080","","139390.80000007153","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","799535","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","813510","0.0-7.0","1920x1080","","13972.600000023842","13.49","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","825229","0.0-8.0","1920x1080","","11717.899999976158","5.29","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","9","832246","0.0-9.0","1920x1080","","7015.899999976158","96","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","10","851846","0.0-10.0","1920x1080","","19598.799999952316","35.45","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","11","861654","0.0-11.0","1920x1080","","9807.600000023842","64.55","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","869766","0.0-12.0","1920x1080","","8110.5","35.58","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","879189","0.0-13.0","1920x1080","","9422.899999976158","99","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","14","894471","0.0-14.0","1920x1080","","15280.199999928474","19","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","903230","0.0-15.0","1920x1080","","8758.300000071526","9.26","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","914293","0.0-16.0","1920x1080","","11061.900000095367","91.67","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","925860","0.0-17.0","1920x1080","","11567.5","42","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","18","932100","0.0-18.0","1920x1080","","6239","62.43","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","951987","0.0-19.0","1920x1080","","19886.5","71","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","20","962635","0.0-20.0","1920x1080","","10647.200000047684","39.68","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","974700","0.0-21.0","1920x1080","","12063.300000071526","44.18","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","22","1005810","0.0-22.0","1920x1080","","31110.799999952316","17.33","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","1033762","0.0-23.0","1920x1080","","27951.400000095367","40","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","1042998","0.0-24.0","1920x1080","","9238.300000071526","39.02","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","25","1054430","0.0-25.0","1920x1080","","11431.400000095367","64.68","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","1092158","0.0-26.0","1920x1080","","37727.700000047684","21","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","27","1115886","0.0-27.0","1920x1080","","23719.699999928474","36.64","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","28","1132189","0.0-28.0","1920x1080","","16301.600000023842","72","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","29","1168639","0.0-29.0","1920x1080","","36455.90000009537","54.89","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","30","1174863","0.0-30.0","1920x1080","","6222.599999904633","9.66","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","31","1201335","0.0-31.0","1920x1080","","26470.700000047684","63","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","32","1206823","0.0-32.0","1920x1080","","5487.300000071526","39.81","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","33","1211167","0.0-33.0","1920x1080","","4343","55.82","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","34","1220629","0.0-34.0","1920x1080","","9455.300000071526","14.68","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","35","1225325","0.0-35.0","1920x1080","","4695.200000047684","77.25","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","36","1235981","0.0-36.0","1920x1080","","10654.899999976158","50","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","37","1253589","0.0-37.0","1920x1080","","17606.300000071526","43.52","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","38","1265453","0.0-38.0","1920x1080","","11863.100000023842","99","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","39","1271741","0.0-39.0","1920x1080","","6287.100000023842","96","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","40","1287016","0.0-40.0","1920x1080","","15278.899999976158","2","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","41","1295241","0.0-41.0","1920x1080","","8223.599999904633","8.33","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","42","1303841","0.0-42.0","1920x1080","","8598.800000071526","5.95","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","43","1307241","0.0-43.0","1920x1080","","3399.2000000476837","32.67","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","44","1311968","0.0-44.0","1920x1080","","4726.699999928474","20.63","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","45","1329225","0.0-45.0","1920x1080","","17254.5","12.96","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","46","1352936","0.0-46.0","1920x1080","","23704.799999952316","48","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","47","1357736","0.0-47.0","1920x1080","","4799.100000023842","35.58","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","48","1362053","0.0-48.0","1920x1080","","4316.399999976158","61.24","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","49","1366774","0.0-49.0","1920x1080","","4719.199999928474","80.56","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","50","1377336","0.0-50.0","1920x1080","","10561.100000023842","19.31","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","51","1383158","0.0-51.0","1920x1080","","5820.199999928474","26.72","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","52","1394110","0.0-52.0","1920x1080","","10950.899999976158","79.89","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","53","1404334","0.0-53.0","1920x1080","","10225.200000047684","65.08","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","54","1408172","0.0-54.0","1920x1080","","3837","44.31","img/314/4.5/1/bw/001.png","","","complex"
