"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","17258","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","35378","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","53482","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","87546","0.0-3.0","1920x1080","12:57 11/10/2022","","","","","",""
"","","","","","survey-html-form","4","98770","0.0-4.0","1920x1080","","11221.799999952316","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","138546","0.0-5.0","1920x1080","","39775.10000002384","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","138547","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","148138","0.0-7.0","1920x1080","","9588.399999976158","82.54","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","8","154514","0.0-8.0","1920x1080","","6374.699999928474","39.55","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","161170","0.0-9.0","1920x1080","","6654.5","60.85","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","164866","0.0-10.0","1920x1080","","3695.899999976158","85.32","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","11","169362","0.0-11.0","1920x1080","","4494.699999928474","69.97","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","12","177562","0.0-12.0","1920x1080","","8199","53.70","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","13","181930","0.0-13.0","1920x1080","","4366.699999928474","12.43","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","14","188730","0.0-14.0","1920x1080","","6799.899999976158","88","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","15","193114","0.0-15.0","1920x1080","","4383.200000047684","91.14","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","16","197882","0.0-16.0","1920x1080","","4767","93.25","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","17","203186","0.0-17.0","1920x1080","","5302.5","39.95","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","208331","0.0-18.0","1920x1080","","5143.700000047684","56.35","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","19","212986","0.0-19.0","1920x1080","","4654.799999952316","43.12","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","20","219370","0.0-20.0","1920x1080","","6382.899999976158","89.42","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","224578","0.0-21.0","1920x1080","","5207.600000023842","30.82","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","22","229778","0.0-22.0","1920x1080","","5199.299999952316","51.59","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","233586","0.0-23.0","1920x1080","","3806.8000000715256","44.44","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","24","241146","0.0-24.0","1920x1080","","7559.399999976158","34","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","25","246714","0.0-25.0","1920x1080","","5567.199999928474","66.27","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","26","253122","0.0-26.0","1920x1080","","6406.700000047684","68","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","27","256452","0.0-27.0","1920x1080","","3328.8000000715256","87.96","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","262938","0.0-28.0","1920x1080","","6485.700000047684","24.87","img/238/4/0.66667/bw/001.png","","","complex"
