"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","31783","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","64270","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","92006","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","97228","0.0-3.0","1920x1080","12:52 11/10/2022","","","","","",""
"","","","","","survey-html-form","4","106438","0.0-4.0","1920x1080","","9207.700000047684","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","156775","0.0-5.0","1920x1080","","50334.799999952316","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","156775","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","167695","0.0-7.0","1920x1080","","10916.699999988079","-1.72","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","8","175438","0.0-8.0","1920x1080","","7742.5","29.76","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","179062","0.0-9.0","1920x1080","","3623.699999988079","2.65","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","10","183870","0.0-10.0","1920x1080","","4807","0.00","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","194006","0.0-11.0","1920x1080","","10135.100000023842","72.49","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","12","222167","0.0-12.0","1920x1080","","28160","46.96","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","229141","0.0-13.0","1920x1080","","6974.100000023842","44.58","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","236037","0.0-14.0","1920x1080","","6895.300000011921","14.81","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","15","239518","0.0-15.0","1920x1080","","3479.399999976158","16.14","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","258462","0.0-16.0","1920x1080","","18943.100000023842","24.47","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","268342","0.0-17.0","1920x1080","","9879.300000011921","16","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","289798","0.0-18.0","1920x1080","","21454.69999998808","21","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","299310","0.0-19.0","1920x1080","","9511.200000047684","44.31","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","20","306622","0.0-20.0","1920x1080","","7311.599999964237","16.93","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","319638","0.0-21.0","1920x1080","","13015.199999988079","33","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","324222","0.0-22.0","1920x1080","","4583","53","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","23","327534","0.0-23.0","1920x1080","","3311","2","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","332446","0.0-24.0","1920x1080","","4911.900000035763","39.29","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","25","339999","0.0-25.0","1920x1080","","7551","60","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","26","343319","0.0-26.0","1920x1080","","3318.899999976158","1","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","356247","0.0-27.0","1920x1080","","12927.399999976158","57.14","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","28","359263","0.0-28.0","1920x1080","","3015.199999988079","45.50","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","29","363639","0.0-29.0","1920x1080","","4374.600000023842","0.53","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","30","369399","0.0-30.0","1920x1080","","5759.5","37.30","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","31","377583","0.0-31.0","1920x1080","","8183.100000023842","83.47","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","32","383439","0.0-32.0","1920x1080","","5854.699999988079","78.57","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","33","389407","0.0-33.0","1920x1080","","5967.300000011921","8.47","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","34","392679","0.0-34.0","1920x1080","","3271.2999999523163","1.19","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","35","396454","0.0-35.0","1920x1080","","3774.900000035763","0","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","36","410606","0.0-36.0","1920x1080","","14151.399999976158","33.47","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","37","423526","0.0-37.0","1920x1080","","12918.899999976158","65","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","38","426790","0.0-38.0","1920x1080","","3263","8","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","39","430919","0.0-39.0","1920x1080","","4127.699999988079","37.30","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","40","434622","0.0-40.0","1920x1080","","3703","45.77","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","41","438414","0.0-41.0","1920x1080","","3791.400000035763","3.44","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","42","442199","0.0-42.0","1920x1080","","3783.100000023842","15.21","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","43","446278","0.0-43.0","1920x1080","","4079.099999964237","4.63","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","455463","0.0-44.0","1920x1080","","9183.099999964237","26.06","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","45","462831","0.0-45.0","1920x1080","","7366.800000011921","44.71","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","46","466559","0.0-46.0","1920x1080","","3727.399999976158","22.49","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","47","470839","0.0-47.0","1920x1080","","4278.599999964237","21.03","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","48","473769","0.0-48.0","1920x1080","","2929.5","23.02","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","49","477727","0.0-49.0","1920x1080","","3956.600000023842","86","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","50","481807","0.0-50.0","1920x1080","","4079","65","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","51","488823","0.0-51.0","1920x1080","","7015.199999988079","39.68","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","52","504095","0.0-52.0","1920x1080","","15271.099999964237","68.52","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","53","511943","0.0-53.0","1920x1080","","7846.799999952316","55.82","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","54","523207","0.0-54.0","1920x1080","","11262.699999988079","82.80","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","55","532639","0.0-55.0","1920x1080","","9431.200000047684","3.17","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","56","550791","0.0-56.0","1920x1080","","18150.899999976158","50.40","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","57","567185","0.0-57.0","1920x1080","","16393.600000023842","75","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","58","570487","0.0-58.0","1920x1080","","3300.2999999523163","3.57","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","59","579975","0.0-59.0","1920x1080","","9486.899999976158","82.67","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","60","590847","0.0-60.0","1920x1080","","10869.800000011921","50","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","61","607720","0.0-61.0","1920x1080","","16870.80000001192","25.40","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","62","613775","0.0-62.0","1920x1080","","6054.300000011921","12","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","63","619191","0.0-63.0","1920x1080","","5414.800000011921","35.98","img/314/4/1/bw/001.png","","","complex"
