"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5773","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","11816","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17650","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","1666402","0.0-3.0","1920x1080","13:28 11/10/2022","","","","","",""
"","","","","","survey-html-form","4","1677942","0.0-4.0","1920x1080","","11536.699999928474","{""age"":""18"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","1703838","0.0-5.0","1920x1080","","25894.600000023842","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","1703838","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","1723894","0.0-7.0","1920x1080","","20052.800000071526","40.21","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","1729982","0.0-8.0","1920x1080","","6086.600000023842","19.58","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","9","1736207","0.0-9.0","1920x1080","","6223.5","19.84","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","10","1743390","0.0-10.0","1920x1080","","7182.700000047684","75.13","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","1766478","0.0-11.0","1920x1080","","23086.600000023842","59.79","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","1774510","0.0-12.0","1920x1080","","8031.100000023842","78.70","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","1843094","0.0-13.0","1920x1080","","68583","26.98","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","14","1850167","0.0-14.0","1920x1080","","7071.399999976158","54.76","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","15","1853110","0.0-15.0","1920x1080","","2942.8000000715256","32.01","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","1859247","0.0-16.0","1920x1080","","6135.399999976158","43.78","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","17","1862447","0.0-17.0","1920x1080","","3199.0999999046326","74.21","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","1866214","0.0-18.0","1920x1080","","3767.100000023842","32.28","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","1869240","0.0-19.0","1920x1080","","3024.8000000715256","46.83","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","20","1872271","0.0-20.0","1920x1080","","3030","23.54","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","1878126","0.0-21.0","1920x1080","","5855.200000047684","57.28","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","1943343","0.0-22.0","1920x1080","","65223.699999928474","64.42","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","2025460","0.0-23.0","1920x1080","","82110.70000004768","70.50","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","24","2050980","0.0-24.0","1920x1080","","25519.100000023842","29","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","2055516","0.0-25.0","1920x1080","","4535.5","78.44","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","26","2057748","0.0-26.0","1920x1080","","2231","28.17","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","2061108","0.0-27.0","1920x1080","","3359.2000000476837","44.58","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","28","2063020","0.0-28.0","1920x1080","","1911.8000000715256","22.49","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","29","2065228","0.0-29.0","1920x1080","","2207","44.58","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","30","2067820","0.0-30.0","1920x1080","","2591.399999976158","60.98","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","31","2070572","0.0-31.0","1920x1080","","2750.5","56.88","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","32","2075588","0.0-32.0","1920x1080","","5015.5","66","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","33","2079180","0.0-33.0","1920x1080","","3591.600000023842","34.79","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","34","2082156","0.0-34.0","1920x1080","","2974.899999976158","72.88","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","35","2084303","0.0-35.0","1920x1080","","2151.2000000476837","53.04","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","36","2087103","0.0-36.0","1920x1080","","2799.2000000476837","64.81","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","37","2090303","0.0-37.0","1920x1080","","3199.3000000715256","60.19","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","38","2093471","0.0-38.0","1920x1080","","3167.3000000715256","14.02","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","39","2096600","0.0-39.0","1920x1080","","3126.7000000476837","22.88","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","40","2099496","0.0-40.0","1920x1080","","2894.899999976158","37.57","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","41","2101823","0.0-41.0","1920x1080","","2326.9000000953674","52.91","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","42","2104752","0.0-42.0","1920x1080","","2927.600000023842","25.53","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","43","2110519","0.0-43.0","1920x1080","","5766.600000023842","17.20","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","44","2114728","0.0-44.0","1920x1080","","4207.299999952316","89.15","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","45","2117256","0.0-45.0","1920x1080","","2527.2000000476837","83.20","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","46","2119671","0.0-46.0","1920x1080","","2414.7000000476837","23.28","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","47","2124735","0.0-47.0","1920x1080","","5063.100000023842","25.26","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","48","2127480","0.0-48.0","1920x1080","","2743.600000023842","41.01","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","49","2131616","0.0-49.0","1920x1080","","4135.899999976158","31.08","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","50","2134033","0.0-50.0","1920x1080","","2415.100000023842","20.50","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","51","2136672","0.0-51.0","1920x1080","","2638","19.44","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","52","2140288","0.0-52.0","1920x1080","","3615.2999999523163","22.09","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","53","2142682","0.0-53.0","1920x1080","","2393.0999999046326","37.70","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","54","2146743","0.0-54.0","1920x1080","","4061.399999976158","40","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","55","2149455","0.0-55.0","1920x1080","","2710.7000000476837","73.28","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","56","2151655","0.0-56.0","1920x1080","","2199.0999999046326","31.61","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","57","2154682","0.0-57.0","1920x1080","","3025.899999976158","35.98","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","58","2158959","0.0-58.0","1920x1080","","4276.5","34.79","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","59","2165666","0.0-59.0","1920x1080","","6705.800000071526","25.79","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","60","2201807","0.0-60.0","1920x1080","","36140.299999952316","30.03","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","61","2205164","0.0-61.0","1920x1080","","3351","19.18","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","62","2208470","0.0-62.0","1920x1080","","3305.3000000715256","77.91","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","63","2211228","0.0-63.0","1920x1080","","2757","68.92","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","64","2213403","0.0-64.0","1920x1080","","2174.5","28.70","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","65","2215612","0.0-65.0","1920x1080","","2207.5","60.05","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","66","2219500","0.0-66.0","1920x1080","","3887.600000023842","65.61","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","67","2222076","0.0-67.0","1920x1080","","2575","33.07","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","68","2224660","0.0-68.0","1920x1080","","2583.100000023842","72.88","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","69","2226748","0.0-69.0","1920x1080","","2087.2999999523163","69.44","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","70","2228628","0.0-70.0","1920x1080","","1879","80","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","71","2230908","0.0-71.0","1920x1080","","2278.7000000476837","39.95","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","72","2234123","0.0-72.0","1920x1080","","3215","73.81","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","73","2236716","0.0-73.0","1920x1080","","2591.600000023842","45.63","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","74","2238796","0.0-74.0","1920x1080","","2078.7999999523163","19.05","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","75","2240932","0.0-75.0","1920x1080","","2135","27.38","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","76","2243054","0.0-76.0","1920x1080","","2121.2000000476837","31.35","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","77","2244916","0.0-77.0","1920x1080","","1861","40.08","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","78","2249332","0.0-78.0","1920x1080","","4415.200000047684","63.62","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","79","2252789","0.0-79.0","1920x1080","","3455.7999999523163","28.44","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","80","2310955","0.0-80.0","1920x1080","","58165.700000047684","35.45","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","81","2313395","0.0-81.0","1920x1080","","2439.1999999284744","62.57","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","html-button-response","82","2331928","0.0-82.0","1920x1080","","18527.399999976158","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">RELAXING</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Relaxing<br></div><div class=""intro"">1 = Most Relaxing<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","2331928","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","2338783","0.0-84.0","1920x1080","","6854.399999976158","72.62","img/314/5.5/2/bw/001.png","","","relaxing"
"","","","","","animation","85","2344767","0.0-85.0","1920x1080","","5982.799999952316","52.78","img/238/4.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","86","2348473","0.0-86.0","1920x1080","","3704.2000000476837","39.68","img/314/5.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","87","2351663","0.0-87.0","1920x1080","","3189","28.44","img/314/3.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","88","2354074","0.0-88.0","1920x1080","","2409.2999999523163","48.28","img/117/4.5/2/bw/001.png","","","relaxing"
"","","","","","animation","89","2357024","0.0-89.0","1920x1080","","2949","59.79","img/117/5.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","90","2360535","0.0-90.0","1920x1080","","3510.3000000715256","10.05","img/117/2.5/1/bw/001.png","","","relaxing"
"","","","","","animation","91","2365241","0.0-91.0","1920x1080","","4705","25.79","img/117/3.5/1/bw/001.png","","","relaxing"
"","","","","","animation","92","2367575","0.0-92.0","1920x1080","","2332.899999976158","24.47","img/238/3.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","93","2370856","0.0-93.0","1920x1080","","3280.2000000476837","30.82","img/238/3.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","94","2373207","0.0-94.0","1920x1080","","2349.899999976158","47.62","img/117/3.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","95","2376135","0.0-95.0","1920x1080","","2927.600000023842","44.58","img/314/4.5/1/bw/001.png","","","relaxing"
"","","","","","animation","96","2378135","0.0-96.0","1920x1080","","1999.2000000476837","30.69","img/117/4/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","97","2380127","0.0-97.0","1920x1080","","1990.7999999523163","24.07","img/314/4/0.5/bw/001.png","","","relaxing"
"","","","","","animation","98","2385851","0.0-98.0","1920x1080","","5727.699999928474","44","img/117/2.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","99","2390570","0.0-99.0","1920x1080","","4718.399999976158","46","img/238/4.5/1/bw/001.png","","","relaxing"
"","","","","","animation","100","2393690","0.0-100.0","1920x1080","","3119.2999999523163","51.06","img/314/2.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","101","2395938","0.0-101.0","1920x1080","","2246.7000000476837","34.39","img/314/4/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","102","2400402","0.0-102.0","1920x1080","","4463","16","img/314/2.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","103","2402826","0.0-103.0","1920x1080","","2423.6999999284744","36.38","img/314/4/1.5/bw/001.png","","","relaxing"
"","","","","","animation","104","2407226","0.0-104.0","1920x1080","","4398.899999976158","71.43","img/238/5.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","105","2409735","0.0-105.0","1920x1080","","2507.7999999523163","43.65","img/314/4/1/bw/001.png","","","relaxing"
"","","","","","animation","106","2414378","0.0-106.0","1920x1080","","4642.5","54.37","img/238/3.5/2/bw/001.png","","","relaxing"
"","","","","","animation","107","2418468","0.0-107.0","1920x1080","","4088.7000000476837","20","img/314/2.5/1/bw/001.png","","","relaxing"
"","","","","","animation","108","2422347","0.0-108.0","1920x1080","","3877.5","71.43","img/238/5.5/2/bw/001.png","","","relaxing"
"","","","","","animation","109","2425186","0.0-109.0","1920x1080","","2838.600000023842","31.61","img/314/2.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","110","2433068","0.0-110.0","1920x1080","","7880.200000047684","57","img/117/5.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","111","2435252","0.0-111.0","1920x1080","","2183.899999976158","40.87","img/117/4/1.5/bw/001.png","","","relaxing"
"","","","","","animation","112","2437452","0.0-112.0","1920x1080","","2198.5","25.79","img/117/3.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","113","2466132","0.0-113.0","1920x1080","","28681.799999952316","21.83","img/238/2.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","114","2469515","0.0-114.0","1920x1080","","3382","70.24","img/238/5.5/1/bw/001.png","","","relaxing"
"","","","","","animation","115","2472532","0.0-115.0","1920x1080","","3016","29.76","img/117/4.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","116","2474351","0.0-116.0","1920x1080","","1818.2999999523163","70.11","img/314/5.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","117","2477944","0.0-117.0","1920x1080","","3591.399999976158","51.72","img/314/2.5/2/bw/001.png","","","relaxing"
"","","","","","animation","118","2480176","0.0-118.0","1920x1080","","2231","28.70","img/314/3.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","119","2481944","0.0-119.0","1920x1080","","1767.2999999523163","25.00","img/117/2.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","120","2483592","0.0-120.0","1920x1080","","1647.1000000238419","22.88","img/238/4/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","121","2485704","0.0-121.0","1920x1080","","2110.9000000953674","21.96","img/117/4/0.5/bw/001.png","","","relaxing"
"","","","","","animation","122","2487231","0.0-122.0","1920x1080","","1526.8000000715256","29.10","img/238/4/0.5/bw/001.png","","","relaxing"
"","","","","","animation","123","2489632","0.0-123.0","1920x1080","","2399.899999976158","51.85","img/117/4/2/bw/001.png","","","relaxing"
"","","","","","animation","124","2491767","0.0-124.0","1920x1080","","2134.3000000715256","71.03","img/117/5.5/1/bw/001.png","","","relaxing"
"","","","","","animation","125","2494040","0.0-125.0","1920x1080","","2271.5","77.12","img/314/5.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","126","2496232","0.0-126.0","1920x1080","","2190.8000000715256","55.95","img/117/2.5/2/bw/001.png","","","relaxing"
"","","","","","animation","127","2498576","0.0-127.0","1920x1080","","2343.399999976158","79.76","img/117/5.5/2/bw/001.png","","","relaxing"
