"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","28466","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","78528","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","109978","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","380727","0.0-3.0","1920x1080","10:6 12/10/2022","","","","","",""
"","","","","","survey-html-form","4","385032","0.0-4.0","1920x1080","","4301.399999976158","{""age"":""18"",""gender"":""Male""}","","","",""
"","","","","","html-button-response","5","444560","0.0-5.0","1920x1080","","59527.30000001192","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","444560","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","530927","0.0-7.0","1920x1080","","86364.39999997616","35","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","8","553551","0.0-8.0","1920x1080","","22621.399999976158","20","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","562348","0.0-9.0","1920x1080","","8799","10.05","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","10","577885","0.0-10.0","1920x1080","","15535.300000011921","8.07","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","11","598612","0.0-11.0","1920x1080","","20726.80000001192","48.41","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","12","635467","0.0-12.0","1920x1080","","36854.80000001192","38.89","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","13","655403","0.0-13.0","1920x1080","","19935.400000035763","22.22","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","14","661659","0.0-14.0","1920x1080","","6255.699999988079","18.25","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","672851","0.0-15.0","1920x1080","","11190.600000023842","10.71","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","687727","0.0-16.0","1920x1080","","14871","27.91","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","17","709967","0.0-17.0","1920x1080","","22238.599999964237","5","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","18","728911","0.0-18.0","1920x1080","","18943.30000001192","60","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","756312","0.0-19.0","1920x1080","","27399","28.97","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","20","764615","0.0-20.0","1920x1080","","8302.699999988079","7.01","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","793864","0.0-21.0","1920x1080","","29248.5","28.44","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","22","799968","0.0-22.0","1920x1080","","6101.899999976158","26.32","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","837768","0.0-23.0","1920x1080","","37799.30000001192","69.97","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","24","863132","0.0-24.0","1920x1080","","25367.19999998808","24.87","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","25","901308","0.0-25.0","1920x1080","","38175.19999998808","23.94","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","26","934701","0.0-26.0","1920x1080","","33399.10000002384","67.59","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","27","965533","0.0-27.0","1920x1080","","30830.899999976158","23.81","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","28","973037","0.0-28.0","1920x1080","","7502.900000035763","18.12","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","29","983445","0.0-29.0","1920x1080","","10400","7.67","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","994180","0.0-30.0","1920x1080","","10734.100000023842","56","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","31","1034469","0.0-31.0","1920x1080","","40287.5","10.05","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","1056543","0.0-32.0","1920x1080","","22071.19999998808","21","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","1076375","0.0-33.0","1920x1080","","19831.100000023842","16.40","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","34","1086350","0.0-34.0","1920x1080","","9972.100000023842","30.95","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","35","1095847","0.0-35.0","1920x1080","","9495.699999988079","19.31","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","36","1117230","0.0-36.0","1920x1080","","21382.5","52.78","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","37","1122422","0.0-37.0","1920x1080","","5191.800000011921","46.96","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","38","1126286","0.0-38.0","1920x1080","","3863","50.93","img/238/2.5/1.5/bw/001.png","","","complex"
