"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","19707","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","38984","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","58615","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","170048","0.0-3.0","1920x1080","12:59 12/10/2022","","","","","",""
"","","","","","survey-html-form","4","180598","0.0-4.0","1920x1080","","10547","{""age"":""33"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","249990","0.0-5.0","1920x1080","","69390.89999997616","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","249990","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","264854","0.0-7.0","1920x1080","","14860.899999976158","15","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","272997","0.0-8.0","1920x1080","","8142.300000071526","94","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","284894","0.0-9.0","1920x1080","","11895.200000047684","50","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","10","304630","0.0-10.0","1920x1080","","19735.199999928474","75.13","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","310581","0.0-11.0","1920x1080","","5950.599999904633","64.55","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","314942","0.0-12.0","1920x1080","","4359.300000071526","75.00","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","13","323494","0.0-13.0","1920x1080","","8551","10","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","14","371164","0.0-14.0","1920x1080","","47670.699999928474","50.26","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","378300","0.0-15.0","1920x1080","","7135.199999928474","80","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","390029","0.0-16.0","1920x1080","","11727.699999928474","40.48","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","17","397589","0.0-17.0","1920x1080","","7558.899999976158","65.34","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","400973","0.0-18.0","1920x1080","","3383.100000023842","89.02","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","19","407509","0.0-19.0","1920x1080","","6535.200000047684","87.83","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","20","412725","0.0-20.0","1920x1080","","5215.100000023842","95","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","419221","0.0-21.0","1920x1080","","6495.100000023842","100","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","22","424861","0.0-22.0","1920x1080","","5640.100000023842","60.19","img/117/4/0.66667/bw/001.png","","","complex"
