"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5951","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12137","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18115","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","41550","0.0-3.0","1920x1080","15:2 12/10/2022","","","","","",""
"","","","","","survey-html-form","4","52303","0.0-4.0","1920x1080","","10750.299999952316","{""age"":""18"",""gender"":""female ""}","","","",""
"","","","","","html-button-response","5","142911","0.0-5.0","1920x1080","","90607.20000004768","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","142912","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","153111","0.0-7.0","1920x1080","","10197.699999928474","79.50","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","8","157495","0.0-8.0","1920x1080","","4383.100000023842","6.08","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","162063","0.0-9.0","1920x1080","","4567.200000047684","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","172135","0.0-10.0","1920x1080","","10071.299999952316","1.72","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","11","177270","0.0-11.0","1920x1080","","5133.299999952316","12.04","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","12","181183","0.0-12.0","1920x1080","","3912","98","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","13","185183","0.0-13.0","1920x1080","","3999.100000023842","100","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","188990","0.0-14.0","1920x1080","","3807","35.19","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","15","192231","0.0-15.0","1920x1080","","3239.7000000476837","55.95","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","16","198647","0.0-16.0","1920x1080","","6415.200000047684","0.79","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","17","201743","0.0-17.0","1920x1080","","3094.600000023842","85.05","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","18","208375","0.0-18.0","1920x1080","","6631.600000023842","100","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","19","217952","0.0-19.0","1920x1080","","9576.200000047684","30.16","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","20","227807","0.0-20.0","1920x1080","","9854.400000095367","15.08","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","230815","0.0-21.0","1920x1080","","3007.2999999523163","70.63","img/117/4/2/bw/001.png","","","complex"
