"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","4634","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","10810","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","16903","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","379442","0.0-3.0","1920x1080","14:59 12/10/2022","","","","","",""
"","","","","","survey-html-form","4","391446","0.0-4.0","1920x1080","","11999.899999976158","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","463862","0.0-5.0","1920x1080","","72415.19999998808","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","463863","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","474150","0.0-7.0","1920x1080","","10285.699999988079","14.81","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","480533","0.0-8.0","1920x1080","","6383","5.29","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","9","487878","0.0-9.0","1920x1080","","7344","12.43","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","493102","0.0-10.0","1920x1080","","5222.800000011921","6.22","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","11","497990","0.0-11.0","1920x1080","","4887.200000047684","21.03","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","12","509414","0.0-12.0","1920x1080","","11423.699999988079","10","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","13","513534","0.0-13.0","1920x1080","","4118.699999988079","21.30","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","518782","0.0-14.0","1920x1080","","5247.199999988079","21.96","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","15","522438","0.0-15.0","1920x1080","","3655.5","4.23","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","16","531765","0.0-16.0","1920x1080","","9326.600000023842","8.33","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","537294","0.0-17.0","1920x1080","","5527.899999976158","16.40","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","542942","0.0-18.0","1920x1080","","5647.099999964237","16.01","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","19","546478","0.0-19.0","1920x1080","","3535","18.65","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","20","550414","0.0-20.0","1920x1080","","3932.300000011921","14.95","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","555014","0.0-21.0","1920x1080","","4600","11.90","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","22","560462","0.0-22.0","1920x1080","","5446.700000047684","10.45","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","564365","0.0-23.0","1920x1080","","3902.900000035763","11.38","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","24","569422","0.0-24.0","1920x1080","","5055.700000047684","5.95","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","25","574054","0.0-25.0","1920x1080","","4631.300000011921","7.67","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","577774","0.0-26.0","1920x1080","","3719.100000023842","26.32","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","27","585747","0.0-27.0","1920x1080","","7974.899999976158","3.84","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","28","589003","0.0-28.0","1920x1080","","3255.600000023842","26.19","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","29","595187","0.0-29.0","1920x1080","","6182.5","8.20","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","30","598891","0.0-30.0","1920x1080","","3703.099999964237","21.56","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","31","603659","0.0-31.0","1920x1080","","4767.300000011921","24.07","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","32","607683","0.0-32.0","1920x1080","","4022.899999976158","23.02","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","33","610235","0.0-33.0","1920x1080","","2551.300000011921","25.79","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","34","612867","0.0-34.0","1920x1080","","2631.2999999523163","8.33","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","35","616645","0.0-35.0","1920x1080","","3777.100000023842","12","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","36","620645","0.0-36.0","1920x1080","","3999.2000000476837","11.24","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","37","623515","0.0-37.0","1920x1080","","2869.300000011921","9.66","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","38","626619","0.0-38.0","1920x1080","","3103.100000023842","14.29","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","39","631091","0.0-39.0","1920x1080","","4471.299999952316","8.07","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","40","634196","0.0-40.0","1920x1080","","3103.800000011921","7.01","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","41","637683","0.0-41.0","1920x1080","","3486.199999988079","18.12","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","42","643985","0.0-42.0","1920x1080","","6303.399999976158","10.58","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","43","647464","0.0-43.0","1920x1080","","3478.399999976158","4.37","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","44","655065","0.0-44.0","1920x1080","","7599.5","12","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","45","658209","0.0-45.0","1920x1080","","3143.599999964237","29.63","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","46","663827","0.0-46.0","1920x1080","","5617.200000047684","14.29","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","47","666912","0.0-47.0","1920x1080","","3084","14.55","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","48","669881","0.0-48.0","1920x1080","","2967.399999976158","28.44","img/314/2.5/0.66667/bw/001.png","","","complex"
