"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6030","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12190","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18143","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","859338","0.0-3.0","1920x1080","15:45 12/10/2022","","","","","",""
"","","","","","survey-html-form","4","870935","0.0-4.0","1920x1080","","11593.399999976158","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","930552","0.0-5.0","1920x1080","","59614.80000001192","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","930552","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","953263","0.0-7.0","1920x1080","","22709.80000001192","60.19","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","8","961735","0.0-8.0","1920x1080","","8471","51","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","9","969319","0.0-9.0","1920x1080","","7583.100000023842","35.32","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","10","978287","0.0-10.0","1920x1080","","8967.300000011921","69.71","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","983256","0.0-11.0","1920x1080","","4967.300000011921","95","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","12","990495","0.0-12.0","1920x1080","","7238.699999988079","97","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","13","996087","0.0-13.0","1920x1080","","5591.399999976158","89.95","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","999999","0.0-14.0","1920x1080","","3910.800000011921","10.05","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","15","1002791","0.0-15.0","1920x1080","","2791.199999988079","24.87","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","16","1006463","0.0-16.0","1920x1080","","3671.7000000476837","17","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","17","1011127","0.0-17.0","1920x1080","","4662.900000035763","10.19","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","1016031","0.0-18.0","1920x1080","","4903.600000023842","29.63","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","1018815","0.0-19.0","1920x1080","","2783.399999976158","91.40","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","1023063","0.0-20.0","1920x1080","","4246.800000011921","98","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","21","1027183","0.0-21.0","1920x1080","","4119.5","97","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","22","1030824","0.0-22.0","1920x1080","","3640","18.25","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","1039503","0.0-23.0","1920x1080","","8678.300000011921","37.70","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","24","1047583","0.0-24.0","1920x1080","","8079.100000023842","38","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","25","1050311","0.0-25.0","1920x1080","","2727.199999988079","61","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","26","1055199","0.0-26.0","1920x1080","","4887.399999976158","20.77","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","27","1064199","0.0-27.0","1920x1080","","8999.399999976158","27","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","28","1068111","0.0-28.0","1920x1080","","3911.199999988079","27.51","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","29","1071703","0.0-29.0","1920x1080","","3591.600000023842","25.79","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","1075487","0.0-30.0","1920x1080","","3783.2000000476837","66.01","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","31","1079551","0.0-31.0","1920x1080","","4063","30","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","32","1091263","0.0-32.0","1920x1080","","11710.800000011921","21.30","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","33","1095263","0.0-33.0","1920x1080","","3999.2999999523163","87.57","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","34","1099335","0.0-34.0","1920x1080","","4071.300000011921","32.80","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","35","1104863","0.0-35.0","1920x1080","","5527","20.11","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","36","1109725","0.0-36.0","1920x1080","","4862.800000011921","21.16","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","37","1113765","0.0-37.0","1920x1080","","4039.300000011921","60.71","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","38","1120055","0.0-38.0","1920x1080","","6289.5","46.30","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","39","1124580","0.0-39.0","1920x1080","","4524.5","29.50","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","40","1130341","0.0-40.0","1920x1080","","5759.799999952316","31","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","41","1134533","0.0-41.0","1920x1080","","4191.400000035763","37.57","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","42","1137997","0.0-42.0","1920x1080","","3463","75","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","1140797","0.0-43.0","1920x1080","","2798.699999988079","41.14","img/238/4.5/1.5/bw/001.png","","","complex"
