"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6025","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12162","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18214","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","202051","0.0-3.0","1920x1080","12:21 13/10/2022","","","","","",""
"","","","","","survey-html-form","4","213889","0.0-4.0","1920x1080","","11834.70000000298","{""age"":""22"",""gender"":""male""}","","","",""
"","","","","","html-button-response","5","288801","0.0-5.0","1920x1080","","74911.20000000298","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","288801","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","335032","0.0-7.0","1920x1080","","46229.70000000298","88","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","8","344520","0.0-8.0","1920x1080","","9487","64.42","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","356769","0.0-9.0","1920x1080","","12247","42.86","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","360769","0.0-10.0","1920x1080","","3999.6000000089407","10.32","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","11","365393","0.0-11.0","1920x1080","","4623.399999991059","22.75","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","368865","0.0-12.0","1920x1080","","3471.5999999940395","2.12","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","13","374169","0.0-13.0","1920x1080","","5302.600000008941","4.63","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","384041","0.0-14.0","1920x1080","","9871.300000011921","31.22","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","15","394121","0.0-15.0","1920x1080","","10079","60.85","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","16","398833","0.0-16.0","1920x1080","","4711.29999999702","99","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","17","403169","0.0-17.0","1920x1080","","4335","99","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","18","411350","0.0-18.0","1920x1080","","8183.100000008941","5.16","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","19","418182","0.0-19.0","1920x1080","","6830.9000000059605","92.86","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","20","422639","0.0-20.0","1920x1080","","4455.70000000298","100","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","21","426464","0.0-21.0","1920x1080","","3824.3999999910593","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","429575","0.0-22.0","1920x1080","","3110.1000000089407","100","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","23","436039","0.0-23.0","1920x1080","","6463","54.10","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","24","446943","0.0-24.0","1920x1080","","10903.199999988079","73.94","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","25","451535","0.0-25.0","1920x1080","","4590.4000000059605","83.20","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","26","456127","0.0-26.0","1920x1080","","4591.600000008941","18.12","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","27","464887","0.0-27.0","1920x1080","","8759.09999999404","28.84","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","28","469672","0.0-28.0","1920x1080","","4783.199999988079","40.61","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","29","480265","0.0-29.0","1920x1080","","10592.39999999106","25.00","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","30","483528","0.0-30.0","1920x1080","","3262.1000000089407","1.32","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","31","488281","0.0-31.0","1920x1080","","4752.600000008941","2.78","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","32","492752","0.0-32.0","1920x1080","","4469.4000000059605","21.69","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","33","497881","0.0-33.0","1920x1080","","5128.9000000059605","2.78","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","34","501360","0.0-34.0","1920x1080","","3477.7000000029802","17.86","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","35","504760","0.0-35.0","1920x1080","","3398.8999999910593","32.14","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","36","509528","0.0-36.0","1920x1080","","4767.600000008941","13.10","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","37","514344","0.0-37.0","1920x1080","","4815.0999999940395","86.64","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","38","519281","0.0-38.0","1920x1080","","4936.5999999940395","10.45","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","39","523098","0.0-39.0","1920x1080","","3815.2999999970198","3.70","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","40","527928","0.0-40.0","1920x1080","","4829.399999991059","8.73","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","41","532853","0.0-41.0","1920x1080","","4926.899999991059","0.93","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","42","540149","0.0-42.0","1920x1080","","7295","17","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","43","544445","0.0-43.0","1920x1080","","4295.29999999702","97","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","44","550197","0.0-44.0","1920x1080","","5751.20000000298","12","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","45","558806","0.0-45.0","1920x1080","","8607.60000000894","11.24","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","46","562813","0.0-46.0","1920x1080","","4006.5999999940395","100","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","47","567101","0.0-47.0","1920x1080","","4287.4000000059605","80.69","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","48","571749","0.0-48.0","1920x1080","","4646.800000011921","9.13","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","49","587774","0.0-49.0","1920x1080","","16023.40000000596","25","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","50","594700","0.0-50.0","1920x1080","","6926.5","30","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","51","601901","0.0-51.0","1920x1080","","7199.4000000059605","3.17","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","52","604525","0.0-52.0","1920x1080","","2622.4000000059605","100","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","53","609357","0.0-53.0","1920x1080","","4830.899999991059","11.77","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","54","614421","0.0-54.0","1920x1080","","5063.29999999702","76","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","55","619605","0.0-55.0","1920x1080","","5183","10.45","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","56","628732","0.0-56.0","1920x1080","","9126.60000000894","84","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","57","636573","0.0-57.0","1920x1080","","7837.300000011921","51.46","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","58","643941","0.0-58.0","1920x1080","","7367.100000008941","9","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","59","647469","0.0-59.0","1920x1080","","3526.800000011921","56.22","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","60","650272","0.0-60.0","1920x1080","","2799.2999999970198","65","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","61","653983","0.0-61.0","1920x1080","","3710.7000000029802","40.08","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","62","661863","0.0-62.0","1920x1080","","7879.0999999940395","29.76","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","63","674135","0.0-63.0","1920x1080","","12271.199999988079","18.78","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","64","676832","0.0-64.0","1920x1080","","2695.7000000029802","93.65","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","65","679640","0.0-65.0","1920x1080","","2806.7000000029802","100","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","66","686120","0.0-66.0","1920x1080","","6479.100000008941","50.93","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","67","691799","0.0-67.0","1920x1080","","5678.699999988079","51.98","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","68","712653","0.0-68.0","1920x1080","","20855.29999999702","10.45","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","69","715053","0.0-69.0","1920x1080","","2398.7000000029802","97","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","70","719095","0.0-70.0","1920x1080","","4041","79.89","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","71","721437","0.0-71.0","1920x1080","","2341","91.53","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","72","728317","0.0-72.0","1920x1080","","6878.79999999702","18.25","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","73","746989","0.0-73.0","1920x1080","","18671.59999999404","54.37","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","74","751329","0.0-74.0","1920x1080","","4338.300000011921","86.90","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","75","758765","0.0-75.0","1920x1080","","7435.4000000059605","6.48","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","76","762533","0.0-76.0","1920x1080","","3765.6000000089407","53.84","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","77","770002","0.0-77.0","1920x1080","","7465.899999991059","3.44","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","78","775687","0.0-78.0","1920x1080","","5683.20000000298","53.31","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","79","780071","0.0-79.0","1920x1080","","4383","27.91","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","80","785871","0.0-80.0","1920x1080","","5799","5.29","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","81","791898","0.0-81.0","1920x1080","","6025.79999999702","32.80","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","html-button-response","82","810282","0.0-82.0","1920x1080","","18381.89999999106","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">NATURAL</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Natural<br></div><div class=""intro"">1 = Most Natural<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","810283","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","834774","0.0-84.0","1920x1080","","24492.40000000596","59","img/117/4.5/0.5/bw/001.png","","","natural"
"","","","","","animation","85","837582","0.0-85.0","1920x1080","","2806.7000000029802","0","img/238/2.5/0.66667/bw/001.png","","","natural"
"","","","","","animation","86","850654","0.0-86.0","1920x1080","","13071.199999988079","22.62","img/238/4/0.5/bw/001.png","","","natural"
"","","","","","animation","87","855582","0.0-87.0","1920x1080","","4926.9000000059605","98","img/117/5.5/2/bw/001.png","","","natural"
"","","","","","animation","88","860430","0.0-88.0","1920x1080","","4847.300000011921","86.38","img/117/4.5/1/bw/001.png","","","natural"
"","","","","","animation","89","868038","0.0-89.0","1920x1080","","7606.70000000298","82.28","img/238/3.5/2/bw/001.png","","","natural"
"","","","","","animation","90","874566","0.0-90.0","1920x1080","","6526.800000011921","29.37","img/238/4.5/0.5/bw/001.png","","","natural"
