"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6022","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12191","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18157","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","728391","0.0-3.0","1920x1080","13:22 13/10/2022","","","","","",""
"","","","","","survey-html-form","4","734103","0.0-4.0","1920x1080","","5708.29999999702","{""age"":""31"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","810511","0.0-5.0","1920x1080","","76407","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","810512","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","835598","0.0-7.0","1920x1080","","25085.70000000298","69.71","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","8","863943","0.0-8.0","1920x1080","","28343.40000000596","9.39","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","9","874375","0.0-9.0","1920x1080","","10430.79999999702","40.74","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","10","888031","0.0-10.0","1920x1080","","13655.09999999404","98","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","11","902007","0.0-11.0","1920x1080","","13975.40000000596","58","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","910767","0.0-12.0","1920x1080","","8758.79999999702","32","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","934671","0.0-13.0","1920x1080","","23903.5","58","img/117/4/2/bw/001.png","","","complex"
