"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","38644","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","77855","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","120012","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","180212","0.0-3.0","1920x1080","9:51 14/10/2022","","","","","",""
"","","","","","survey-html-form","4","187202","0.0-4.0","1920x1080","","6987.29999999702","{""age"":""18"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","250810","0.0-5.0","1920x1080","","63607.09999999404","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","250810","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","265082","0.0-7.0","1920x1080","","14268.90000000596","85.58","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","291833","0.0-8.0","1920x1080","","26749.70000000298","87.17","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","9","303940","0.0-9.0","1920x1080","","12135.5","46.30","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","10","315756","0.0-10.0","1920x1080","","11815.5","61.64","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","11","320892","0.0-11.0","1920x1080","","5135.0999999940395","14.68","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","12","329468","0.0-12.0","1920x1080","","8574.39999999106","45.11","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","13","338204","0.0-13.0","1920x1080","","8735.70000000298","90.48","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","348757","0.0-14.0","1920x1080","","10549.39999999106","99","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","15","356028","0.0-15.0","1920x1080","","7270.20000000298","70.11","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","16","378860","0.0-16.0","1920x1080","","23014.90000000596","79.63","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","17","389276","0.0-17.0","1920x1080","","10415.09999999404","36.90","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","18","395812","0.0-18.0","1920x1080","","6535.4000000059605","92.59","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","19","401396","0.0-19.0","1920x1080","","5582.9000000059605","95","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","20","404956","0.0-20.0","1920x1080","","3559.2999999970198","100","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","21","412821","0.0-21.0","1920x1080","","7863.5","75.00","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","22","430251","0.0-22.0","1920x1080","","17614.89999999106","78.84","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","23","435371","0.0-23.0","1920x1080","","5119.20000000298","100","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","24","444699","0.0-24.0","1920x1080","","9327","30","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","25","459379","0.0-25.0","1920x1080","","14679","40","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","26","479515","0.0-26.0","1920x1080","","20135.5","50","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","27","485050","0.0-27.0","1920x1080","","5719","100","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","497626","0.0-28.0","1920x1080","","12575","38.10","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","29","502090","0.0-29.0","1920x1080","","4462.699999988079","100","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","511538","0.0-30.0","1920x1080","","9447.09999999404","95","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","31","526836","0.0-31.0","1920x1080","","15297.09999999404","15.48","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","32","532690","0.0-32.0","1920x1080","","5853.100000008941","100","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","33","548159","0.0-33.0","1920x1080","","15647","80.16","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","34","559104","0.0-34.0","1920x1080","","10943.70000000298","59.66","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","35","567328","0.0-35.0","1920x1080","","8222.79999999702","96","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","36","572696","0.0-36.0","1920x1080","","5367.0999999940395","82.54","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","37","584816","0.0-37.0","1920x1080","","12119.5","39.68","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","38","592096","0.0-38.0","1920x1080","","7278.79999999702","65.34","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","39","604132","0.0-39.0","1920x1080","","12191.29999999702","24.60","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","40","625876","0.0-40.0","1920x1080","","21742.5","45.24","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","41","636485","0.0-41.0","1920x1080","","10608","97","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","42","646587","0.0-42.0","1920x1080","","10102.10000000894","15.21","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","656755","0.0-43.0","1920x1080","","10166.5","41.53","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","44","662139","0.0-44.0","1920x1080","","5383.300000011921","10.45","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","45","671331","0.0-45.0","1920x1080","","9191","84.26","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","46","678155","0.0-46.0","1920x1080","","6822.70000000298","89.81","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","47","682395","0.0-47.0","1920x1080","","4239.399999991059","100","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","48","696955","0.0-48.0","1920x1080","","14558.59999999404","56","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","49","707139","0.0-49.0","1920x1080","","10183.5","46.03","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","50","712555","0.0-50.0","1920x1080","","5415.100000008941","75.40","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","51","718571","0.0-51.0","1920x1080","","6014.9000000059605","3.97","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","52","725089","0.0-52.0","1920x1080","","6518.9000000059605","96","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","53","741873","0.0-53.0","1920x1080","","16783.40000000596","100","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","54","746393","0.0-54.0","1920x1080","","4518.79999999702","79.76","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","55","753737","0.0-55.0","1920x1080","","7342.9000000059605","0.93","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","56","761993","0.0-56.0","1920x1080","","8254.79999999702","20.11","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","57","771505","0.0-57.0","1920x1080","","9510.79999999702","50.13","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","58","776833","0.0-58.0","1920x1080","","5326.399999991059","50.13","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","59","783806","0.0-59.0","1920x1080","","6966.899999991059","9.79","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","60","795766","0.0-60.0","1920x1080","","11959.5","91.93","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","61","806278","0.0-61.0","1920x1080","","10510.5","87.43","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","62","813704","0.0-62.0","1920x1080","","7424.79999999702","93","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","63","820622","0.0-63.0","1920x1080","","6916.5999999940395","8.20","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","64","826550","0.0-64.0","1920x1080","","5927.29999999702","100","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","65","841998","0.0-65.0","1920x1080","","15446.79999999702","15","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","66","850645","0.0-66.0","1920x1080","","8646.90000000596","12","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","67","855941","0.0-67.0","1920x1080","","5295.100000008941","95","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","68","862373","0.0-68.0","1920x1080","","6430.70000000298","80.03","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","69","866230","0.0-69.0","1920x1080","","3855.5","89.68","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","70","871614","0.0-70.0","1920x1080","","5383.199999988079","49.87","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","71","876725","0.0-71.0","1920x1080","","5110.79999999702","100","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","72","883789","0.0-72.0","1920x1080","","7062.70000000298","74.74","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","73","890550","0.0-73.0","1920x1080","","6760","59.92","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","74","903819","0.0-74.0","1920x1080","","13270.40000000596","12","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","75","923334","0.0-75.0","1920x1080","","19514","64.81","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","76","928307","0.0-76.0","1920x1080","","4972","100","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","77","932243","0.0-77.0","1920x1080","","3935.0999999940395","99","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","78","937187","0.0-78.0","1920x1080","","4942.29999999702","100","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","79","941659","0.0-79.0","1920x1080","","4471.4000000059605","100","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","80","950734","0.0-80.0","1920x1080","","9073.39999999106","20","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","81","955918","0.0-81.0","1920x1080","","5182.9000000059605","29.63","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","html-button-response","82","980976","0.0-82.0","1920x1080","","25052.70000000298","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">RELAXING</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Relaxing<br></div><div class=""intro"">1 = Most Relaxing<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","980978","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","992496","0.0-84.0","1920x1080","","11516.20000000298","10.19","img/238/4/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","85","997539","0.0-85.0","1920x1080","","5041.5999999940395","5.42","img/314/3.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","86","1013471","0.0-86.0","1920x1080","","15931.60000000894","40","img/238/4.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","87","1022861","0.0-87.0","1920x1080","","9391.40000000596","0","img/117/2.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","88","1027428","0.0-88.0","1920x1080","","4567","9.79","img/117/4/1/bw/001.png","","","relaxing"
"","","","","","animation","89","1032076","0.0-89.0","1920x1080","","4646.600000008941","4.50","img/314/4.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","90","1037103","0.0-90.0","1920x1080","","5025","29.76","img/238/4/2/bw/001.png","","","relaxing"
"","","","","","animation","91","1044236","0.0-91.0","1920x1080","","7132.20000000298","74.87","img/117/5.5/2/bw/001.png","","","relaxing"
"","","","","","animation","92","1055581","0.0-92.0","1920x1080","","11342.90000000596","42.72","img/314/4/2/bw/001.png","","","relaxing"
"","","","","","animation","93","1058797","0.0-93.0","1920x1080","","3215","0.40","img/238/2.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","94","1063972","0.0-94.0","1920x1080","","5174.399999991059","32.54","img/117/4.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","95","1071004","0.0-95.0","1920x1080","","7030.899999991059","22.22","img/238/4.5/1/bw/001.png","","","relaxing"
"","","","","","animation","96","1076076","0.0-96.0","1920x1080","","5071.5","15.21","img/117/4.5/1/bw/001.png","","","relaxing"
"","","","","","animation","97","1092417","0.0-97.0","1920x1080","","16351","29.50","img/117/5.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","98","1104241","0.0-98.0","1920x1080","","11822","18.39","img/314/4/1/bw/001.png","","","relaxing"
"","","","","","animation","99","1108561","0.0-99.0","1920x1080","","4318.9000000059605","0","img/314/2.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","100","1114729","0.0-100.0","1920x1080","","6167.300000011921","8.60","img/238/3.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","101","1118041","0.0-101.0","1920x1080","","3310.5","2.12","img/314/3.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","102","1123633","0.0-102.0","1920x1080","","5591.5","20.50","img/117/4/2/bw/001.png","","","relaxing"
"","","","","","animation","103","1131097","0.0-103.0","1920x1080","","7463","30.42","img/117/4.5/2/bw/001.png","","","relaxing"
"","","","","","animation","104","1135857","0.0-104.0","1920x1080","","4758.4000000059605","0.13","img/238/2.5/1/bw/001.png","","","relaxing"
"","","","","","animation","105","1142213","0.0-105.0","1920x1080","","6366.899999991059","4.89","img/238/4.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","106","1151469","0.0-106.0","1920x1080","","9255.20000000298","80.03","img/314/5.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","107","1157021","0.0-107.0","1920x1080","","5551.20000000298","3.57","img/314/4/0.5/bw/001.png","","","relaxing"
"","","","","","animation","108","1159517","0.0-108.0","1920x1080","","2494.800000011921","-0.13","img/117/2.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","109","1163189","0.0-109.0","1920x1080","","3671.199999988079","1.32","img/238/2.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","110","1167301","0.0-110.0","1920x1080","","4110.70000000298","9.13","img/314/4/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","111","1174701","0.0-111.0","1920x1080","","7399.20000000298","39.95","img/314/5.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","112","1183733","0.0-112.0","1920x1080","","9030.59999999404","21.83","img/238/3.5/2/bw/001.png","","","relaxing"
"","","","","","animation","113","1192847","0.0-113.0","1920x1080","","9112.59999999404","0.13","img/238/2.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","114","1202267","0.0-114.0","1920x1080","","9429.60000000894","2.65","img/238/3.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","115","1207085","0.0-115.0","1920x1080","","4814.79999999702","8","img/238/3.5/1/bw/001.png","","","relaxing"
"","","","","","animation","116","1218779","0.0-116.0","1920x1080","","11693.20000000298","71","img/314/5.5/1/bw/001.png","","","relaxing"
"","","","","","animation","117","1230101","0.0-117.0","1920x1080","","11321.10000000894","15.34","img/314/3.5/2/bw/001.png","","","relaxing"
"","","","","","animation","118","1260579","0.0-118.0","1920x1080","","30476.70000000298","22","img/314/4/1.5/bw/001.png","","","relaxing"
"","","","","","animation","119","1263481","0.0-119.0","1920x1080","","2910.9000000059605","0.00","img/314/2.5/2/bw/001.png","","","relaxing"
"","","","","","animation","120","1269626","0.0-120.0","1920x1080","","6144.0999999940395","90.21","img/238/5.5/1/bw/001.png","","","relaxing"
"","","","","","animation","121","1275001","0.0-121.0","1920x1080","","5373.29999999702","96","img/314/5.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","122","1283449","0.0-122.0","1920x1080","","8446.90000000596","44.71","img/314/4.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","123","1295881","0.0-123.0","1920x1080","","12431.10000000894","80","img/238/5.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","124","1300169","0.0-124.0","1920x1080","","4287","4.89","img/117/3.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","125","1303369","0.0-125.0","1920x1080","","3198.7000000029802","2.25","img/117/4/0.5/bw/001.png","","","relaxing"
