"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","6092","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12230","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18277","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","300290","0.0-3.0","1920x1080","10:50 14/10/2022","","","","","",""
"","","","","","survey-html-form","4","310660","0.0-4.0","1920x1080","","10368.60000000894","{""age"":""19"",""gender"":""Woman""}","","","",""
"","","","","","html-button-response","5","366788","0.0-5.0","1920x1080","","56127","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","366788","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","395219","0.0-7.0","1920x1080","","28430","50","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","8","403811","0.0-8.0","1920x1080","","8591","27.12","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","9","409747","0.0-9.0","1920x1080","","5934.699999988079","72.22","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","10","414531","0.0-10.0","1920x1080","","4783","78.44","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","11","419411","0.0-11.0","1920x1080","","4879.70000000298","46.43","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","12","428547","0.0-12.0","1920x1080","","9134.90000000596","53.70","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","441203","0.0-13.0","1920x1080","","12655.40000000596","44.97","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","14","457675","0.0-14.0","1920x1080","","16471.5","59.26","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","15","468563","0.0-15.0","1920x1080","","10887","70.63","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","16","483187","0.0-16.0","1920x1080","","14622.90000000596","38.62","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","492995","0.0-17.0","1920x1080","","9807.79999999702","40.61","img/314/5.5/2/bw/001.png","","","complex"
