"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","43484","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","82031","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","123040","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","2983090","0.0-3.0","1920x1080","10:59 14/10/2022","","","","","",""
"","","","","","survey-html-form","4","2993015","0.0-4.0","1920x1080","","9921","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","3040215","0.0-5.0","1920x1080","","47198.69999998808","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","3040216","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","3056382","0.0-7.0","1920x1080","","16164.5","15","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","8","3062550","0.0-8.0","1920x1080","","6166.799999982119","16.93","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","9","3074126","0.0-9.0","1920x1080","","11574.90000000596","16.93","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","10","3079406","0.0-10.0","1920x1080","","5278.800000011921","69.71","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","11","3085950","0.0-11.0","1920x1080","","6543.0999999940395","49.47","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","3091574","0.0-12.0","1920x1080","","5623.399999976158","66","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","13","3097910","0.0-13.0","1920x1080","","6335.4000000059605","73.68","img/117/3.5/1.5/bw/001.png","","","complex"
