"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5941","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12063","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18308","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","24233","0.0-3.0","1920x1080","11:56 14/10/2022","","","","","",""
"","","","","","survey-html-form","4","36503","0.0-4.0","1920x1080","","12267.5","{""age"":""19"",""gender"":""female""}","","","",""
"","","","","","html-button-response","5","110502","0.0-5.0","1920x1080","","73998.90000000596","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","110502","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","128037","0.0-7.0","1920x1080","","17533.10000000894","10.98","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","8","158701","0.0-8.0","1920x1080","","30663","7.41","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","9","172668","0.0-9.0","1920x1080","","13967","15.21","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","10","181452","0.0-10.0","1920x1080","","8783.20000000298","27.91","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","11","187093","0.0-11.0","1920x1080","","5639.4000000059605","34.79","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","12","193077","0.0-12.0","1920x1080","","5983.300000011921","2.78","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","13","197509","0.0-13.0","1920x1080","","4431.4000000059605","77.38","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","14","206093","0.0-14.0","1920x1080","","8583.29999999702","50.66","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","15","212036","0.0-15.0","1920x1080","","5942.79999999702","82.67","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","16","223413","0.0-16.0","1920x1080","","11375.89999999106","38.89","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","17","229570","0.0-17.0","1920x1080","","6158.399999991059","59.52","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","18","238610","0.0-18.0","1920x1080","","9040.10000000894","83.60","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","19","243697","0.0-19.0","1920x1080","","5085.899999991059","44.18","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","20","247113","0.0-20.0","1920x1080","","3415.4000000059605","62.96","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","21","262761","0.0-21.0","1920x1080","","15646.90000000596","22","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","22","271106","0.0-22.0","1920x1080","","8344","3.31","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","23","279737","0.0-23.0","1920x1080","","8631","46.43","img/238/4/1.5/bw/001.png","","","complex"
