"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5968","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","12111","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","18361","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","333160","0.0-3.0","1920x1080","12:26 14/10/2022","","","","","",""
"","","","","","survey-html-form","4","340495","0.0-4.0","1920x1080","","7332.9000000059605","{""age"":""19"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","417528","0.0-5.0","1920x1080","","77030.89999997616","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","417529","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","430656","0.0-7.0","1920x1080","","13124.90000000596","30","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","8","451224","0.0-8.0","1920x1080","","20566.30000001192","42.86","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","9","463200","0.0-9.0","1920x1080","","11974.5","59","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","10","480689","0.0-10.0","1920x1080","","17487.5","65.87","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","11","487281","0.0-11.0","1920x1080","","6591.200000017881","19.84","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","12","491577","0.0-12.0","1920x1080","","4295.100000023842","75","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","13","505297","0.0-13.0","1920x1080","","13719.199999988079","87.83","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","14","509785","0.0-14.0","1920x1080","","4486.699999988079","58","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","15","513866","0.0-15.0","1920x1080","","4080.0999999940395","77.91","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","16","518321","0.0-16.0","1920x1080","","4454.0999999940395","27.12","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","520842","0.0-17.0","1920x1080","","2519.300000011921","39.95","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","18","523737","0.0-18.0","1920x1080","","2895","52","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","19","530153","0.0-19.0","1920x1080","","6415.0999999940395","70.63","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","20","533546","0.0-20.0","1920x1080","","3391.5","54","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","21","539569","0.0-21.0","1920x1080","","6023.0999999940395","68.39","img/314/3.5/0.5/bw/001.png","","","complex"
